quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
shape_pr,shape_spectrum,L4,low,0.6,per_task,11,235,0.022587268993839837,0.016418640396842033,0.044715447154471545,7,229,0.029661016949152543,0.6363636363636364,0.055938333130635384,0.799370389711926
shape_pr,shape_spectrum,L4,low,0.6,global,47,813,0.09650924024640657,0.056801509117585414,0.05465116279069768,46,812,0.053613053613053616,0.9787234042553191,0.05318817310788502,1.0275059209092439
shape_pr,shape_spectrum,L4,low,0.7,per_task,6,123,0.012320328542094456,0.008593586250261999,0.046511627906976744,2,119,0.01652892561983471,0.3333333333333333,0.06594563284862062,0.7053026242654311
shape_pr,shape_spectrum,L4,low,0.7,global,29,503,0.059548254620123205,0.035142877104729964,0.05451127819548872,27,502,0.05103969754253308,0.9310344827586207,0.05453298145063163,0.9996020159806858
shape_pr,shape_spectrum,L4,low,0.75,per_task,5,90,0.01026694045174538,0.006287989939216097,0.05263157894736842,2,90,0.021739130434782608,0.4,0.056069405801208234,0.9386862263882644
shape_pr,shape_spectrum,L4,low,0.75,global,24,346,0.049281314168377825,0.024173827988541886,0.06486486486486487,22,345,0.05994550408719346,0.9166666666666666,0.05631583627330205,1.1518050544446181
shape_pr,shape_spectrum,L4,low,0.8,per_task,4,65,0.008213552361396304,0.004541326067211626,0.057971014492753624,1,65,0.015151515151515152,0.25,0.06815585075383472,0.8505654885320604
shape_pr,shape_spectrum,L4,low,0.8,global,16,188,0.03285420944558522,0.013134912317473626,0.0784313725490196,15,188,0.07389162561576355,0.9375,0.055082410308083474,1.4238914403044853
shape_pr,shape_spectrum,L4,low,0.85,per_task,3,37,0.006160164271047228,0.002585062530566618,0.075,1,37,0.02631578947368421,0.3333333333333333,0.06903647303700622,1.086382265788652
shape_pr,shape_spectrum,L4,low,0.85,global,11,83,0.022587268993839837,0.005798924055054846,0.11702127659574468,11,83,0.11702127659574468,1.0,0.05201620980332537,2.249707870646576
shape_pr,shape_spectrum,L4,low,0.9,per_task,2,20,0.004106776180698152,0.0013973310976035773,0.09090909090909091,0,20,0.0,0.0,0.09278470049875805,0.979785357073042
