detector,cohort,budget_dev_fp_lead4,arm,config,n_drop,n_grasp,n_risk,alarms,median_lead_at_lead4,tp_lead0,fp_lead0,tp_drop_lead0,tp_grasp_lead0,tp_other_lead0,tp_lead2,fp_lead2,tp_drop_lead2,tp_grasp_lead2,tp_other_lead2,tp_lead4,fp_lead4,tp_drop_lead4,tp_grasp_lead4,tp_other_lead4,tp_lead8,fp_lead8,tp_drop_lead8,tp_grasp_lead8,tp_other_lead8,tp_lead12,fp_lead12,tp_drop_lead12,tp_grasp_lead12,tp_other_lead12,base_protocol_tp_all,excess_protocol_tp_all,base_protocol_tp_drop,excess_protocol_tp_drop,base_protocol_tp_grasp,excess_protocol_tp_grasp
grasp_head_only,development_main,38,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,215,9.0,182,33,83,48,51,182,24,83,48,51,180,14,83,47,50,142,2,66,37,39,42,2,7,19,16,0,180,0,83,0,47
union_of_two_mode_heads,development_main,38,change_point,mobility|L13|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,362,9.0,304,58,168,65,71,297,45,162,64,71,265,31,141,59,65,188,14,96,40,52,71,8,26,21,24,222,43,41,100,89,-30
union_of_two_undifferentiated_heads,development_main,38,change_point,token_differentiation_d0|L2|sign-1|change_point|k215 OR selected_mass|L2|sign+1|change_point|k215,218,116,487,407,8.0,343,64,180,74,89,341,50,179,73,89,330,33,176,70,84,217,16,102,53,62,72,6,22,24,26,222,108,41,135,89,-19
single_undifferentiated,external_8b,38,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,304,9.0,207,97,64,73,70,199,74,64,68,67,192,43,61,66,65,175,10,53,65,57,60,1,12,29,19,274,-82,50,11,112,-46
drop_head_only,external_8b,38,change_point,mobility|L13|sign-1|change_point|k215,241,143,564,215,8.0,182,33,121,33,28,173,31,117,29,27,132,24,89,20,23,90,19,62,10,18,39,17,20,9,10,0,132,0,89,0,20
grasp_head_only,external_8b,38,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,215,9.0,170,45,51,64,55,165,33,51,61,53,160,15,49,60,51,152,2,44,59,49,53,0,10,27,16,0,160,0,49,0,60
union_of_two_mode_heads,external_8b,38,change_point,mobility|L13|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,393,9.0,317,76,149,91,77,305,63,145,85,75,261,38,117,75,69,216,21,89,64,63,87,17,30,33,24,274,-13,50,67,112,-37
union_of_two_undifferentiated_heads,external_8b,38,change_point,token_differentiation_d0|L2|sign-1|change_point|k215 OR selected_mass|L2|sign+1|change_point|k215,241,143,564,405,9.0,340,65,157,92,91,331,50,154,88,89,270,29,121,71,78,183,13,61,62,60,86,3,24,30,32,274,-4,50,71,112,-41
single_undifferentiated,development_main,38,persistence,flow_path|L13|sign+1|persist_run|g900|k215,218,116,487,261,10.0,187,74,111,26,50,186,54,111,26,49,177,36,105,25,47,141,26,89,12,40,48,8,22,4,22,222,-45,41,64,89,-64
drop_head_only,development_main,38,persistence,flow_path|L14|sign+1|persist_run|g900|k152,218,116,487,185,8.0,148,37,101,13,34,142,22,97,12,33,141,18,96,12,33,89,7,67,2,20,32,1,19,1,12,222,-81,41,55,89,-77
grasp_head_only,development_main,38,persistence,token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,218,116,487,158,10.0,118,40,16,61,41,112,31,13,60,39,99,12,10,54,35,71,4,6,39,26,48,1,4,26,18,0,99,0,10,0,54
union_of_two_mode_heads,development_main,38,persistence,flow_path|L14|sign+1|persist_run|g900|k152 OR token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,218,116,487,340,9.0,263,77,114,74,75,251,53,107,72,72,237,30,103,66,68,159,11,72,41,46,80,2,23,27,30,222,15,41,62,89,-23
union_of_two_undifferentiated_heads,development_main,38,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152 OR flow_path|L2|sign+1|persist_run|g900|k215,218,116,487,589,10.0,206,383,107,39,60,201,170,107,38,56,190,23,102,38,50,161,3,99,27,35,38,1,18,4,16,222,-32,41,61,89,-51
single_undifferentiated,external_8b,38,persistence,flow_path|L13|sign+1|persist_run|g900|k215,241,143,564,251,9.0,203,48,118,30,55,201,37,116,30,55,192,29,110,30,52,137,23,89,8,40,52,8,23,4,25,274,-82,50,60,112,-82
drop_head_only,external_8b,38,persistence,flow_path|L14|sign+1|persist_run|g900|k152,241,143,564,161,7.0,147,14,100,14,33,146,12,100,14,32,117,10,88,9,20,31,4,16,2,13,28,1,16,2,10,0,117,0,88,0,9
grasp_head_only,external_8b,38,persistence,token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,241,143,564,132,10.0,111,21,7,66,38,103,18,2,66,35,76,14,1,51,24,50,4,1,33,16,25,0,0,16,9,0,76,0,1,0,51
union_of_two_mode_heads,external_8b,38,persistence,flow_path|L14|sign+1|persist_run|g900|k152 OR token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,241,143,564,293,7.0,258,35,107,80,71,249,30,102,80,67,193,24,89,60,44,81,8,17,35,29,53,1,16,18,19,0,193,0,89,0,60
union_of_two_undifferentiated_heads,external_8b,38,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152 OR flow_path|L2|sign+1|persist_run|g900|k215,241,143,564,379,10.0,249,130,116,49,84,245,68,115,49,81,235,39,113,48,74,199,20,103,40,56,62,6,16,15,31,274,-39,50,63,112,-64
single_undifferentiated,development_main,38,any,token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,304,9.0,227,77,99,61,67,227,57,99,61,67,226,34,99,60,67,186,11,81,49,56,66,8,10,30,26,222,4,41,58,89,-29
drop_head_only,development_main,38,any,mobility|L13|sign-1|change_point|k215,218,116,487,215,8.0,190,25,132,23,35,180,21,124,21,35,147,17,101,16,30,89,12,58,4,27,34,6,19,3,12,0,147,0,101,0,16
grasp_head_only,development_main,38,any,token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,218,116,487,158,10.0,118,40,16,61,41,112,31,13,60,39,99,12,10,54,35,71,4,6,39,26,48,1,4,26,18,0,99,0,10,0,54
union_of_two_mode_heads,development_main,38,any,mobility|L13|sign-1|change_point|k215 OR token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,218,116,487,364,9.0,299,65,139,84,76,286,52,131,81,74,243,29,108,70,65,159,16,63,43,53,81,7,22,29,30,222,21,41,67,89,-19
union_of_two_undifferentiated_heads,development_main,38,any,token_differentiation_d0|L2|sign-1|change_point|k215 OR selected_mass|L2|sign+1|change_point|k215,218,116,487,407,8.0,343,64,180,74,89,341,50,179,73,89,330,33,176,70,84,217,16,102,53,62,72,6,22,24,26,222,108,41,135,89,-19
single_undifferentiated,external_8b,38,any,token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,304,9.0,207,97,64,73,70,199,74,64,68,67,192,43,61,66,65,175,10,53,65,57,60,1,12,29,19,274,-82,50,11,112,-46
