cohort,suite,chunk,phase,cap,n_risk,n_safe,safe_alive,risk_alive,survival_prior,frontier_routing,frontier_null_control,frontier_length_leak,union_routing,union_null_control,survival_baseline_recall,fpr_if_all_survivors_alarm
external_8b,libero_long,15,0.307692,52,274,3726,3694,274,0.0690524,0.0437956,0.0182482,1,0.0218978,0.0109489,0.00504331,0.991412
external_8b,libero_long,16,0.326923,52,274,3726,3644,274,0.0699336,0.0437956,0.0182482,1,0.0218978,0.0109489,0.00511251,0.977992
external_8b,libero_long,17,0.346154,52,274,3726,3560,274,0.0714658,0.0437956,0.0182482,1,0.0218978,0.0109489,0.00523315,0.955448
external_8b,libero_long,18,0.365385,52,274,3726,3475,274,0.0730862,0.0437956,0.0182482,1,0.0218978,0.0109489,0.00536115,0.932636
external_8b,libero_long,19,0.384615,52,274,3726,3421,274,0.0741543,0.0437956,0.0182482,1,0.0218978,0.0109489,0.00544578,0.918143
external_8b,libero_long,20,0.403846,52,274,3726,3380,274,0.0749863,0.0474453,0.0182482,1,0.0218978,0.0109489,0.00551183,0.907139
external_8b,libero_long,21,0.423077,52,274,3726,3183,274,0.0792595,0.0693431,0.0182482,1,0.0218978,0.0109489,0.00585297,0.854267
external_8b,libero_long,22,0.442308,52,274,3726,2761,274,0.0902801,0.0693431,0.0218978,1,0.0218978,0.0109489,0.00674756,0.741009
external_8b,libero_long,23,0.461538,52,274,3726,2316,274,0.105792,0.0693431,0.0218978,1,0.0218978,0.0109489,0.00804404,0.621578
external_8b,libero_long,24,0.480769,52,274,3726,1743,274,0.135845,0.0693431,0.0218978,1,0.0218978,0.0109489,0.0106885,0.467794
external_8b,libero_long,25,0.5,52,274,3726,1114,274,0.197406,0.0839416,0.0291971,1,0.0218978,0.0109489,0.0167235,0.29898
external_8b,libero_long,26,0.519231,52,274,3726,705,274,0.279877,0.109489,0.0620438,1,0.0218978,0.0109489,0.0264255,0.189211
external_8b,libero_long,27,0.538462,52,274,3726,497,274,0.355383,0.109489,0.0620438,1,0.0218978,0.0109489,0.0374849,0.133387
external_8b,libero_long,28,0.557692,52,274,3726,388,274,0.413897,0.20438,0.0766423,1,0.0218978,0.0109489,0.0480155,0.104133
external_8b,libero_long,29,0.576923,52,274,3726,354,274,0.436306,0.29927,0.0766423,1,0.0218978,0.0109489,0.0526271,0.0950081
external_8b,libero_long,30,0.596154,52,274,3726,333,274,0.4514,0.30292,0.0766423,1,0.0218978,0.0109489,0.0559459,0.089372
external_8b,libero_long,31,0.615385,52,274,3726,313,274,0.46678,0.383212,0.0766423,1,0.0218978,0.0109489,0.0595208,0.0840043
external_8b,libero_long,32,0.634615,52,274,3726,295,274,0.481547,0.386861,0.0766423,1,0.0218978,0.0109489,0.0631525,0.0791734
external_8b,libero_long,33,0.653846,52,274,3726,287,274,0.488414,0.39781,0.105839,1,0.0218978,0.0109489,0.0649129,0.0770263
external_8b,libero_long,34,0.673077,52,274,3726,284,274,0.491039,0.40146,0.105839,1,0.0218978,0.0109489,0.0655986,0.0762211
external_8b,libero_long,35,0.692308,52,274,3726,278,274,0.496377,0.40146,0.105839,1,0.0218978,0.0109489,0.0670144,0.0746108
external_8b,libero_long,36,0.711538,52,274,3726,270,274,0.503676,0.405109,0.113139,1,0.0218978,0.0109489,0.069,0.0724638
