calibration,score_kind,method,suite,task,query,auc,control_auc,old_ac_auc,delta_control,delta_old_ac,failures,successes
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.38235294117647056,0.26666666666666666,0.2529411764705882,0.1156862745098039,0.12941176470588234,51,5
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.6392156862745098,0.26666666666666666,0.2529411764705882,0.3725490196078431,0.38627450980392153,51,5
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.34901960784313724,0.26666666666666666,0.2529411764705882,0.08235294117647057,0.09607843137254901,51,5
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.0,0.0,51,4
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.6397058823529411,0.45098039215686275,0.45098039215686275,0.18872549019607837,0.18872549019607837,51,4
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.7254901960784313,0.45098039215686275,0.45098039215686275,0.2745098039215686,0.2745098039215686,51,4
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.6666666666666666,0.45098039215686275,0.45098039215686275,0.21568627450980388,0.21568627450980388,51,4
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.7034313725490197,0.45098039215686275,0.45098039215686275,0.2524509803921569,0.2524509803921569,51,4
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.6397058823529411,0.45098039215686275,0.45098039215686275,0.18872549019607837,0.18872549019607837,51,4
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.6029411764705882,0.45098039215686275,0.45098039215686275,0.15196078431372545,0.15196078431372545,51,4
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.5857843137254902,0.45098039215686275,0.45098039215686275,0.13480392156862747,0.13480392156862747,51,4
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.37745098039215685,0.45098039215686275,0.45098039215686275,-0.0735294117647059,-0.0735294117647059,51,4
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.6470588235294118,0.6470588235294118,0.6421568627450981,0.0,0.004901960784313708,51,4
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.7205882352941176,0.6470588235294118,0.6421568627450981,0.07352941176470584,0.07843137254901955,51,4
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.7401960784313726,0.6470588235294118,0.6421568627450981,0.09313725490196079,0.0980392156862745,51,4
