freeze_level,acceleration_level,periodicity_level,tp,fp,risk_recall,precision,timely_fpr,early4_risk_recall,f1
0.96,0.975,0.95,133,303,0.3684210526315789,0.30504587155963303,0.02902576875179615,0.3573407202216066,0.3337515683814304
0.97,0.7,0.5,131,210,0.3628808864265928,0.3841642228739003,0.020116869431937925,0.3407202216066482,0.3732193732193732
0.97,0.7,0.55,131,209,0.3628808864265928,0.38529411764705884,0.020021074815595362,0.3407202216066482,0.3737517831669044
0.97,0.7,0.6,131,209,0.3628808864265928,0.38529411764705884,0.020021074815595362,0.3407202216066482,0.3737517831669044
0.97,0.7,0.65,130,209,0.3601108033240997,0.3834808259587021,0.020021074815595362,0.3379501385041551,0.3714285714285715
0.97,0.7,0.7,127,208,0.3518005540166205,0.37910447761194027,0.019925280199252802,0.33518005540166207,0.36494252873563215
0.97,0.7,0.75,127,207,0.3518005540166205,0.38023952095808383,0.019829485582910242,0.33518005540166207,0.36546762589928056
0.97,0.7,0.8,127,207,0.3518005540166205,0.38023952095808383,0.019829485582910242,0.33518005540166207,0.36546762589928056
0.97,0.7,0.85,126,207,0.3490304709141274,0.3783783783783784,0.019829485582910242,0.33240997229916897,0.3631123919308358
0.97,0.7,0.9,124,207,0.34349030470914127,0.37462235649546827,0.019829485582910242,0.3268698060941828,0.35838150289017334
0.97,0.7,0.95,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3157894736842105,0.34643377001455605
0.97,0.75,0.5,126,210,0.3490304709141274,0.375,0.020116869431937925,0.33518005540166207,0.3615494978479197
0.97,0.75,0.55,126,209,0.3490304709141274,0.3761194029850746,0.020021074815595362,0.33518005540166207,0.3620689655172413
0.97,0.75,0.6,126,209,0.3490304709141274,0.3761194029850746,0.020021074815595362,0.33518005540166207,0.3620689655172413
0.97,0.75,0.65,125,209,0.3462603878116344,0.37425149700598803,0.020021074815595362,0.33240997229916897,0.3597122302158274
0.97,0.75,0.7,124,208,0.34349030470914127,0.37349397590361444,0.019925280199252802,0.3296398891966759,0.35786435786435783
0.97,0.75,0.75,124,207,0.34349030470914127,0.37462235649546827,0.019829485582910242,0.3296398891966759,0.35838150289017334
0.97,0.75,0.8,124,207,0.34349030470914127,0.37462235649546827,0.019829485582910242,0.3296398891966759,0.35838150289017334
0.97,0.75,0.85,123,207,0.3407202216066482,0.37272727272727274,0.019829485582910242,0.3268698060941828,0.35600578871201155
0.97,0.75,0.9,121,207,0.33518005540166207,0.36890243902439024,0.019829485582910242,0.32132963988919666,0.351233671988389
0.97,0.75,0.95,118,207,0.3268698060941828,0.3630769230769231,0.019829485582910242,0.3157894736842105,0.34402332361516036
0.97,0.8,0.5,125,209,0.3462603878116344,0.37425149700598803,0.020021074815595362,0.33240997229916897,0.3597122302158274
0.97,0.8,0.55,125,209,0.3462603878116344,0.37425149700598803,0.020021074815595362,0.33240997229916897,0.3597122302158274
0.97,0.8,0.6,125,209,0.3462603878116344,0.37425149700598803,0.020021074815595362,0.33240997229916897,0.3597122302158274
0.97,0.8,0.65,124,209,0.34349030470914127,0.37237237237237236,0.020021074815595362,0.3296398891966759,0.3573487031700288
0.97,0.8,0.7,124,208,0.34349030470914127,0.37349397590361444,0.019925280199252802,0.3296398891966759,0.35786435786435783
0.97,0.8,0.75,124,207,0.34349030470914127,0.37462235649546827,0.019829485582910242,0.3296398891966759,0.35838150289017334
0.97,0.8,0.8,124,207,0.34349030470914127,0.37462235649546827,0.019829485582910242,0.3296398891966759,0.35838150289017334
0.97,0.8,0.85,123,207,0.3407202216066482,0.37272727272727274,0.019829485582910242,0.3268698060941828,0.35600578871201155
0.97,0.8,0.9,121,207,0.33518005540166207,0.36890243902439024,0.019829485582910242,0.32132963988919666,0.351233671988389
0.97,0.8,0.95,118,207,0.3268698060941828,0.3630769230769231,0.019829485582910242,0.3157894736842105,0.34402332361516036
0.97,0.85,0.5,124,207,0.34349030470914127,0.37462235649546827,0.019829485582910242,0.3296398891966759,0.35838150289017334
0.97,0.85,0.55,124,207,0.34349030470914127,0.37462235649546827,0.019829485582910242,0.3296398891966759,0.35838150289017334
0.97,0.85,0.6,124,207,0.34349030470914127,0.37462235649546827,0.019829485582910242,0.3296398891966759,0.35838150289017334
0.97,0.85,0.65,123,207,0.3407202216066482,0.37272727272727274,0.019829485582910242,0.3268698060941828,0.35600578871201155
