calibration,method,suite,task,query,auc,reference_auc,delta,raw_v82_auc,failures,successes
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6760773077139165,0.5795831226473397,0.09649418506657681,0.589134221023653,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7088881397831339,0.5720265183437272,0.13686162143940672,0.5778414517669532,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.7049553345693579,0.6173380526995899,0.08761728186976803,0.622338333614248,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,0.6844766559919097,0.6760492162481039,0.008427439743805776,0.6851508511714142,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.7247317265014889,0.768301589976965,-0.04356986347547609,0.7697623461992247,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.8351267336202773,0.7697871831659493,0.06533955045432804,0.7666188426590148,51,328
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.8144714407502132,0.7049765558397272,0.10949488491048598,0.7017263427109974,51,184
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.5669934640522876,0.5177696078431373,0.04922385620915026,0.5179738562091504,51,48
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.16470588235294117,0.11764705882352941,0.047058823529411764,0.11764705882352941,51,5
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.23529411764705882,0.09803921568627451,0.13725490196078433,0.09803921568627451,51,4
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.4583333333333333,0.32598039215686275,0.13235294117647056,0.2696078431372549,51,4
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,23,0.7107843137254902,0.75,-0.039215686274509776,0.7352941176470589,51,4
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,24,0.6535947712418301,0.7843137254901961,-0.130718954248366,0.7843137254901961,51,3
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,25,0.5098039215686274,0.7303921568627451,-0.22058823529411764,0.7745098039215687,51,2
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26,0.0392156862745098,0.6274509803921569,-0.5882352941176471,0.6078431372549019,51,1
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,27,0.38235294117647056,0.803921568627451,-0.42156862745098045,0.803921568627451,51,1
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,28,0.6666666666666666,0.8333333333333334,-0.16666666666666674,0.8627450980392157,51,1
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,29,0.9411764705882353,0.9215686274509803,0.019607843137254943,0.9215686274509803,51,1
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,7,0.06265664160401002,0.06265664160401002,0.0,0.09022556390977443,1,399
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,8,0.10776942355889724,0.10776942355889724,0.0,0.11528822055137844,1,399
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,9,0.681704260651629,0.681704260651629,0.0,0.6441102756892231,1,399
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,10,0.6741854636591479,0.6741854636591479,0.0,0.6390977443609023,1,399
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,11,0.6879699248120301,0.6879699248120301,0.0,0.6541353383458647,1,399
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,12,0.8565340909090909,0.8565340909090909,0.0,0.8210227272727273,1,352
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,13,0.7796610169491526,0.7796610169491526,0.0,0.7627118644067796,1,177
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,14,0.8507462686567164,0.8507462686567164,0.0,0.835820895522388,1,67
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,15,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,1,42
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,16,1.0,1.0,0.0,1.0,1,37
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,17,1.0,1.0,0.0,1.0,1,34
