comparison,target,split,window,baseline,candidate,metric,episodes,clusters,baseline_loss,improvement,relative_improvement,ci_low,ci_high,bootstrap_opposite_tail_2x
hidden_beyond_init,residual_none,heldout_seed,q0,task_init,task_init_hidden,brier,1536,48,0.04528828095230907,-0.0016640933455783196,-0.03674445818181302,-0.0029466736862529134,-0.000498926589936465,0.001999600079984003
hidden_beyond_init,residual_none,heldout_seed,q0,task_init,task_init_hidden,log_loss,1536,48,0.17028127273082486,-0.002794948302572707,-0.016413715129971286,-0.006811851803417608,0.0010605773379507102,0.15316936612677465
hidden_beyond_init,residual_none,heldout_seed,q0_to_q2,task_init,task_init_hidden,brier,1536,48,0.04528828095230907,-0.0033804348866476584,-0.07464259661803974,-0.005770750338774937,-0.0013212914180176167,0.0007998400319936012
hidden_beyond_init,residual_none,heldout_seed,q0_to_q2,task_init,task_init_hidden,log_loss,1536,48,0.17028127273082486,-0.010598004243448013,-0.06223822545771664,-0.01753126926365809,-0.003847121551541557,0.0015996800639872025
hidden_beyond_init,stagnation,heldout_seed,q0,task_init,task_init_hidden,brier,1536,48,0.05228513769674412,-0.00363003613648202,-0.06942768626787164,-0.006561294210043923,-0.0009065197467407299,0.006798640271945611
hidden_beyond_init,stagnation,heldout_seed,q0,task_init,task_init_hidden,log_loss,1536,48,0.17154929361245974,-0.008192837528295426,-0.04775792051236039,-0.017874326026964937,0.002957095001881805,0.13557288542291543
hidden_beyond_init,stagnation,heldout_seed,q0_to_q2,task_init,task_init_hidden,brier,1536,48,0.05228513769674412,-0.0055584369886180025,-0.10631007650505117,-0.010118678732524661,-0.0013412507922227004,0.010797840431913617
hidden_beyond_init,stagnation,heldout_seed,q0_to_q2,task_init,task_init_hidden,log_loss,1536,48,0.17154929361245974,-0.014051665552630188,-0.08191036673327115,-0.027767740158613646,0.00029383457324811763,0.05718856228754249
router_hidden_beyond_init,active_return,heldout_seed,q0,task_init,task_init_router_hidden,brier,512,16,0.06252489281322879,-0.007961723580969566,-0.1273368609323718,-0.014667230027566074,-0.0026172461917630145,0.0003999200159968006
router_hidden_beyond_init,active_return,heldout_seed,q0,task_init,task_init_router_hidden,log_loss,512,16,0.219704462906776,-0.023896798823176534,-0.10876792627246865,-0.04140405213332288,-0.008862254369554746,0.0011997600479904018
router_hidden_beyond_init,active_return,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,brier,512,16,0.06252489281322879,-0.026038410301838035,-0.41644869955425057,-0.04308948984534668,-0.011923485440220526,0.0003999200159968006
router_hidden_beyond_init,active_return,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,log_loss,512,16,0.219704462906776,-0.08026036510576913,-0.36531058151433565,-0.12309150759371876,-0.04445332630627045,0.0003999200159968006
router_hidden_beyond_init,any_failure,heldout_seed,q0,task_init,task_init_router_hidden,brier,2048,64,0.06321815704867077,-0.004983222652654485,-0.07882581342600627,-0.007737637166195565,-0.0022173065381111425,0.0007998400319936012
router_hidden_beyond_init,any_failure,heldout_seed,q0,task_init,task_init_router_hidden,log_loss,2048,64,0.22982872000700053,-0.01924297455246999,-0.08372745822142617,-0.029669127805161268,-0.007931058890150153,0.0023995200959808036
router_hidden_beyond_init,any_failure,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,brier,2048,64,0.06321815704867077,-0.016994872524655855,-0.2688289775921772,-0.02321917127846007,-0.011298273330475984,0.0003999200159968006
router_hidden_beyond_init,any_failure,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,log_loss,2048,64,0.22982872000700053,-0.06316065899909035,-0.2748162152979249,-0.08527120514338832,-0.04242730023164512,0.0003999200159968006
router_hidden_beyond_init,goal_regression,heldout_seed,q0,task_init,task_init_router_hidden,brier,1024,32,0.031082895604353233,-0.0024706235282683283,-0.07948498620322592,-0.004014301841703978,-0.0011095325694817654,0.0003999200159968006
router_hidden_beyond_init,goal_regression,heldout_seed,q0,task_init,task_init_router_hidden,log_loss,1024,32,0.12417465159441074,-0.012907984262389292,-0.10395023538741538,-0.019725537008374264,-0.00673348419887688,0.0003999200159968006
router_hidden_beyond_init,goal_regression,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,brier,1024,32,0.031082895604353233,-0.008719084760515167,-0.2805106986008742,-0.013201923532996469,-0.004646340493090047,0.0003999200159968006
router_hidden_beyond_init,goal_regression,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,log_loss,1024,32,0.12417465159441074,-0.03829950810123267,-0.3084325795117156,-0.05786297088150264,-0.02250394303806914,0.0003999200159968006
router_hidden_beyond_init,regrasp_or_drop,heldout_seed,q0,task_init,task_init_router_hidden,brier,2048,64,0.0232254536475947,-0.0012769235430756987,-0.05497948769702248,-0.0023875615117153726,-0.00048789923677599516,0.0003999200159968006
router_hidden_beyond_init,regrasp_or_drop,heldout_seed,q0,task_init,task_init_router_hidden,log_loss,2048,64,0.1129768415838618,-0.0029662886284608273,-0.026255722738177056,-0.007810695294647272,0.001910045438214143,0.22955408918216358
router_hidden_beyond_init,regrasp_or_drop,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,brier,2048,64,0.0232254536475947,-0.003907577875718535,-0.16824549199379,-0.005888362112292849,-0.002257237619518914,0.0003999200159968006
router_hidden_beyond_init,regrasp_or_drop,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,log_loss,2048,64,0.1129768415838618,-0.019131320091562223,-0.16933842213460357,-0.027108602355890313,-0.011796449866282352,0.0003999200159968006
router_hidden_beyond_init,residual_none,heldout_seed,q0,task_init,task_init_router_hidden,brier,1536,48,0.04528828095230907,-0.005455632186742177,-0.12046454561804283,-0.008734540520739733,-0.002511829382447428,0.0003999200159968006
router_hidden_beyond_init,residual_none,heldout_seed,q0,task_init,task_init_router_hidden,log_loss,1536,48,0.17028127273082486,-0.01702646069496411,-0.09999021279268326,-0.02876295926685811,-0.00636452145441465,0.0003999200159968006
router_hidden_beyond_init,residual_none,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,brier,1536,48,0.04528828095230907,-0.008797365417149908,-0.194252579964649,-0.013962921171284033,-0.004506575510998132,0.0003999200159968006
router_hidden_beyond_init,residual_none,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,log_loss,1536,48,0.17028127273082486,-0.029249139489992127,-0.17176956115560765,-0.04592386243912688,-0.01498834023646247,0.0003999200159968006
router_hidden_beyond_init,stagnation,heldout_seed,q0,task_init,task_init_router_hidden,brier,1536,48,0.05228513769674412,-0.006625302312710773,-0.12671482957810667,-0.010472142260139062,-0.0029816700685253604,0.0003999200159968006
router_hidden_beyond_init,stagnation,heldout_seed,q0,task_init,task_init_router_hidden,log_loss,1536,48,0.17154929361245974,-0.019912855240642933,-0.11607657963096765,-0.033951346022909584,-0.0047477357080168495,0.011597680463907219
router_hidden_beyond_init,stagnation,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,brier,1536,48,0.05228513769674412,-0.009791336041530268,-0.18726805499337892,-0.016514222682208715,-0.003994830403281194,0.0007998400319936012
router_hidden_beyond_init,stagnation,heldout_seed,q0_to_q2,task_init,task_init_router_hidden,log_loss,1536,48,0.17154929361245974,-0.027415230820877632,-0.15980963980423202,-0.04847617339768006,-0.007312530754616261,0.008798240351929614
router_unseen_init,active_return,heldout_init,q0,task_only,task_router,brier,512,16,0.07157171684416247,-0.015954084934023387,-0.22291046851315868,-0.03205466297994572,-0.004097407003090481,0.0011997600479904018
router_unseen_init,active_return,heldout_init,q0,task_only,task_router,log_loss,512,16,0.27802662098547437,-0.06804580629412235,-0.24474565080470276,-0.13323415542912523,-0.014406918639838251,0.005198960207958408
router_unseen_init,active_return,heldout_init,q0_to_q2,task_only,task_router,brier,512,16,0.07157171684416247,-0.010846167479121586,-0.1515426478134878,-0.023827159926521714,-0.0007133149822306692,0.029194161167766446
router_unseen_init,active_return,heldout_init,q0_to_q2,task_only,task_router,log_loss,512,16,0.27802662098547437,-0.0375537341860352,-0.13507244037612215,-0.08040566659367245,-0.0012436655860862626,0.041591681663667265
router_unseen_init,any_failure,heldout_init,q0,task_only,task_router,brier,2048,64,0.10822325293835347,-0.016299083160595893,-0.15060611022180453,-0.0357907340314293,0.0031111436185183956,0.10397920415916817
router_unseen_init,any_failure,heldout_init,q0,task_only,task_router,log_loss,2048,64,0.3594820749478457,-0.06368942562346998,-0.17716996218159184,-0.11956629746404449,-0.007876175821165574,0.026394721055788842
router_unseen_init,any_failure,heldout_init,q0_to_q2,task_only,task_router,brier,2048,64,0.10822325293835347,-0.019580578457674486,-0.18092764656434832,-0.040688985071274865,0.0008198390288656108,0.0611877624475105
router_unseen_init,any_failure,heldout_init,q0_to_q2,task_only,task_router,log_loss,2048,64,0.3594820749478457,-0.08241426561878838,-0.22925834516434568,-0.15061790458125343,-0.020132989179801202,0.006798640271945611
router_unseen_init,goal_regression,heldout_init,q0,task_only,task_router,brier,1024,32,0.04687777078858734,-0.004572767281934249,-0.09754660268631023,-0.010253865708821228,-0.000594562030254926,0.010797840431913617
router_unseen_init,goal_regression,heldout_init,q0,task_only,task_router,log_loss,1024,32,0.2047734192201796,-0.017314191921072097,-0.0845529267763765,-0.04039444145701623,0.0028475506034820438,0.09638072385522896
router_unseen_init,goal_regression,heldout_init,q0_to_q2,task_only,task_router,brier,1024,32,0.04687777078858734,-0.0032563595481222545,-0.06946489761230357,-0.006993799448220446,-0.0005449177589620055,0.009198160367926415
router_unseen_init,goal_regression,heldout_init,q0_to_q2,task_only,task_router,log_loss,1024,32,0.2047734192201796,-0.014335653405343105,-0.07000739383039215,-0.030789247408908788,0.0017992091965373697,0.07998400319936012
router_unseen_init,regrasp_or_drop,heldout_init,q0,task_only,task_router,brier,2048,64,0.032175375571673756,-0.0030156639587885317,-0.09372583552508498,-0.006322419996731526,-0.000663636422983368,0.0027994401119776045
router_unseen_init,regrasp_or_drop,heldout_init,q0,task_only,task_router,log_loss,2048,64,0.14780994367574937,-0.012693901102647457,-0.08587988593307405,-0.02462831975026268,-0.0016376461498062355,0.023195360927814438
router_unseen_init,regrasp_or_drop,heldout_init,q0_to_q2,task_only,task_router,brier,2048,64,0.032175375571673756,-0.003181592574208437,-0.09888284185280548,-0.005572092203631321,-0.0012328049138091073,0.0003999200159968006
router_unseen_init,regrasp_or_drop,heldout_init,q0_to_q2,task_only,task_router,log_loss,2048,64,0.14780994367574937,-0.01693888452150173,-0.11459908650435964,-0.027152186272554578,-0.007171686820970833,0.0003999200159968006
router_unseen_init,residual_none,heldout_init,q0,task_only,task_router,brier,1536,48,0.05149829004237744,-0.003973327738887125,-0.07715455669727116,-0.009803233552919755,0.000984563904832782,0.12837432513497302
router_unseen_init,residual_none,heldout_init,q0,task_only,task_router,log_loss,1536,48,0.2036898787855587,-0.016932151448730115,-0.08312711240088665,-0.03611360367534019,0.0025048441489021194,0.08718256348730254
router_unseen_init,residual_none,heldout_init,q0_to_q2,task_only,task_router,brier,1536,48,0.05149829004237744,-0.00431999736496813,-0.08388622925952001,-0.009299291600198167,0.0002240850812109309,0.0643871225754849
router_unseen_init,residual_none,heldout_init,q0_to_q2,task_only,task_router,log_loss,1536,48,0.2036898787855587,-0.017840526683842766,-0.08758671167272368,-0.03439895798153397,-0.0010320617089629527,0.041991601679664065
router_unseen_init,stagnation,heldout_init,q0,task_only,task_router,brier,1536,48,0.09098436546693717,-0.01312182036961563,-0.14422060649951968,-0.03473289552922292,0.008148935307444453,0.23235352929414116
router_unseen_init,stagnation,heldout_init,q0,task_only,task_router,log_loss,1536,48,0.32816147468156953,-0.07156948449488101,-0.2180922808331729,-0.17022060168786582,0.005402695972806116,0.07718456308738253
router_unseen_init,stagnation,heldout_init,q0_to_q2,task_only,task_router,brier,1536,48,0.09098436546693717,-0.019564806716576844,-0.21503482072078092,-0.04276946833519162,0.003568741767096879,0.10037992401519696
router_unseen_init,stagnation,heldout_init,q0_to_q2,task_only,task_router,log_loss,1536,48,0.32816147468156953,-0.12089301409730115,-0.3683949013655832,-0.2617834343024531,-0.008280143528846763,0.033593281343731254
hidden_unseen_init,active_return,heldout_init,q0,task_only,task_hidden,brier,512,16,0.07157171684416247,-0.004041537515286291,-0.05646836059677289,-0.00903441267354416,0.0006079156398869537,0.09518096380723855
hidden_unseen_init,active_return,heldout_init,q0,task_only,task_hidden,log_loss,512,16,0.27802662098547437,-0.02008184709727995,-0.07222994339930182,-0.0515310680879619,0.007918819993731186,0.17196560687862428
hidden_unseen_init,active_return,heldout_init,q0_to_q2,task_only,task_hidden,brier,512,16,0.07157171684416247,-0.03027670430269153,-0.42302610077965397,-0.06363181376202771,-0.002909084435305312,0.0011997600479904018
hidden_unseen_init,active_return,heldout_init,q0_to_q2,task_only,task_hidden,log_loss,512,16,0.27802662098547437,-0.08593795738758636,-0.30909974405679747,-0.17390853885265098,-0.014250328041130234,0.009198160367926415
hidden_unseen_init,any_failure,heldout_init,q0,task_only,task_hidden,brier,2048,64,0.10822325293835347,-0.025554611414679886,-0.23612865738970532,-0.045972119854020846,-0.006380790237651619,0.009998000399920015
hidden_unseen_init,any_failure,heldout_init,q0,task_only,task_hidden,log_loss,2048,64,0.3594820749478457,-0.07402203308120393,-0.20591300162029827,-0.1260667403829417,-0.0238360660225344,0.0027994401119776045
hidden_unseen_init,any_failure,heldout_init,q0_to_q2,task_only,task_hidden,brier,2048,64,0.10822325293835347,-0.033792649746017714,-0.3122494364983356,-0.057060178077965304,-0.010076280111088251,0.00639872025594881
hidden_unseen_init,any_failure,heldout_init,q0_to_q2,task_only,task_hidden,log_loss,2048,64,0.3594820749478457,-0.12244187002214069,-0.3406063293695653,-0.19810340327680612,-0.0508444674775149,0.0007998400319936012
hidden_unseen_init,goal_regression,heldout_init,q0,task_only,task_hidden,brier,1024,32,0.04687777078858734,-0.003650334695631156,-0.07786920397929525,-0.009554218137844333,0.0008294176702661853,0.15196960607878424
hidden_unseen_init,goal_regression,heldout_init,q0,task_only,task_hidden,log_loss,1024,32,0.2047734192201796,-0.0103911645757473,-0.05074469438132668,-0.0352747230715924,0.010042010212982254,0.3755248950209958
hidden_unseen_init,goal_regression,heldout_init,q0_to_q2,task_only,task_hidden,brier,1024,32,0.04687777078858734,-0.006528756566954464,-0.13927190771076356,-0.012424001714114641,-0.001546441748497034,0.001999600079984003
hidden_unseen_init,goal_regression,heldout_init,q0_to_q2,task_only,task_hidden,log_loss,1024,32,0.2047734192201796,-0.024984959437935876,-0.12201270815852894,-0.04961297783899454,-0.001614236748707431,0.033193361327734455
hidden_unseen_init,regrasp_or_drop,heldout_init,q0,task_only,task_hidden,brier,2048,64,0.032175375571673756,-0.002116269064759759,-0.06577294055342307,-0.005575134725893732,0.0005135097839467194,0.14717056588682265
hidden_unseen_init,regrasp_or_drop,heldout_init,q0,task_only,task_hidden,log_loss,2048,64,0.14780994367574937,-0.004356866738986382,-0.029476140986455138,-0.01776834735469596,0.0066515791993703695,0.52749450109978
hidden_unseen_init,regrasp_or_drop,heldout_init,q0_to_q2,task_only,task_hidden,brier,2048,64,0.032175375571673756,-0.004599914731992035,-0.14296382405064023,-0.008444856469882776,-0.001630890981316127,0.0011997600479904018
