detector,bundle,name,cohort,alarms_any,alarms_in_window,tp,fp,recall,fpr,precision,task_prior,task_lift,suite_prior,suite_lift,is_baseline,tp_libero_goal,fp_libero_goal,recall_libero_goal,fpr_libero_goal,tp_libero_long,fp_libero_long,recall_libero_long,fpr_libero_long,tp_libero_object,fp_libero_object,recall_libero_object,fpr_libero_object,tp_libero_spatial,fp_libero_spatial,recall_libero_spatial,fpr_libero_spatial,shared_cohorts
moe-failure-modes-0906::conditional_energy|per_task,moe-failure-modes-0906,conditional_energy|per_task,development_main,31,27,22,5,0.045174537987679675,0.0003493327744008943,0.8148148148148148,0.7459185977761883,1.0923642569631957,0.24013349961761107,3.3931742806077745,True,16,1,0.1568627450980392,0.0002565418163160595,5,3,0.02252252252252252,0.0011636927851047323,1,0,0.02702702702702703,0.0,0,1,0.0,0.0002581311306143521,True
moe-failure-modes-0906::conditional_query_d1|global,moe-failure-modes-0906,conditional_query_d1|global,development_main,208,103,77,26,0.15811088295687886,0.0018165304268846503,0.7475728155339806,0.4018830635127444,1.8601749698025625,0.29630117062963846,2.523016746593988,True,2,0,0.0196078431372549,0.0,75,26,0.33783783783783783,0.01008533747090768,0,0,0.0,0.0,0,0,0.0,0.0,True
moe-failure-modes-0906::conditional_query_d1|per_task,moe-failure-modes-0906,conditional_query_d1|per_task,development_main,167,65,50,15,0.1026694045174538,0.0010479983232026828,0.7692307692307693,0.5979372292789409,1.2864741172888552,0.27692626842934903,2.7777457645807253,True,20,4,0.19607843137254902,0.001026167265264238,26,6,0.11711711711711711,0.0023273855702094647,4,4,0.10810810810810811,0.0010093363613424174,0,1,0.0,0.0002581311306143521,True
moe-failure-modes-0906::expert_load_effective_rank|global,moe-failure-modes-0906,expert_load_effective_rank|global,development_main,229,68,56,12,0.11498973305954825,0.0008383986585621463,0.8235294117647058,0.7112050878183739,1.157935208662367,0.4502106134906014,1.829209234717204,True,0,0,0.0,0.0,22,7,0.0990990990990991,0.0027152831652443757,0,0,0.0,0.0,34,5,0.2698412698412698,0.0012906556530717604,True
moe-failure-modes-0906::expert_load_effective_rank|per_task,moe-failure-modes-0906,expert_load_effective_rank|per_task,development_main,367,179,137,42,0.2813141683778234,0.002934395304967512,0.7653631284916201,0.5974540553875236,1.2810409797874525,0.2970879249226699,2.576217558121352,True,58,6,0.5686274509803921,0.0015392508978963571,42,28,0.1891891891891892,0.010861132660977503,9,3,0.24324324324324326,0.000757002271006813,28,5,0.2222222222222222,0.0012906556530717604,True
moe-failure-modes-0906::flow_endpoint|global,moe-failure-modes-0906,flow_endpoint|global,development_main,60,12,9,3,0.018480492813141684,0.00020959966464053657,0.75,0.5412095889662573,1.385784759343501,0.31737487175046447,2.3631360474867287,True,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,9,3,0.07142857142857142,0.0007743933918430562,True
moe-failure-modes-0906::flow_endpoint|per_task,moe-failure-modes-0906,flow_endpoint|per_task,development_main,180,96,69,27,0.14168377823408623,0.0018863969817648292,0.71875,0.5614395086284293,1.2801913455571963,0.25882300682086384,2.7769942433960675,True,35,7,0.3431372549019608,0.0017957927142124167,13,12,0.05855855855855856,0.004654771140418929,9,3,0.24324324324324326,0.000757002271006813,12,5,0.09523809523809523,0.0012906556530717604,True
moe-failure-modes-0906::flow_path|global,moe-failure-modes-0906,flow_path|global,development_main,50,5,4,1,0.008213552361396304,6.986655488017886e-05,0.8,0.6495383654816941,1.2316439528660088,0.4147655999907419,1.9288002669890103,True,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,1,0.031746031746031744,0.0002581311306143521,True
moe-failure-modes-0906::flow_path|per_task,moe-failure-modes-0906,flow_path|per_task,development_main,171,83,54,29,0.11088295687885011,0.002026130091525187,0.6506024096385542,0.594691703503014,1.0940162874413748,0.2135511415518079,3.046588301569518,True,27,5,0.2647058823529412,0.0012827090815802976,3,10,0.013513513513513514,0.003878975950349108,9,12,0.24324324324324326,0.003028009084027252,15,2,0.11904761904761904,0.0005162622612287042,True
moe-failure-modes-0906::flow_settling_log_ratio|global,moe-failure-modes-0906,flow_settling_log_ratio|global,development_main,5,3,2,1,0.004106776180698152,6.986655488017886e-05,0.6666666666666666,0.7142857142857143,0.9333333333333332,0.2352310988674625,2.83409238776838,True,2,0,0.0196078431372549,0.0,0,1,0.0,0.0003878975950349108,0,0,0.0,0.0,0,0,0.0,0.0,True
moe-failure-modes-0906::flow_settling_log_ratio|per_task,moe-failure-modes-0906,flow_settling_log_ratio|per_task,development_main,346,163,105,58,0.21560574948665298,0.004052260183050374,0.6441717791411042,0.4673817862243203,1.3782560598797777,0.19511183141233945,3.301551599809159,True,48,5,0.47058823529411764,0.0012827090815802976,16,18,0.07207207207207207,0.0069821567106283944,25,30,0.6756756756756757,0.00757002271006813,16,5,0.12698412698412698,0.0012906556530717604,True
