corpus,suite,task,event,event_settling,control_settling,event_responsiveness,control_responsiveness,event_coherence,control_coherence
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.46226782825625135,0.35461614921358825,0.8129089827483641,0.8773923567662927,0.487721452376776,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.9628232863630163,0.999990255120934,0.21699932306303718,0.060544831688855154,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,9.744879066020395e-06,0.7239275760587811,0.1168331658085294,0.40116720342981393,0.3357792979789121,0.41560934728800014
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.10868463622366442,9.744879066020395e-06,0.9133007856571417,0.42754723173808695,0.2619910736907755,0.1474497651484145
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.652331949560506,9.744879066020395e-06,0.9056493466532647,0.42754723173808695,0.8664074528835097,0.1474497651484145
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,9.744879066020395e-06,0.7811397610555653,0.9060185849966154,0.18304990871607624,0.487721452376776,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.8127131692295698,0.4331744918045567,0.7594719891690086,0.4368397300457445,0.487721452376776,0.5797277280788946
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.999990255120934,0.5018661443411487,0.603448275862069,0.29537528974953337,0.3357792979789121,0.30823539729871957
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.4697324056208463,0.4331744918045567,0.9735481753471866,0.4368397300457445,0.487721452376776,0.5797277280788946
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.29274591202323175,0.4483131614336666,0.03754948819462963,0.2981209870971712,0.8664074528835097,0.7149330526808162
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.9529029994737765,0.6812612472145888,0.03839053108781718,0.22553283144269623,0.8664074528835097,0.6139501192123539
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.57252139000955,0.6812612472145888,0.029959588914644404,0.22553283144269623,0.8664074528835097,0.6139501192123539
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.999990255120934,0.7961338816451954,0.022287636669470142,0.18728247417041033,0.8664074528835097,0.7401787860479319
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.999990255120934,0.03465712117171634,0.14259779687788468,0.8664074528835097,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.999990255120934,0.10274056903731359,0.14259779687788468,0.3357792979789121,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.9623945116841099,0.999990255120934,0.029959588914644404,0.14259779687788468,0.8664074528835097,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.999990255120934,0.999990255120934,0.03523149192803955,0.14259779687788468,0.8664074528835097,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.08946773470541236,0.3416164805394765,0.024626146177357484,0.5597243020369649,0.8664074528835097,0.6770644526301428
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.567337114346411,0.21330565787678576,0.048113807462717186,0.34758148885105333,0.487721452376776,0.2673312674189713
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.38592254770118306,0.04392910623807668,0.33890951609263775,0.487721452376776,0.6391958525794695
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.999990255120934,0.2752148745834064,0.036585365853658534,0.5985968942952675,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.2752148745834064,0.026308231963732588,0.5985968942952675,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.4594613030852287,0.2752148745834064,0.04587786416131613,0.5985968942952675,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.02565826658091175,0.5,0.04762148967158301,0.4386756651418491,0.8664074528835097,0.4117503751778441
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.3881287883217369,0.2752148745834064,0.02042093171141972,0.5985968942952675,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.4747412734607963,0.39179773529010503,0.012687439742353689,0.3340222363535662,0.8664074528835097,0.5823929525034595
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.08309458379621504,0.33633962852520993,0.04952922111222794,0.2861443311657675,0.8664074528835097,0.4252129256075932
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.714138845036933,0.01096432747338407,0.2880828324683583,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.999990255120934,0.33633962852520993,0.03787770005538575,0.2861443311657675,0.8664074528835097,0.4252129256075932
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.4334034964626089,0.27760236995458887,0.05414470040411085,0.3855617551129254,0.8664074528835097,0.7717359527568264
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.3472587655187199,0.4262117757118634,0.03281092945496318,0.3553098525097951,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.5847024888421135,9.744879066020395e-06,0.04085212004348807,0.07024759482245789,0.487721452376776,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.4262117757118634,0.013795154772405588,0.3553098525097951,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.5824221871406576,0.37144880365368,0.00563088473609715,0.4132392459332499,0.8664074528835097,0.6139501192123539
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.652331949560506,0.3742325907735485,0.009815585960737656,0.24533152816809914,0.8664074528835097,0.6770644526301428
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.999990255120934,0.712594281704964,0.05199081006789883,0.20852735440726988,0.8664074528835097,0.8664074528835097
