corpus,event,lead,axis,auc_event_high,events,pairs
main16x32,loop,-6,query|all|edge_action|jerk,0.5190525231719877,89,971
main16x32,loop,-6,query|all|edge_action|lag4,0.46961894953656025,89,971
main16x32,loop,-6,query|all|edge_action|return_advantage,0.5283213182286303,89,971
main16x32,loop,-6,query|all|edge_action|turn_instability,0.4606035205364627,98,1193
main16x32,loop,-6,query|all|edge_state|d1,0.4541467304625199,100,1254
main16x32,loop,-6,query|all|edge_state|acceleration,0.5569991617770327,98,1193
main16x32,loop,-6,query|all|edge_state|jerk,0.5288362512873327,89,971
main16x32,loop,-6,query|all|edge_state|lag4,0.388259526261586,89,971
main16x32,loop,-6,query|all|edge_state|return_advantage,0.6457260556127703,89,971
main16x32,loop,-6,query|all|edge_state|turn_instability,0.6316010058675607,98,1193
main16x32,loop,-6,query|all|token_gram|d1,0.41746411483253587,100,1254
main16x32,loop,-6,query|all|token_gram|acceleration,0.4392288348700754,98,1193
main16x32,loop,-6,query|all|token_gram|jerk,0.49485066941297634,89,971
main16x32,loop,-6,query|all|token_gram|lag4,0.43975283213182287,89,971
main16x32,loop,-6,query|all|token_gram|return_advantage,0.4840370751802266,89,971
main16x32,loop,-6,query|all|token_gram|turn_instability,0.5138306789606035,98,1193
main16x32,loop,-6,query|all|expert_load|d1,0.49282296650717705,100,1254
