family,level,scope,outcome,method,episodes,alarms,no_alarm,alarm_rate,p25_pct,median_pct,p75_pct,median_query,at_or_after_75pct
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,failure,v8,6,6,0,1.0,46.63461538461539,49.03846153846154,51.44230769230769,25.5,0
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,failure,v82,6,6,0,1.0,46.63461538461539,49.03846153846154,51.44230769230769,25.5,0
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,success,v7,394,20,374,0.050761421319796954,38.46153846153846,42.30769230769231,44.71153846153847,22.0,0
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,success,v8,394,20,374,0.050761421319796954,38.46153846153846,42.30769230769231,44.71153846153847,22.0,0
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,success,v82,394,20,374,0.050761421319796954,38.46153846153846,42.30769230769231,44.71153846153847,22.0,0
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,failure,v7,3,2,1,0.6666666666666666,75.89285714285714,76.78571428571428,77.67857142857143,21.5,2
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,failure,v8,3,2,1,0.6666666666666666,75.89285714285714,76.78571428571428,77.67857142857143,21.5,2
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,failure,v82,3,2,1,0.6666666666666666,75.89285714285714,76.78571428571428,77.67857142857143,21.5,2
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,success,v7,397,1,396,0.0025188916876574307,64.28571428571429,64.28571428571429,64.28571428571429,18.0,0
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,success,v8,397,1,396,0.0025188916876574307,64.28571428571429,64.28571428571429,64.28571428571429,18.0,0
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,success,v82,397,1,396,0.0025188916876574307,64.28571428571429,64.28571428571429,64.28571428571429,18.0,0
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,failure,v7,10,7,3,0.7,75.0,85.71428571428571,91.07142857142858,24.0,6
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,failure,v8,10,7,3,0.7,73.21428571428572,85.71428571428571,91.07142857142858,24.0,5
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,failure,v82,10,9,1,0.9,60.714285714285715,71.42857142857143,85.71428571428571,20.0,4
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,success,v7,390,0,390,0.0,,,,,0
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,success,v8,390,0,390,0.0,,,,,0
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,success,v82,390,0,390,0.0,,,,,0
frozen,task,libero_object/pick_up_the_butter_and_place_it_in_the_basket,failure,v7,0,0,0,,,,,,0
frozen,task,libero_object/pick_up_the_butter_and_place_it_in_the_basket,failure,v8,0,0,0,,,,,,0
