level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,progress_bin,alarms,count
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,False,30904,"[50,75%)",1544,581
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,False,30904,"[75,100%)",1544,924
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,True,1096,"[0,25%)",825,19
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,True,1096,"[25,50%)",825,105
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,True,1096,"[50,75%)",825,453
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,True,1096,"[75,100%)",825,248
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,False,30904,"[0,25%)",1478,1
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,False,30904,"[25,50%)",1478,38
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,False,30904,"[50,75%)",1478,592
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,False,30904,"[75,100%)",1478,847
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,True,1096,"[0,25%)",828,19
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,True,1096,"[25,50%)",828,109
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,True,1096,"[50,75%)",828,440
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,True,1096,"[75,100%)",828,260
all,all,all,all,c2_union_radius,2,union_radius,0.03,False,30904,"[0,25%)",1476,1
all,all,all,all,c2_union_radius,2,union_radius,0.03,False,30904,"[25,50%)",1476,38
all,all,all,all,c2_union_radius,2,union_radius,0.03,False,30904,"[50,75%)",1476,591
all,all,all,all,c2_union_radius,2,union_radius,0.03,False,30904,"[75,100%)",1476,846
all,all,all,all,c2_union_radius,2,union_radius,0.03,True,1096,"[0,25%)",828,19
all,all,all,all,c2_union_radius,2,union_radius,0.03,True,1096,"[25,50%)",828,108
all,all,all,all,c2_union_radius,2,union_radius,0.03,True,1096,"[50,75%)",828,436
all,all,all,all,c2_union_radius,2,union_radius,0.03,True,1096,"[75,100%)",828,265
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,False,30904,"[0,25%)",985,1
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,False,30904,"[25,50%)",985,20
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,False,30904,"[50,75%)",985,294
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,False,30904,"[75,100%)",985,670
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,True,1096,"[0,25%)",851,20
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,True,1096,"[25,50%)",851,105
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,True,1096,"[50,75%)",851,533
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,True,1096,"[75,100%)",851,193
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,False,30904,"[0,25%)",949,1
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,False,30904,"[25,50%)",949,27
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,False,30904,"[50,75%)",949,338
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,False,30904,"[75,100%)",949,583
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,True,1096,"[0,25%)",841,15
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,True,1096,"[25,50%)",841,113
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,True,1096,"[50,75%)",841,506
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,True,1096,"[75,100%)",841,207
all,all,all,all,c4_union_radius,4,union_radius,0.03,False,30904,"[0,25%)",997,1
all,all,all,all,c4_union_radius,4,union_radius,0.03,False,30904,"[25,50%)",997,24
all,all,all,all,c4_union_radius,4,union_radius,0.03,False,30904,"[50,75%)",997,345
all,all,all,all,c4_union_radius,4,union_radius,0.03,False,30904,"[75,100%)",997,627
all,all,all,all,c4_union_radius,4,union_radius,0.03,True,1096,"[0,25%)",865,20
