level,cohort,suite,task,method,clusters,variant,calibration,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_union_radius,64,union_radius,task_init,0.03,800,0,800,0,0,192,608,,0.24,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,knn20,0,knn20,task_init,0.05,800,0,800,0,0,254,546,,0.3175,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,norm_only,0,norm_only,task_init,0.05,800,0,800,0,0,27,773,,0.03375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_centroid_distance,1,centroid_distance,task_init,0.05,800,0,800,0,0,53,747,,0.06625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_assigned_radius,1,assigned_radius,task_init,0.05,800,0,800,0,0,53,747,,0.06625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_union_radius,1,union_radius,task_init,0.05,800,0,800,0,0,53,747,,0.06625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_centroid_distance,2,centroid_distance,task_init,0.05,800,0,800,0,0,108,692,,0.135,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_assigned_radius,2,assigned_radius,task_init,0.05,800,0,800,0,0,108,692,,0.135,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_union_radius,2,union_radius,task_init,0.05,800,0,800,0,0,108,692,,0.135,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_centroid_distance,4,centroid_distance,task_init,0.05,800,0,800,0,0,22,778,,0.0275,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_assigned_radius,4,assigned_radius,task_init,0.05,800,0,800,0,0,15,785,,0.01875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_union_radius,4,union_radius,task_init,0.05,800,0,800,0,0,9,791,,0.01125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_centroid_distance,8,centroid_distance,task_init,0.05,800,0,800,0,0,67,733,,0.08375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_assigned_radius,8,assigned_radius,task_init,0.05,800,0,800,0,0,51,749,,0.06375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_union_radius,8,union_radius,task_init,0.05,800,0,800,0,0,84,716,,0.105,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_centroid_distance,16,centroid_distance,task_init,0.05,800,0,800,0,0,176,624,,0.22,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_assigned_radius,16,assigned_radius,task_init,0.05,800,0,800,0,0,124,676,,0.155,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_union_radius,16,union_radius,task_init,0.05,800,0,800,0,0,66,734,,0.0825,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_centroid_distance,32,centroid_distance,task_init,0.05,800,0,800,0,0,252,548,,0.315,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_assigned_radius,32,assigned_radius,task_init,0.05,800,0,800,0,0,245,555,,0.30625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_union_radius,32,union_radius,task_init,0.05,800,0,800,0,0,108,692,,0.135,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_centroid_distance,64,centroid_distance,task_init,0.05,800,0,800,0,0,263,537,,0.32875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_assigned_radius,64,assigned_radius,task_init,0.05,800,0,800,0,0,239,561,,0.29875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_union_radius,64,union_radius,task_init,0.05,800,0,800,0,0,260,540,,0.325,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,knn20,0,knn20,task_init,0.1,800,0,800,0,0,342,458,,0.4275,0.0
