record_index,candidate,outcome,relative_query,current_query,stored_layer,model_layer,route_replay_mean_h,route_replay_max_h,route_replay_state_h,route_replay_action_h,action_replay_rms
21,3,success,6,35,3,5,0.002415119204670191,0.005097805988043547,0.002367031294852495,0.002419927855953574,0.002039636019617319
21,3,success,6,35,4,12,0.002972718793898821,0.005899924784898758,0.00443503400310874,0.002826486714184284,0.002039636019617319
21,3,success,6,35,5,13,0.0030440688133239746,0.006605346221476793,0.006605346687138081,0.0026879413053393364,0.002039636019617319
21,3,success,6,35,6,14,0.0036327193956822157,0.006999643985182047,0.005328195635229349,0.0034631716553121805,0.002039636019617319
21,3,success,6,35,7,15,0.0035487015265971422,0.006645828951150179,0.006440508179366589,0.0032595202792435884,0.002039636019617319
22,3,success,7,36,0,2,0.0017791488207876682,0.004441749304533005,0.004441749304533005,0.0015128889353945851,0.0024938408751040697
22,3,success,7,36,1,3,0.0019171915482729673,0.004092542454600334,0.004086706321686506,0.0017002400709316134,0.0024938408751040697
22,3,success,7,36,2,4,0.002177842427045107,0.0056311339139938354,0.0046910494565963745,0.0019265213049948215,0.0024938408751040697
22,3,success,7,36,3,5,0.0022558148484677076,0.006978323217481375,0.002331498311832547,0.002248246455565095,0.0024938408751040697
22,3,success,7,36,4,12,0.002376992953941226,0.004664300009608269,0.0045431568287312984,0.0021603768691420555,0.0024938408751040697
22,3,success,7,36,5,13,0.0028043619822710752,0.004651503637433052,0.004096530843526125,0.0026751451659947634,0.0024938408751040697
22,3,success,7,36,6,14,0.0034886368084698915,0.006482381839305162,0.006299576722085476,0.0032075427006930113,0.0024938408751040697
22,3,success,7,36,7,15,0.0032341089099645615,0.0054591502994298935,0.005350078921765089,0.003022512188181281,0.0024938408751040697
23,3,success,8,37,0,2,0.0018049729987978935,0.005086100194603205,0.005086100660264492,0.0014768601395189762,0.003723608795553446
23,3,success,8,37,1,3,0.001968194032087922,0.004367320332676172,0.004312028642743826,0.0017338106408715248,0.003723608795553446
23,3,success,8,37,2,4,0.0025155297480523586,0.0074732559733092785,0.007455267943441868,0.002021556254476309,0.003723608795553446
23,3,success,8,37,3,5,0.0024533856194466352,0.007258822675794363,0.002583638532087207,0.002440360374748707,0.003723608795553446
23,3,success,8,37,4,12,0.0030945197213441133,0.006730492692440748,0.006572556681931019,0.0027467154432088137,0.003723608795553446
23,3,success,8,37,5,13,0.0032803602516651154,0.006721630692481995,0.006565693765878677,0.0029518266674131155,0.003723608795553446
23,3,success,8,37,6,14,0.004103526938706636,0.00909894797950983,0.008868888951838017,0.0036269905976951122,0.003723608795553446
23,3,success,8,37,7,15,0.004037182778120041,0.00785814318805933,0.007482296787202358,0.0036926716566085815,0.003723608795553446
24,4,success,-3,30,0,2,0.0024981354363262653,0.009283766150474548,0.009283766150474548,0.0018195718294009566,0.004728483501821756
24,4,success,-3,30,1,3,0.0028237570077180862,0.00958698894828558,0.00958698894828558,0.002147433813661337,0.004728483501821756
24,4,success,-3,30,2,4,0.003214535303413868,0.00906284712255001,0.00906284712255001,0.0026297045405954123,0.004728483501821756
24,4,success,-3,30,3,5,0.0036020642146468163,0.009131642989814281,0.007977953180670738,0.0031644748523831367,0.004728483501821756
24,4,success,-3,30,4,12,0.00443005608394742,0.010358009487390518,0.010299110785126686,0.0038431512657552958,0.004728483501821756
24,4,success,-3,30,5,13,0.004372322000563145,0.008710724301636219,0.008460354059934616,0.003963519353419542,0.004728483501821756
24,4,success,-3,30,6,14,0.0038402804639190435,0.00674818130210042,0.0065208422020077705,0.003572224173694849,0.004728483501821756
24,4,success,-3,30,7,15,0.004678700119256973,0.011513502337038517,0.011428958736360073,0.004003674257546663,0.004728483501821756
25,4,success,-2,31,0,2,0.0022821289021521807,0.008579728193581104,0.008579729124903679,0.0016523688100278378,0.0026461780071258545
25,4,success,-2,31,1,3,0.0027125875931233168,0.011096990667283535,0.011096990667283535,0.00187414709944278,0.0026461780071258545
25,4,success,-2,31,2,4,0.0034263560082763433,0.01513671875,0.01513671875,0.0022553191520273685,0.0026461780071258545
25,4,success,-2,31,3,5,0.003160286694765091,0.00919992383569479,0.00919992383569479,0.002556322840973735,0.0026461780071258545
25,4,success,-2,31,4,12,0.003137863939628005,0.007956137880682945,0.007782089523971081,0.0026734410785138607,0.0026461780071258545
25,4,success,-2,31,5,13,0.0034130788408219814,0.008464324288070202,0.008455830626189709,0.002908803289756179,0.0026461780071258545
25,4,success,-2,31,6,14,0.0034283404238522053,0.006654791533946991,0.006638010032474995,0.003107373369857669,0.0026461780071258545
25,4,success,-2,31,7,15,0.003601355478167534,0.007393068168312311,0.00737758819013834,0.0032237323466688395,0.0026461780071258545
26,4,success,-1,32,0,2,0.002980991033837199,0.010731084272265434,0.007556536700576544,0.0025234364438802004,0.003492851508781314
26,4,success,-1,32,1,3,0.003569991560652852,0.012522771954536438,0.010433690622448921,0.0028836214914917946,0.003492851508781314
26,4,success,-1,32,2,4,0.004528363235294819,0.018305663019418716,0.01808340474963188,0.0031728593166917562,0.003492851508781314
26,4,success,-1,32,3,5,0.005085777025669813,0.027887657284736633,0.009548166766762733,0.004639538004994392,0.003492851508781314
26,4,success,-1,32,4,12,0.00435803784057498,0.008492444641888142,0.007694377563893795,0.004024404101073742,0.003492851508781314
