suite,method,scope,task,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
libero_long,euclidean,unseen,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,1,399,1,9,0,390,1.0,0.022556390977443608,0.1
libero_long,euclidean,unseen,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,151,249,133,22,18,227,0.8807947019867549,0.08835341365461848,0.8580645161290322
libero_long,euclidean,unseen,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,30,370,25,4,5,366,0.8333333333333334,0.010810810810810811,0.8620689655172413
libero_long,euclidean,unseen,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,4,396,2,1,2,395,0.5,0.0025252525252525255,0.6666666666666666
libero_long,euclidean,unseen,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,353,25,3,22,350,0.5319148936170213,0.0084985835694051,0.8928571428571429
libero_object,cosine,seen,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,80,0,80,0,0,0,80,,0.0,
libero_object,cosine,seen,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,80,2,78,0,0,2,78,0.0,0.0,
libero_object,cosine,seen,libero_object/pick_up_the_butter_and_place_it_in_the_basket,80,0,80,0,0,0,80,,0.0,
libero_object,cosine,seen,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,160,0,160,0,0,0,160,,0.0,
libero_object,cosine,seen,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,240,7,233,0,1,7,232,0.0,0.004291845493562232,0.0
libero_object,cosine,seen,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,160,1,159,0,0,1,159,0.0,0.0,
libero_object,cosine,seen,libero_object/pick_up_the_milk_and_place_it_in_the_basket,240,1,239,0,2,1,237,0.0,0.008368200836820083,0.0
libero_object,cosine,seen,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,240,0,240,0,0,0,240,,0.0,
libero_object,cosine,seen,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,240,4,236,0,2,4,234,0.0,0.00847457627118644,0.0
libero_object,cosine,seen,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,160,9,151,0,1,9,150,0.0,0.006622516556291391,0.0
libero_object,cosine,unseen,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,800,6,794,0,1,6,793,0.0,0.0012594458438287153,0.0
libero_object,cosine,unseen,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,800,20,780,0,7,20,773,0.0,0.008974358974358974,0.0
libero_object,cosine,unseen,libero_object/pick_up_the_butter_and_place_it_in_the_basket,800,0,800,0,1,0,799,,0.00125,0.0
libero_object,cosine,unseen,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,0,400,0,0,0,400,,0.0,
libero_object,cosine,unseen,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,1,399,0,2,1,397,0.0,0.005012531328320802,0.0
libero_object,cosine,unseen,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,7,393,0,5,7,388,0.0,0.01272264631043257,0.0
libero_object,euclidean,seen,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,80,0,80,0,0,0,80,,0.0,
libero_object,euclidean,seen,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,80,2,78,2,0,0,78,1.0,0.0,1.0
libero_object,euclidean,seen,libero_object/pick_up_the_butter_and_place_it_in_the_basket,80,0,80,0,4,0,76,,0.05,0.0
libero_object,euclidean,seen,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,160,0,160,0,0,0,160,,0.0,
libero_object,euclidean,seen,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,240,7,233,7,0,0,233,1.0,0.0,1.0
libero_object,euclidean,seen,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,160,1,159,1,0,0,159,1.0,0.0,1.0
libero_object,euclidean,seen,libero_object/pick_up_the_milk_and_place_it_in_the_basket,240,1,239,1,1,0,238,1.0,0.0041841004184100415,0.5
libero_object,euclidean,seen,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,240,0,240,0,0,0,240,,0.0,
libero_object,euclidean,seen,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,240,4,236,3,0,1,236,0.75,0.0,1.0
libero_object,euclidean,seen,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,160,9,151,6,3,3,148,0.6666666666666666,0.019867549668874173,0.6666666666666666
libero_object,euclidean,unseen,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,800,6,794,6,55,0,739,1.0,0.06926952141057935,0.09836065573770492
