method,task,query,successes,failures,success_zero_fraction,failure_zero_fraction,zero_cross_class_tie_fraction
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,29,8,1,0.25,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,30,6,1,0.16666666666666666,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,31,5,1,0.0,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,32,4,1,0.25,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,33,3,1,0.3333333333333333,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,34,1,1,0.0,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,8,399,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,9,399,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,10,399,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,11,399,1,0.9924812030075187,1.0,0.9924812030075187
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,12,399,1,0.9874686716791979,1.0,0.9874686716791979
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,13,399,1,0.9899749373433584,1.0,0.9899749373433584
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,14,399,1,0.9974937343358395,1.0,0.9974937343358395
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,15,399,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,16,399,1,0.9874686716791979,1.0,0.9874686716791979
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,17,399,1,0.9624060150375939,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,18,399,1,0.9147869674185464,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,19,399,1,0.8947368421052632,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,20,399,1,0.9147869674185464,1.0,0.9147869674185464
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,21,399,1,0.9022556390977443,1.0,0.9022556390977443
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,22,399,1,0.8646616541353384,1.0,0.8646616541353384
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,23,385,1,0.7714285714285715,1.0,0.7714285714285715
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,24,297,1,0.7070707070707071,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,25,172,1,0.5988372093023255,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,26,82,1,0.5975609756097561,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,27,49,1,0.6530612244897959,1.0,0.6530612244897959
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,28,35,1,0.8,1.0,0.8
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,29,34,1,0.8823529411764706,1.0,0.8823529411764706
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,30,28,1,0.7142857142857143,1.0,0.7142857142857143
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,31,21,1,0.7142857142857143,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,32,14,1,0.6428571428571429,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,33,9,1,0.3333333333333333,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,34,8,1,0.375,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,35,8,1,0.125,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,36,7,1,0.2857142857142857,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,37,5,1,0.4,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,38,4,1,0.5,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,39,4,1,0.25,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,40,3,1,0.3333333333333333,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,41,3,1,0.3333333333333333,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,42,2,1,0.5,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,43,1,1,1.0,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,44,1,1,1.0,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,45,1,1,1.0,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,249,151,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,9,249,151,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,10,249,151,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,11,249,151,0.8714859437751004,0.8145695364238411,0.7098859012207771
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,12,249,151,0.6746987951807228,0.609271523178808,0.4110747626266656
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,13,249,151,0.5100401606425703,0.5033112582781457,0.25670895502539964
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,14,249,151,0.5542168674698795,0.5231788079470199,0.28995452006702305
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,15,249,151,0.7269076305220884,0.6754966887417219,0.49102369743876173
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,249,151,0.8714859437751004,0.8410596026490066,0.7329716215856804
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,17,249,151,0.9076305220883534,0.9006622516556292,0.8174685496954707
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,18,249,151,0.8232931726907631,0.8741721854304636,0.7196999920210644
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,19,249,151,0.7068273092369478,0.7880794701986755,0.5570360913854092
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,20,249,151,0.6706827309236948,0.7284768211920529,0.48857682385169815
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,21,249,151,0.7309236947791165,0.8079470198675497,0.5905476209473656
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,22,249,151,0.8714859437751004,0.9205298013245033,0.8022287826803904
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,23,249,151,0.9236947791164659,0.9801324503311258,0.9053432272134898
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,24,249,151,0.9678714859437751,1.0,0.9678714859437751
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,25,249,151,0.9759036144578314,1.0,0.9759036144578314
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,26,249,151,0.9718875502008032,0.9933774834437086,0.9654512088087449
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,27,249,151,0.9437751004016064,0.9735099337748344,0.9187744354903056
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,28,249,151,0.8714859437751004,0.8609271523178808,0.7502859118593579
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,29,249,151,0.7670682730923695,0.6688741721854304,0.5130721561743663
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,30,249,151,0.6265060240963856,0.48344370860927155,0.30288039575520626
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,31,249,151,0.5461847389558233,0.33112582781456956,0.18085587382643156
leaky_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,32,249,151,0.5823293172690763,0.2913907284768212,0.16968536397244607
