worker,init_state_id,snapshot,candidate,episode_id,recorded_success,replayed_success,on__moka_pot_1__flat_stove_1_cook_region,on__moka_pot_2__flat_stove_1_cook_region,turnon__flat_stove_1
3,7,3,1,400000301,True,True,True,True,True
3,7,3,2,400000302,True,True,True,True,True
3,7,3,3,400000303,True,True,True,True,True
3,7,3,4,400000304,True,True,True,True,True
3,7,3,5,400000305,True,True,True,True,True
3,7,3,6,400000306,True,True,True,True,True
3,7,3,7,400000307,True,True,True,True,True
3,7,3,8,400000308,True,True,True,True,True
3,7,3,9,400000309,True,True,True,True,True
3,7,3,10,400000310,True,True,True,True,True
3,7,3,11,400000311,True,True,True,True,True
3,7,3,12,400000312,False,False,False,True,True
3,7,3,13,400000313,True,True,True,True,True
3,7,3,14,400000314,True,True,True,True,True
3,7,3,15,400000315,True,True,True,True,True
3,7,4,0,400000400,True,True,True,True,True
3,7,4,1,400000401,True,True,True,True,True
3,7,4,2,400000402,True,True,True,True,True
3,7,4,3,400000403,True,True,True,True,True
3,7,4,4,400000404,False,False,False,True,True
3,7,4,5,400000405,True,True,True,True,True
3,7,4,6,400000406,True,True,True,True,True
3,7,4,7,400000407,True,True,True,True,True
3,7,4,8,400000408,True,True,True,True,True
3,7,4,9,400000409,False,False,False,True,True
3,7,4,10,400000410,True,True,True,True,True
3,7,4,11,400000411,False,False,False,True,True
3,7,4,12,400000412,True,True,True,True,True
3,7,4,13,400000413,True,True,True,True,True
3,7,4,14,400000414,True,True,True,True,True
3,7,4,15,400000415,True,True,True,True,True
3,7,5,0,400000500,False,False,False,True,True
3,7,5,1,400000501,True,True,True,True,True
3,7,5,2,400000502,True,True,True,True,True
3,7,5,3,400000503,True,True,True,True,True
3,7,5,4,400000504,True,True,True,True,True
3,7,5,5,400000505,True,True,True,True,True
3,7,5,6,400000506,True,True,True,True,True
3,7,5,7,400000507,False,False,False,True,True
3,7,5,8,400000508,True,True,True,True,True
3,7,5,9,400000509,True,True,True,True,True
3,7,5,10,400000510,True,True,True,True,True
3,7,5,11,400000511,True,True,True,True,True
3,7,5,12,400000512,True,True,True,True,True
3,7,5,13,400000513,True,True,True,True,True
3,7,5,14,400000514,True,True,True,True,True
3,7,5,15,400000515,True,True,True,True,True
