cohort,quantity,layer,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
external_8b,size,L14,32,569,274,0.48154657293497366,0.39816899665965605,0.39816899665965605,0.1880075941356397
external_8b,size,L15,4,15600,564,0.036153846153846154,0.41570773877917583,0.436891472256955,0.5135181542880335
external_8b,size,L15,6,15600,564,0.036153846153846154,0.3816898545146495,0.39151309144296875,0.5285972963691424
external_8b,size,L15,8,14456,564,0.03901494189263974,0.3957744954491896,0.389711585713099,0.5596047784099579
external_8b,size,L15,10,11342,564,0.04972667959795451,0.5170948438439743,0.3917719808823092,0.5617420391565278
external_8b,size,L15,12,9146,564,0.06166630220861579,0.5241400853840547,0.3878701227226997,0.5192875341784737
external_8b,size,L15,14,5753,564,0.09803580740483227,0.5527028670851734,0.4166557869604485,0.5409942209938344
external_8b,size,L15,16,4793,564,0.11767160442311704,0.5199630548274411,0.3108701868089973,0.597439782745592
external_8b,size,L15,18,4300,564,0.13116279069767442,0.45166636293225204,0.24644309358815975,0.5197808351542169
external_8b,size,L15,20,3995,564,0.1411764705882353,0.42604248704449005,0.2943481746224487,0.5168170429158593
external_8b,size,L15,24,2174,424,0.19503219871205152,0.3279622641509434,0.28013592639063156,0.42964883767644857
external_8b,size,L15,28,769,380,0.494148244473342,0.4897578135570288,0.4766768779717717,0.40457142857142864
external_8b,size,L15,32,569,274,0.48154657293497366,0.46078188791290364,0.46078188791290364,0.2551418626727138
external_8b,common_component,L2,4,15600,564,0.036153846153846154,0.4868158028297099,0.5810644377607306,0.5114368372305995
external_8b,common_component,L2,6,15600,564,0.036153846153846154,0.5734606919751933,0.6330420473191924,0.511806271008294
external_8b,common_component,L2,8,14456,564,0.03901494189263974,0.614940125752257,0.6075535978974191,0.5343775205458549
external_8b,common_component,L2,10,11342,564,0.04972667959795451,0.5367610867422343,0.5598617735426231,0.48903682812448757
external_8b,common_component,L2,12,9146,564,0.06166630220861579,0.5283733395478909,0.5639383955051664,0.5233578796917723
external_8b,common_component,L2,14,5753,564,0.09803580740483227,0.6301184037701139,0.6000688551270243,0.5460677631960417
external_8b,common_component,L2,16,4793,564,0.11767160442311704,0.6103064118237969,0.49901448722836445,0.5262614137279596
external_8b,common_component,L2,18,4300,564,0.13116279069767442,0.5217378923868969,0.30037962152388586,0.4474212993971869
external_8b,common_component,L2,20,3995,564,0.1411764705882353,0.4937651285422235,0.2877975761926151,0.46052160604302694
external_8b,common_component,L2,24,2174,424,0.19503219871205152,0.5188234501347709,0.5048410706817231,0.5429776665875349
external_8b,common_component,L2,28,769,380,0.494148244473342,0.38878365579759167,0.4077129808866921,0.4045714285714286
external_8b,common_component,L2,32,569,274,0.48154657293497366,0.29500185574662874,0.29500185574662874,0.21577365256829448
external_8b,common_component,L3,4,15600,564,0.036153846153846154,0.46516539973095306,0.5387861924984699,0.46705275098082066
external_8b,common_component,L3,6,15600,564,0.036153846153846154,0.39119069316383,0.4462561814966262,0.5359755653377457
external_8b,common_component,L3,8,14456,564,0.03901494189263974,0.39710275111141063,0.4323036612010373,0.5556318531598108
external_8b,common_component,L3,10,11342,564,0.04972667959795451,0.43133059989550554,0.4294241886384595,0.52039484471846
external_8b,common_component,L3,12,9146,564,0.06166630220861579,0.42682358424609645,0.4097866584744763,0.5146734402187423
external_8b,common_component,L3,14,5753,564,0.09803580740483227,0.4741939099212874,0.3971420651172773,0.529416880882893
external_8b,common_component,L3,16,4793,564,0.11767160442311704,0.4876670540627112,0.3468842927945101,0.5685906013853904
external_8b,common_component,L3,18,4300,564,0.13116279069767442,0.5066707670812641,0.2981614127811367,0.5492736595917561
external_8b,common_component,L3,20,3995,564,0.1411764705882353,0.5170054633287238,0.2778319840275435,0.5321714659524309
external_8b,common_component,L3,24,2174,424,0.19503219871205152,0.544099730458221,0.5016666666666666,0.5148189404868428
external_8b,common_component,L3,28,769,380,0.494148244473342,0.5133540792856176,0.4832829032682441,0.47314285714285714
external_8b,common_component,L3,32,569,274,0.48154657293497366,0.5900903130025981,0.5900903130025981,0.623642020883873
external_8b,common_component,L4,4,15600,564,0.036153846153846154,0.38863736488691913,0.4378480318715525,0.5107552058942899
external_8b,common_component,L4,6,15600,564,0.036153846153846154,0.42845456955316696,0.4789251799533642,0.4935375105366676
external_8b,common_component,L4,8,14456,564,0.03901494189263974,0.5230361165056474,0.5450316418006051,0.5153957665729296
external_8b,common_component,L4,10,11342,564,0.04972667959795451,0.5160964546903398,0.5437944352447719,0.5747220673597219
external_8b,common_component,L4,12,9146,564,0.06166630220861579,0.5148019275045411,0.5312921772832697,0.574788714889386
external_8b,common_component,L4,14,5753,564,0.09803580740483227,0.5246528731673248,0.4826037968684331,0.4012543729101838
external_8b,common_component,L4,16,4793,564,0.11767160442311704,0.46664369123025917,0.4687685855890202,0.40693875944584385
external_8b,common_component,L4,18,4300,564,0.13116279069767442,0.4229492231992346,0.3909201731205053,0.42395660623895115
external_8b,common_component,L4,20,3995,564,0.1411764705882353,0.46868508033759776,0.44183657460439585,0.4976116713363532
external_8b,common_component,L4,24,2174,424,0.19503219871205152,0.728300539083558,0.7781827687160184,0.4727269407059769
external_8b,common_component,L4,28,769,380,0.494148244473342,0.45658909484508187,0.4927267943393035,0.4370031746031746
external_8b,common_component,L4,32,569,274,0.48154657293497366,0.5578745515278981,0.5578745515278981,0.6475846429701508
external_8b,common_component,L5,4,15600,564,0.036153846153846154,0.4511293463064532,0.49527258663482515,0.5443996961277097
external_8b,common_component,L5,6,15600,564,0.036153846153846154,0.4637799541148525,0.4931750081668976,0.5565962140842725
