experiment,unit,event,leg,signal,lead,effect,ci_lo,ci_hi,p_maxT,n_groups,n_groups_pos,n_groups_neg,n_events_used,n_pairs
E2,U2_grid_S8,loop,raw,A,0,0.216422,0.053436,0.379408,0.156922,18,13,3,51,159
E2,U2_grid_S8,loop,raw,A,1,0.110578,-0.055933,0.277089,0.963018,18,11,4,51,155
E2,U2_grid_S8,loop,raw,A,2,0.131912,-0.042261,0.306084,0.838081,17,12,5,49,143
E2,U2_grid_S8,loop,raw,D_layer,-4,0.227056,0.061544,0.392569,0.116442,20,15,5,56,175
E2,U2_grid_S8,loop,raw,D_layer,-3,0.25829,0.100242,0.416338,0.043978,20,15,4,55,168
E2,U2_grid_S8,loop,raw,D_layer,-2,0.232809,0.09086,0.374758,0.101949,19,15,4,54,166
E2,U2_grid_S8,loop,raw,D_layer,-1,0.209683,0.038239,0.381128,0.192404,19,15,4,52,161
E2,U2_grid_S8,loop,raw,D_layer,0,0.173028,0.008858,0.337198,0.470765,18,13,5,51,159
E2,U2_grid_S8,loop,raw,D_layer,1,0.183173,0.027706,0.33864,0.368316,18,13,4,51,155
E2,U2_grid_S8,loop,raw,D_layer,2,0.140557,-0.041643,0.322757,0.767116,17,12,4,49,143
E2,U2_grid_S8,loop,raw,flow_com,-4,0.050054,-0.069842,0.16995,1.0,20,12,8,56,175
E2,U2_grid_S8,loop,raw,flow_com,-3,0.139145,-0.015995,0.294285,0.77911,20,16,4,55,168
E2,U2_grid_S8,loop,raw,flow_com,-2,-0.035578,-0.180052,0.108897,1.0,19,9,10,54,166
E2,U2_grid_S8,loop,raw,flow_com,-1,0.046757,-0.105037,0.198551,1.0,19,9,9,52,161
E2,U2_grid_S8,loop,raw,flow_com,0,0.034596,-0.108649,0.177841,1.0,18,9,7,51,159
E2,U2_grid_S8,loop,raw,flow_com,1,-0.056405,-0.219022,0.106212,1.0,18,6,10,51,155
E2,U2_grid_S8,loop,raw,flow_com,2,0.052449,-0.118902,0.2238,1.0,17,9,8,49,143
E2,U2_grid_S8,loop,resid_mob1w8,D_tok,-4,0.188999,0.05367,0.324328,0.145427,20,16,4,56,175
E2,U2_grid_S8,loop,resid_mob1w8,D_tok,-3,0.214405,0.080854,0.347956,0.055972,20,15,4,55,168
E2,U2_grid_S8,loop,resid_mob1w8,D_tok,-2,0.108407,-0.035603,0.252418,0.926537,19,14,5,54,166
E2,U2_grid_S8,loop,resid_mob1w8,D_tok,-1,0.184055,0.018597,0.349512,0.169915,19,14,5,52,161
E2,U2_grid_S8,loop,resid_mob1w8,D_tok,0,0.160506,0.03312,0.287892,0.354823,18,14,4,51,159
E2,U2_grid_S8,loop,resid_mob1w8,D_tok,1,0.066938,-0.072323,0.206199,1.0,17,10,6,50,154
E2,U2_grid_S8,loop,resid_mob1w8,D_tok,2,0.12304,0.007463,0.238617,0.794603,15,10,3,47,141
E2,U2_grid_S8,loop,resid_mob1w8,C,-4,-0.189394,-0.331757,-0.047031,0.144928,20,6,14,56,175
E2,U2_grid_S8,loop,resid_mob1w8,C,-3,-0.197738,-0.327329,-0.068148,0.09945,20,4,14,55,168
E2,U2_grid_S8,loop,resid_mob1w8,C,-2,-0.111039,-0.248104,0.026026,0.908546,19,4,14,54,166
E2,U2_grid_S8,loop,resid_mob1w8,C,-1,-0.158138,-0.325524,0.009249,0.384308,19,6,13,52,161
E2,U2_grid_S8,loop,resid_mob1w8,C,0,-0.160506,-0.286617,-0.034395,0.354823,18,3,14,51,159
E2,U2_grid_S8,loop,resid_mob1w8,C,1,-0.09635,-0.230681,0.03798,0.976012,17,5,11,50,154
E2,U2_grid_S8,loop,resid_mob1w8,C,2,-0.11918,-0.240938,0.002578,0.83908,15,4,10,47,141
E2,U2_grid_S8,loop,resid_mob1w8,S_ent,-4,-0.109989,-0.274298,0.05432,0.917041,20,8,12,56,175
E2,U2_grid_S8,loop,resid_mob1w8,S_ent,-3,-0.201883,-0.337562,-0.066204,0.087956,20,5,15,55,168
E2,U2_grid_S8,loop,resid_mob1w8,S_ent,-2,-0.116057,-0.248298,0.016183,0.863568,19,4,14,54,166
E2,U2_grid_S8,loop,resid_mob1w8,S_ent,-1,-0.152856,-0.306229,0.000518,0.436782,19,4,14,52,161
E2,U2_grid_S8,loop,resid_mob1w8,S_ent,0,-0.108017,-0.267683,0.051649,0.928536,18,3,13,51,159
E2,U2_grid_S8,loop,resid_mob1w8,S_ent,1,-0.039931,-0.150138,0.070276,1.0,17,6,9,50,154
E2,U2_grid_S8,loop,resid_mob1w8,S_ent,2,-0.109139,-0.213842,-0.004436,0.921539,15,3,11,47,141
E2,U2_grid_S8,loop,resid_mob1w8,S_margin,-4,-0.006255,-0.140086,0.127575,1.0,20,11,8,56,175
E2,U2_grid_S8,loop,resid_mob1w8,S_margin,-3,0.065292,-0.070032,0.200617,1.0,20,10,10,55,168
E2,U2_grid_S8,loop,resid_mob1w8,S_margin,-2,0.074322,-0.04585,0.194494,1.0,19,13,5,54,166
E2,U2_grid_S8,loop,resid_mob1w8,S_margin,-1,0.154823,-0.005148,0.314793,0.416292,19,15,4,52,161
E2,U2_grid_S8,loop,resid_mob1w8,S_margin,0,0.094567,-0.02919,0.218324,0.98001,18,11,4,51,159
E2,U2_grid_S8,loop,resid_mob1w8,S_margin,1,0.024474,-0.115151,0.164098,1.0,17,8,7,50,154
E2,U2_grid_S8,loop,resid_mob1w8,S_margin,2,0.140779,0.052032,0.229526,0.578211,15,11,1,47,141
E2,U2_grid_S8,loop,resid_mob1w8,V,-4,0.128701,-0.027428,0.284831,0.729135,20,15,5,56,175
E2,U2_grid_S8,loop,resid_mob1w8,V,-3,0.232262,0.102039,0.362484,0.024988,20,16,4,55,168
E2,U2_grid_S8,loop,resid_mob1w8,V,-2,0.099909,-0.020136,0.219954,0.965517,19,12,5,54,166
E2,U2_grid_S8,loop,resid_mob1w8,V,-1,0.148785,-0.001732,0.299302,0.481259,19,13,5,52,161
E2,U2_grid_S8,loop,resid_mob1w8,V,0,0.048252,-0.081852,0.178357,1.0,18,9,5,51,159
E2,U2_grid_S8,loop,resid_mob1w8,V,1,0.022914,-0.098919,0.144747,1.0,17,11,4,50,154
E2,U2_grid_S8,loop,resid_mob1w8,V,2,0.044117,-0.062939,0.151173,1.0,15,8,5,47,141
E2,U2_grid_S8,loop,resid_mob1w8,A,-4,0.177035,0.014005,0.340065,0.216892,20,15,5,56,175
E2,U2_grid_S8,loop,resid_mob1w8,A,-3,0.266071,0.138573,0.39357,0.004998,20,16,3,55,168
E2,U2_grid_S8,loop,resid_mob1w8,A,-2,0.097824,-0.041674,0.237322,0.970515,19,11,5,54,166
E2,U2_grid_S8,loop,resid_mob1w8,A,-1,0.182118,0.03986,0.324376,0.183408,19,15,3,52,161
E2,U2_grid_S8,loop,resid_mob1w8,A,0,0.113508,-0.025693,0.252709,0.887056,18,12,3,51,159
E2,U2_grid_S8,loop,resid_mob1w8,A,1,0.034169,-0.099714,0.168053,1.0,17,7,5,50,154
E2,U2_grid_S8,loop,resid_mob1w8,A,2,0.01419,-0.124776,0.153155,1.0,15,8,6,47,141
E2,U2_grid_S8,loop,resid_mob1w8,D_layer,-4,0.109275,-0.045629,0.264179,0.921039,20,13,7,56,175
E2,U2_grid_S8,loop,resid_mob1w8,D_layer,-3,0.128907,-0.031398,0.289212,0.728636,20,14,6,55,168
E2,U2_grid_S8,loop,resid_mob1w8,D_layer,-2,0.151584,0.046327,0.25684,0.447776,19,16,2,54,166
E2,U2_grid_S8,loop,resid_mob1w8,D_layer,-1,0.157344,0.003496,0.311193,0.388806,19,14,5,52,161
E2,U2_grid_S8,loop,resid_mob1w8,D_layer,0,0.104421,-0.047953,0.256795,0.944028,18,12,6,51,159
E2,U2_grid_S8,loop,resid_mob1w8,D_layer,1,0.052839,-0.087026,0.192705,1.0,17,10,6,50,154
E2,U2_grid_S8,loop,resid_mob1w8,D_layer,2,0.110553,0.00189,0.219217,0.910545,15,10,4,47,141
E2,U2_grid_S8,loop,resid_mob1w8,flow_com,-4,0.022511,-0.108089,0.153111,1.0,20,12,8,56,175
E2,U2_grid_S8,loop,resid_mob1w8,flow_com,-3,0.095173,-0.027617,0.217963,0.97901,20,14,5,55,168
E2,U2_grid_S8,loop,resid_mob1w8,flow_com,-2,-0.050763,-0.142018,0.040492,1.0,19,6,12,54,166
E2,U2_grid_S8,loop,resid_mob1w8,flow_com,-1,-0.043683,-0.164859,0.077493,1.0,19,6,10,52,161
E2,U2_grid_S8,loop,resid_mob1w8,flow_com,0,-0.098252,-0.259352,0.062848,0.968016,18,5,11,51,159
E2,U2_grid_S8,loop,resid_mob1w8,flow_com,1,-0.072988,-0.206001,0.060024,1.0,17,7,9,50,154
E2,U2_grid_S8,loop,resid_mob1w8,flow_com,2,-0.079885,-0.249404,0.089635,0.999,15,6,8,47,141
E2,U3_grid_long_objaware,loop,raw,D_tok,-4,0.058059,-0.082438,0.198555,1.0,23,12,9,52,172
E2,U3_grid_long_objaware,loop,raw,D_tok,-3,0.092243,-0.070928,0.255414,1.0,22,12,9,51,167
E2,U3_grid_long_objaware,loop,raw,D_tok,-2,-0.058102,-0.205578,0.089373,1.0,21,8,10,49,160
E2,U3_grid_long_objaware,loop,raw,D_tok,-1,0.084677,-0.078802,0.248156,1.0,20,9,8,48,156
E2,U3_grid_long_objaware,loop,raw,D_tok,0,0.031798,-0.156238,0.219835,1.0,19,9,10,47,151
E2,U3_grid_long_objaware,loop,raw,D_tok,1,0.121705,-0.073929,0.317338,0.982009,19,13,6,47,148
E2,U3_grid_long_objaware,loop,raw,D_tok,2,0.035447,-0.17332,0.244213,1.0,19,10,8,47,141
E2,U3_grid_long_objaware,loop,raw,C,-4,-0.030238,-0.181256,0.120781,1.0,23,12,10,52,172
E2,U3_grid_long_objaware,loop,raw,C,-3,-0.095896,-0.258295,0.066503,1.0,22,8,13,51,167
E2,U3_grid_long_objaware,loop,raw,C,-2,0.046396,-0.100172,0.192963,1.0,21,9,8,49,160
E2,U3_grid_long_objaware,loop,raw,C,-1,-0.070183,-0.235411,0.095045,1.0,20,7,9,48,156
E2,U3_grid_long_objaware,loop,raw,C,0,-0.048716,-0.22485,0.127419,1.0,19,9,10,47,151
