direction,event_kind,horizon,predicted_probability,observed_probability,target_events,target_support,absolute_calibration_error
B_to_A,static,2,0.105307735743,0.05786618444846293,32,553,0.04744155129453707
B_to_A,static,2,0.12012987013,0.10810810810810811,4,37,0.012021762021891882
B_to_A,static,2,0.161469933185,0.09701492537313433,13,134,0.06445500781186567
B_to_A,static,2,0.201923076923,0.25,3,12,0.04807692307700001
B_to_A,static,2,0.23275862069,0.26666666666666666,4,15,0.03390804597666666
B_to_A,static,2,0.308823529412,0.0,0,11,0.308823529412
B_to_A,static,2,0.33064516129,0.17391304347826086,4,23,0.15673211781173912
B_to_A,static,2,0.426829268293,0.125,2,16,0.301829268293
B_to_A,static,4,0.00261684518,0.007423732745621157,64,8621,0.004806887565621157
B_to_A,static,4,0.049258260283,0.14285714285714285,3,21,0.09359888257414285
B_to_A,static,4,0.049682337992,0.06034939121228163,114,1889,0.010667053220281629
B_to_A,static,4,0.122222222222,0.23076923076923078,3,13,0.10854700854723079
B_to_A,static,4,0.161773009599,0.0867992766726944,48,553,0.07497373292630562
B_to_A,static,4,0.224025974026,0.1891891891891892,7,37,0.0348367848368108
B_to_A,static,4,0.232739420935,0.12686567164179105,17,134,0.10587374929320895
B_to_A,static,4,0.240384615385,0.3333333333333333,4,12,0.09294871794833331
B_to_A,static,4,0.25,0.26666666666666666,4,15,0.016666666666666663
B_to_A,static,4,0.33064516129,0.17391304347826086,4,23,0.15673211781173912
B_to_A,static,4,0.338235294118,0.0,0,11,0.338235294118
B_to_A,static,4,0.426829268293,0.125,2,16,0.301829268293
B_to_A,trap,0,0.000691289749,0.015143737166324436,59,3896,0.014452447417324436
B_to_A,trap,0,0.004893035958,0.03903559127439724,68,1742,0.03414255531639724
B_to_A,trap,0,0.02,0.0,0,30,0.02
B_to_A,trap,0,0.024450278963,0.054989816700611,54,982,0.030539537737610995
B_to_A,trap,0,0.03264604811,0.010638297872340425,1,94,0.022007750237659572
B_to_A,trap,0,0.034653465347,0.07894736842105263,3,38,0.04429390307405263
B_to_A,trap,0,0.037234042553,0.03125,1,32,0.005984042553000002
B_to_A,trap,0,0.038706256628,0.034482758620689655,12,348,0.004223498007310346
B_to_A,trap,0,0.081818181818,0.0,0,8,0.081818181818
B_to_A,trap,0,0.083333333333,0.0,0,23,0.083333333333
B_to_A,trap,0,0.107142857143,0.058823529411764705,1,17,0.04831932773123529
B_to_A,trap,0,0.115,0.07017543859649122,4,57,0.04482456140350878
B_to_A,trap,0,0.144736842105,0.05263157894736842,1,19,0.0921052631576316
B_to_A,trap,0,0.228155339806,0.1111111111111111,5,45,0.1170442286948889
B_to_A,trap,2,0.002666403318,0.030800821355236138,120,3896,0.02813441803723614
B_to_A,trap,2,0.016727355485,0.10045924225028703,175,1742,0.08373188676528703
B_to_A,trap,2,0.071709878569,0.1924643584521385,189,982,0.12075447988313849
B_to_A,trap,2,0.086666666667,0.13333333333333333,4,30,0.04666666666633333
B_to_A,trap,2,0.09793814433,0.11702127659574468,11,94,0.01908313226574468
B_to_A,trap,2,0.111876988335,0.22988505747126436,80,348,0.11800806913626437
B_to_A,trap,2,0.163366336634,0.23684210526315788,9,38,0.07347576862915789
B_to_A,trap,2,0.190909090909,0.125,1,8,0.06590909090899999
B_to_A,trap,2,0.218085106383,0.21875,7,32,0.0006648936170000064
B_to_A,trap,2,0.22619047619,0.11764705882352941,2,17,0.10854341736647058
B_to_A,trap,2,0.315533980583,0.2,9,45,0.11553398058299996
B_to_A,trap,2,0.345,0.14035087719298245,8,57,0.20464912280701753
B_to_A,trap,2,0.371212121212,0.13043478260869565,3,23,0.24077733860330433
B_to_A,trap,2,0.513157894737,0.15789473684210525,3,19,0.35526315789489477
B_to_A,trap,4,0.007209164527,0.06314168377823409,246,3896,0.05593251925123409
