dataset,key,family,query,layer_group,metric,denoise_step,feature_kind,failure_mean,success_mean,adjusted_difference,residual_sd,effect_sigma,effect_ci95_low,effect_ci95_high,permutation_p_raw,permutation_p_max_family,permutation_p_max_global
right16x32_pooled,q2|action|back_12_15|token_dispersion|d0,q2_level,2,back_12_15,token_dispersion,0,level,0.017318792641162872,0.022242259234189987,-0.00015792037130307648,0.0009819431538959243,-0.160824351874665,,,0.06296851574212893,0.8270864567716142,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d1,q2_level,2,back_12_15,token_dispersion,1,level,0.01741812564432621,0.02244461514055729,-0.00015368189470771123,0.0009218806717737382,-0.16670475844994193,-0.3336587440885596,-0.003214296949227516,0.054972513743128434,0.7756121939030485,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d2,q2_level,2,back_12_15,token_dispersion,2,level,0.017845086753368378,0.023062055930495262,-0.0001349874020429867,0.0009020687438545784,-0.1496420344487048,,,0.07946026986506746,0.9045477261369316,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d3,q2_level,2,back_12_15,token_dispersion,3,level,0.018405893817543983,0.023836782202124596,-0.00012766672236798148,0.0008839040844104857,-0.14443504065616802,,,0.0879560219890055,0.9315342328835582,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d4,q2_level,2,back_12_15,token_dispersion,4,level,0.01902628131210804,0.02461068145930767,-9.430567961545412e-05,0.0008801742249558936,-0.10714433227146578,,,0.19390304847576212,0.9995002498750625,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d5,q2_level,2,back_12_15,token_dispersion,5,level,0.019775668159127235,0.02559296041727066,-8.336512969814172e-05,0.0008774604349806944,-0.09500728052766949,,,0.2493753123438281,1.0,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d6,q2_level,2,back_12_15,token_dispersion,6,level,0.020670058205723763,0.026674948632717133,-6.174314447249257e-05,0.0008875816791303092,-0.0695633381403176,,,0.4002998500749625,1.0,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d7,q2_level,2,back_12_15,token_dispersion,7,level,0.021875232458114624,0.028158558532595634,-6.401165532467387e-05,0.0008960850393866136,-0.07143479972446701,,,0.3893053473263368,1.0,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d8,q2_level,2,back_12_15,token_dispersion,8,level,0.023835554718971252,0.030373569577932358,-7.224359267847698e-05,0.0009245518348830527,-0.07813903985990697,,,0.34332833583208394,1.0,1.0
right16x32_pooled,q2|action|back_12_15|token_dispersion|d9,q2_level,2,back_12_15,token_dispersion,9,level,0.02681962214410305,0.03357860818505287,-8.944141551793173e-05,0.001000161059639898,-0.08942701243551172,,,0.2783608195902049,1.0,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d0_to_d1,q2_motion,2,back_12_15,denoise_motion,1,motion,0.004350563511252403,0.0049438076093792915,7.812722242846986e-06,0.00017591871081676323,0.04441097940391747,,,0.6016991504247876,1.0,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d1_to_d2,q2_motion,2,back_12_15,denoise_motion,2,motion,0.0045282188802957535,0.005254341289401054,5.625980590006319e-06,0.00016551208124624087,0.03399135910590271,,,0.6851574212893553,1.0,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d2_to_d3,q2_motion,2,back_12_15,denoise_motion,3,motion,0.004337870050221682,0.005201261956244707,7.247345403939131e-06,0.00017178303562728994,0.04218894710688066,,,0.6216891554222889,1.0,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d3_to_d4,q2_motion,2,back_12_15,denoise_motion,4,motion,0.004655356984585524,0.0054429988376796246,2.2195892093538292e-05,0.00016834159141301835,0.1318503164145674,,,0.13093453273363317,0.7451274362818591,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d4_to_d5,q2_motion,2,back_12_15,denoise_motion,5,motion,0.005121747497469187,0.006093705538660288,1.1988738096531978e-05,0.00019483428735893134,0.06153299944812001,,,0.5047476261869065,1.0,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d5_to_d6,q2_motion,2,back_12_15,denoise_motion,6,motion,0.005778616759926081,0.006976590491831303,3.4110658756571686e-06,0.00021146587091110399,0.016130573983217898,,,0.8465767116441779,1.0,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d6_to_d7,q2_motion,2,back_12_15,denoise_motion,7,motion,0.0070418850518763065,0.008524029515683651,6.552750079879042e-06,0.0002546467012301292,0.025732711432052652,,,0.7736131934032984,1.0,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d7_to_d8,q2_motion,2,back_12_15,denoise_motion,8,motion,0.009604226797819138,0.011299457401037216,-5.9787390687191656e-06,0.00033285847162699603,-0.017961805326736555,,,0.8260869565217391,1.0,1.0
right16x32_pooled,q2|action|back_12_15|denoise_motion|d8_to_d9,q2_motion,2,back_12_15,denoise_motion,9,motion,0.014549009501934052,0.017390064895153046,3.8501534911175226e-05,0.00042127202390463054,0.09139352419920335,,,0.2513743128435782,0.9730134932533733,1.0
right16x32_pooled,q3|action|front_2_5|entropy|d0,q3_level,3,front_2_5,entropy,0,level,0.9986206889152527,0.9982544779777527,-3.792713623853152e-06,0.00013522708897316553,-0.028046996002448726,,,0.7301349325337332,1.0,1.0
right16x32_pooled,q3|action|front_2_5|entropy|d1,q3_level,3,front_2_5,entropy,1,level,0.9985966086387634,0.9982534646987915,-6.572809685489146e-06,0.0001261587349787838,-0.05209952118332908,,,0.5207396301849075,1.0,1.0
right16x32_pooled,q3|action|front_2_5|entropy|d2,q3_level,3,front_2_5,entropy,2,level,0.998579740524292,0.9982038140296936,-7.475272824931176e-06,0.0001210613083790813,-0.061747827815669475,,,0.44677661169415295,1.0,1.0
right16x32_pooled,q3|action|front_2_5|entropy|d3,q3_level,3,front_2_5,entropy,3,level,0.9985544681549072,0.9981604218482971,-9.552254544539055e-06,0.00011641857447370086,-0.0820509492383187,,,0.3193403298350825,1.0,1.0
