quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
mobility,adjacent_query,L2,high,0.5,global,135,4411,0.27720739219712526,0.30818137357646896,0.029696436427628686,123,4408,0.02714632531450011,0.9111111111111111,0.03062307426204043,0.9697405353073782
mobility,adjacent_query,L2,high,0.6,per_task,36,308,0.07392197125256673,0.02151889890309509,0.10465116279069768,27,301,0.08231707317073171,0.75,0.05837663024806652,1.792689340682932
mobility,adjacent_query,L2,high,0.6,global,113,3585,0.23203285420944558,0.2504715992454412,0.030557057869118442,103,3582,0.02795115332428765,0.911504424778761,0.033363174762230836,0.9158917904812497
mobility,adjacent_query,L2,high,0.7,per_task,31,217,0.06365503080082136,0.015161042408998812,0.125,23,209,0.09913793103448276,0.7419354838709677,0.06775715605967694,1.8448235916204418
mobility,adjacent_query,L2,high,0.7,global,89,2724,0.18275154004106775,0.1903164954936072,0.03163881976537505,80,2723,0.028540849090260435,0.898876404494382,0.034796439299011314,0.9092545215186433
mobility,adjacent_query,L2,high,0.75,per_task,29,178,0.059548254620123205,0.012436246768671836,0.14009661835748793,22,169,0.11518324607329843,0.7586206896551724,0.07573084151429114,1.8499281871976867
mobility,adjacent_query,L2,high,0.75,global,70,1945,0.1437371663244353,0.13589044924194787,0.034739454094292806,60,1943,0.029955067398901646,0.8571428571428571,0.037509206404191586,0.9261580669008965
mobility,adjacent_query,L2,high,0.8,per_task,28,156,0.057494866529774126,0.010899182561307902,0.15217391304347827,20,149,0.11834319526627218,0.7142857142857143,0.08021159779309199,1.8971559877913795
mobility,adjacent_query,L2,high,0.8,global,41,1016,0.08418891170431211,0.07098441975826172,0.03878902554399243,38,1016,0.036053130929791274,0.926829268292683,0.037759167493459006,1.0272743844448327
mobility,adjacent_query,L2,high,0.85,per_task,26,115,0.053388090349075976,0.008034653811220569,0.18439716312056736,18,108,0.14285714285714285,0.6923076923076923,0.09644440848213248,1.9119528651028972
mobility,adjacent_query,L2,high,0.85,global,26,604,0.053388090349075976,0.04219939914762803,0.04126984126984127,26,604,0.04126984126984127,1.0,0.03520474647265668,1.1722805986373261
mobility,adjacent_query,L2,high,0.9,per_task,23,85,0.04722792607802875,0.005938657164815203,0.21296296296296297,16,79,0.16842105263157894,0.6956521739130435,0.11263893124053509,1.8906692439063602
mobility,adjacent_query,L2,high,0.9,global,12,320,0.024640657084188913,0.022357297561657236,0.03614457831325301,8,320,0.024390243902439025,0.6666666666666666,0.042897909004070874,0.8425720309543061
mobility,adjacent_query,L2,high,0.925,per_task,20,58,0.04106776180698152,0.004052260183050374,0.2564102564102564,15,53,0.22058823529411764,0.75,0.1210823009742393,2.117652657301323
mobility,adjacent_query,L2,high,0.925,global,5,178,0.01026694045174538,0.012436246768671836,0.0273224043715847,3,178,0.016574585635359115,0.6,0.04046501475121734,0.6752105377834501
mobility,adjacent_query,L2,high,0.95,per_task,17,23,0.03490759753593429,0.0016069307622441137,0.425,14,21,0.4,0.8235294117647058,0.11363785388843609,3.7399509534669986
mobility,adjacent_query,L2,high,0.95,global,3,79,0.006160164271047228,0.00551945783553413,0.036585365853658534,2,79,0.024691358024691357,0.6666666666666666,0.046647583027352134,0.7842928503328126
mobility,adjacent_query,L2,high,0.96,per_task,15,19,0.030800821355236138,0.0013274645427233983,0.4411764705882353,11,17,0.39285714285714285,0.7333333333333333,0.13961662003716005,3.1599137013259075
mobility,adjacent_query,L2,high,0.96,global,1,42,0.002053388090349076,0.002934395304967512,0.023255813953488372,1,42,0.023255813953488372,1.0,0.038416034678036864,0.6053673719423244
mobility,adjacent_query,L2,high,0.975,per_task,9,13,0.018480492813141684,0.0009082652134423251,0.4090909090909091,9,12,0.42857142857142855,1.0,0.09086969547103185,4.501950919614584
mobility,adjacent_query,L2,high,0.975,global,1,19,0.002053388090349076,0.0013274645427233983,0.05,1,19,0.05,1.0,0.03700630190206664,1.3511212261176446
mobility,adjacent_query,L2,high,0.98,per_task,8,8,0.01642710472279261,0.0005589324390414309,0.5,8,7,0.5333333333333333,1.0,0.11130107009695753,4.4923197913949595
mobility,adjacent_query,L2,high,0.98,global,1,16,0.002053388090349076,0.0011178648780828617,0.058823529411764705,1,16,0.058823529411764705,1.0,0.03961325311949811,1.484945688108889
mobility,adjacent_query,L2,high,0.99,per_task,3,3,0.006160164271047228,0.00020959966464053657,0.5,3,2,0.6,1.0,0.15956457387427167,3.1335276237065828
mobility,adjacent_query,L2,high,0.99,global,1,12,0.002053388090349076,0.0008383986585621463,0.07692307692307693,1,12,0.07692307692307693,1.0,0.04165585734760185,1.8466329064165914
mobility,adjacent_query,L2,high,0.995,per_task,1,2,0.002053388090349076,0.00013973310976035772,0.3333333333333333,1,2,0.3333333333333333,1.0,0.06585279447219008,5.061794810759343
mobility,adjacent_query,L2,high,0.995,global,1,8,0.002053388090349076,0.0005589324390414309,0.1111111111111111,1,8,0.1111111111111111,1.0,0.04521449125533898,2.457422565779527
