episode,init_state_id,flow_noise_seed,success,failure,stratum
382,36,1030,True,False,i36
383,36,1031,True,False,i36
384,39,1000,False,True,i39
385,39,1001,True,False,i39
386,39,1002,False,True,i39
387,39,1003,False,True,i39
388,39,1004,False,True,i39
389,39,1005,False,True,i39
390,39,1006,False,True,i39
391,39,1007,False,True,i39
392,39,1008,False,True,i39
393,39,1009,False,True,i39
394,39,1010,False,True,i39
395,39,1011,False,True,i39
396,39,1012,False,True,i39
397,39,1013,True,False,i39
398,39,1014,True,False,i39
399,39,1015,False,True,i39
400,39,1016,False,True,i39
401,39,1017,False,True,i39
402,39,1018,True,False,i39
403,39,1019,False,True,i39
404,39,1020,False,True,i39
405,39,1021,False,True,i39
406,39,1022,False,True,i39
407,39,1023,False,True,i39
408,39,1024,False,True,i39
409,39,1025,False,True,i39
410,39,1026,False,True,i39
411,39,1027,False,True,i39
