dataset,snapshot,layer_group,view,flow,median_dispersion,mean_dispersion,candidates
rolling_star_k16,worker0_snapshot000,back,token_gram,4,0.000552525685634464,0.000553751946426928,16
rolling_star_k16,worker0_snapshot000,back,token_gram,5,0.0005756060127168894,0.0005892959889024496,16
rolling_star_k16,worker0_snapshot000,back,token_gram,6,0.0005924314027652144,0.0006131578702479601,16
rolling_star_k16,worker0_snapshot000,back,token_gram,7,0.0005920961848460138,0.0006060676532797515,16
rolling_star_k16,worker0_snapshot000,back,token_gram,8,0.0005672600236721337,0.0005798676866106689,16
rolling_star_k16,worker0_snapshot000,back,token_gram,9,0.0005807287525385618,0.000593004166148603,16
rolling_star_k16,worker0_snapshot000,back,expert_load,0,0.006162968464195728,0.006073851604014635,16
rolling_star_k16,worker0_snapshot000,back,expert_load,1,0.005959140136837959,0.005854761693626642,16
rolling_star_k16,worker0_snapshot000,back,expert_load,2,0.005835474003106356,0.005792215932160616,16
rolling_star_k16,worker0_snapshot000,back,expert_load,3,0.005906800739467144,0.005896976217627525,16
rolling_star_k16,worker0_snapshot000,back,expert_load,4,0.0060333688743412495,0.0059993756003677845,16
rolling_star_k16,worker0_snapshot000,back,expert_load,5,0.0061882855370640755,0.006196928210556507,16
rolling_star_k16,worker0_snapshot000,back,expert_load,6,0.006214580498635769,0.006276222411543131,16
rolling_star_k16,worker0_snapshot000,back,expert_load,7,0.00606072973459959,0.006158874835819006,16
rolling_star_k16,worker0_snapshot000,back,expert_load,8,0.005831075366586447,0.0059926207177340984,16
rolling_star_k16,worker0_snapshot000,back,expert_load,9,0.0058318497613072395,0.005956319626420736,16
rolling_star_k16,worker0_snapshot000,back,spectrum,0,0.0026330656837671995,0.002697218209505081,16
rolling_star_k16,worker0_snapshot000,back,spectrum,1,0.0026279978919774294,0.0026949041057378054,16
rolling_star_k16,worker0_snapshot000,back,spectrum,2,0.0026248013600707054,0.0026744038332253695,16
rolling_star_k16,worker0_snapshot000,back,spectrum,3,0.002667149994522333,0.0027192614506930113,16
rolling_star_k16,worker0_snapshot000,back,spectrum,4,0.0027116150595247746,0.0027821070980280638,16
rolling_star_k16,worker0_snapshot000,back,spectrum,5,0.002858008025214076,0.002924500498920679,16
rolling_star_k16,worker0_snapshot000,back,spectrum,6,0.0029877638444304466,0.0030372045002877712,16
rolling_star_k16,worker0_snapshot000,back,spectrum,7,0.0029365262016654015,0.0029783251229673624,16
rolling_star_k16,worker0_snapshot000,back,spectrum,8,0.002834225771948695,0.0027412238996475935,16
rolling_star_k16,worker0_snapshot000,back,spectrum,9,0.002736711408942938,0.0027531241066753864,16
rolling_star_k16,worker0_snapshot001,all,edge_action,0,0.03114287741482258,0.03094881772994995,16
rolling_star_k16,worker0_snapshot001,all,edge_action,1,0.03067844547331333,0.030439354479312897,16
rolling_star_k16,worker0_snapshot001,all,edge_action,2,0.030574999749660492,0.030447984114289284,16
rolling_star_k16,worker0_snapshot001,all,edge_action,3,0.03060460090637207,0.030502576380968094,16
rolling_star_k16,worker0_snapshot001,all,edge_action,4,0.030376916751265526,0.03022744134068489,16
rolling_star_k16,worker0_snapshot001,all,edge_action,5,0.02949843928217888,0.029504796490073204,16
rolling_star_k16,worker0_snapshot001,all,edge_action,6,0.027989478781819344,0.027822181582450867,16
rolling_star_k16,worker0_snapshot001,all,edge_action,7,0.025434643030166626,0.025392994284629822,16
rolling_star_k16,worker0_snapshot001,all,edge_action,8,0.022790322080254555,0.02272697351872921,16
rolling_star_k16,worker0_snapshot001,all,edge_action,9,0.02102690003812313,0.021093500778079033,16
rolling_star_k16,worker0_snapshot001,all,edge_state,0,0.0007727716001681983,0.0006199315539561212,16
rolling_star_k16,worker0_snapshot001,all,edge_state,1,0.0006743480334989727,0.0005848718574270606,16
rolling_star_k16,worker0_snapshot001,all,edge_state,2,0.0006647638510912657,0.0006287818541750312,16
rolling_star_k16,worker0_snapshot001,all,edge_state,3,0.0006743480334989727,0.0005874176858924329,16
rolling_star_k16,worker0_snapshot001,all,edge_state,4,0.0007831435068510473,0.0006095856660977006,16
rolling_star_k16,worker0_snapshot001,all,edge_state,5,0.0007891820860095322,0.0005423757829703391,16
rolling_star_k16,worker0_snapshot001,all,edge_state,6,0.0007904750527814031,0.0005381020018830895,16
rolling_star_k16,worker0_snapshot001,all,edge_state,7,0.0006743480334989727,0.00042250618571415544,16
rolling_star_k16,worker0_snapshot001,all,edge_state,8,0.0,0.000395237555494532,16
rolling_star_k16,worker0_snapshot001,all,edge_state,9,0.0,9.880939614959061e-05,16
rolling_star_k16,worker0_snapshot001,all,token_gram,0,0.0015483832685276866,0.0015283434186130762,16
rolling_star_k16,worker0_snapshot001,all,token_gram,1,0.0015099399024620652,0.0014952573692426085,16
rolling_star_k16,worker0_snapshot001,all,token_gram,2,0.0014778447803109884,0.0014637905405834317,16
rolling_star_k16,worker0_snapshot001,all,token_gram,3,0.0014648205833509564,0.0014443252002820373,16
rolling_star_k16,worker0_snapshot001,all,token_gram,4,0.0014459905214607716,0.0014318260364234447,16
rolling_star_k16,worker0_snapshot001,all,token_gram,5,0.0014077435480430722,0.0014079698594287038,16
