section,corpus,method,W,rule,dens,whiten,tstd,phi,peak_auc,alpha_nominal,pop,bound_med,n_succ,fa,n_fa,n_pop,det,n_det,phase_mean,phase_p10,phase_p25,phase_p50,phase_p75,phase_p90,t_mean,t_p10,t_p25,t_p50,t_p75,t_p90,t_nmodes,t_dip,hist_8_12,hist_12_16,hist_16_20,hist_20_24,hist_24_28,hist_28_32,hist_32_35,n_delay,delay_mean,frac_early,frac_late,delay_p10,delay_p25,delay_p50,delay_p75,delay_p90,arl0,arl0_expo,arl1,arl1_expo,arl0_mean_alarm_t,arl1_mean_alarm_t
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.03,cls_loop,4.761824379048865,117,0.1111111111111111,13,150,0.22,33,0.4186497573785255,0.27450980392156865,0.3,0.4230769230769231,0.54,0.5696428571428571,20.848484848484848,14.0,15.0,22.0,27.0,28.8,2,0.6549714825019144,2,10,3,4,8,6,0,33,-0.696969696969697,0.5151515151515151,0.48484848484848486,-12.8,-8.0,-4.0,8.0,9.0,223.07692307692307,2900.0,109.57575757575758,3616.0,14.76923076923077,20.848484848484848
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.03,cls_other,4.761824379048865,117,0.1111111111111111,13,36,0.5555555555555556,20,0.4742529626416851,0.218,0.3565384615384615,0.5165441176470589,0.6006546644844517,0.6544217687074829,23.35,10.9,18.0,25.5,29.0,32.0,4,0.21938677148443697,3,0,5,1,3,3,5,1,-15.0,1.0,0.0,-15.0,-15.0,-15.0,-15.0,-15.0,223.07692307692307,2900.0,37.95,759.0,14.76923076923077,23.35
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.04,all_fail,4.650213166478121,117,0.1111111111111111,13,235,0.3702127659574468,87,0.48053079865804504,0.27450980392156865,0.3495475113122172,0.5106382978723404,0.5882352941176471,0.6666666666666666,23.75862068965517,14.0,18.0,25.0,29.5,32.0,3,0.02178511782911241,6,12,9,9,20,15,16,46,0.6304347826086957,0.43478260869565216,0.5652173913043478,-12.5,-7.75,6.0,8.0,9.0,223.07692307692307,2900.0,62.689655172413794,5454.0,14.76923076923077,23.75862068965517
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.04,cls_stagnation,4.650213166478121,117,0.1111111111111111,13,49,0.6938775510204082,34,0.5488566751433412,0.41323529411764703,0.5,0.5669642857142857,0.65625,0.6780408163265307,27.058823529411764,20.3,24.0,27.5,32.0,33.7,4,0.03431120897642137,1,1,1,5,9,6,11,12,6.25,0.16666666666666666,0.8333333333333334,-3.799999999999999,7.0,8.0,9.25,10.0,223.07692307692307,2900.0,31.970588235294116,1087.0,14.76923076923077,27.058823529411764
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.04,cls_loop,4.650213166478121,117,0.1111111111111111,13,150,0.22,33,0.41393919016795827,0.27450980392156865,0.29411764705882354,0.4117647058823529,0.54,0.5691428571428572,20.606060606060606,14.0,15.0,21.0,27.0,28.8,2,0.6825657844803859,2,11,3,3,8,6,0,33,-0.9393939393939394,0.5151515151515151,0.48484848484848486,-12.8,-9.0,-4.0,7.0,9.0,223.07692307692307,2900.0,109.33333333333333,3608.0,14.76923076923077,20.606060606060606
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.04,cls_other,4.650213166478121,117,0.1111111111111111,13,36,0.5555555555555556,20,0.4742529626416851,0.218,0.3565384615384615,0.5165441176470589,0.6006546644844517,0.6544217687074829,23.35,10.9,18.0,25.5,29.0,32.0,4,0.21938677148443697,3,0,5,1,3,3,5,1,-15.0,1.0,0.0,-15.0,-15.0,-15.0,-15.0,-15.0,223.07692307692307,2900.0,37.95,759.0,14.76923076923077,23.35
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.05,all_fail,3.867109981285121,117,0.1282051282051282,15,235,0.4340425531914894,102,0.45930879851700007,0.24540816326530612,0.3266287284144427,0.47427721088435376,0.5714285714285714,0.6458333333333334,22.823529411764707,12.0,16.25,23.0,29.0,32.0,4,0.006455533279361658,9,15,11,18,14,23,12,59,-1.3728813559322033,0.4915254237288136,0.5084745762711864,-14.0,-11.5,5.0,7.0,8.0,189.6,2844.0,51.029411764705884,5205.0,13.6,22.823529411764707
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.05,cls_stagnation,3.867109981285121,117,0.1282051282051282,15,49,0.7551020408163265,37,0.5280344664959361,0.3875,0.43137254901960786,0.5510204081632653,0.6458333333333334,0.6626666666666666,26.10810810810811,18.6,22.0,27.0,32.0,33.0,4,0.0002102736108426928,1,1,3,8,7,7,10,13,4.6923076923076925,0.23076923076923078,0.7692307692307693,-4.6,5.0,7.0,8.0,9.8,189.6,2844.0,27.864864864864863,1031.0,13.6,26.10810810810811
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.05,cls_loop,3.867109981285121,117,0.1282051282051282,15,150,0.29333333333333333,44,0.40914063862414485,0.22458823529411764,0.2549019607843137,0.4466440422322775,0.54625,0.5961538461538461,20.522727272727273,11.3,13.0,22.0,28.0,30.700000000000003,3,0.8038685411091515,5,13,2,8,4,11,1,44,-2.340909090909091,0.5454545454545454,0.45454545454545453,-13.7,-12.0,-3.0,6.25,8.0,189.6,2844.0,78.56818181818181,3457.0,13.6,20.522727272727273
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.05,cls_other,3.867109981285121,117,0.1282051282051282,15,36,0.5833333333333334,21,0.44333495661533256,0.22,0.35294117647058826,0.43137254901960786,0.5714285714285714,0.62,21.857142857142858,11.0,18.0,22.0,28.0,31.0,4,0.550596594221779,3,1,6,2,3,5,1,2,-19.5,1.0,0.0,-23.1,-21.75,-19.5,-17.25,-15.9,189.6,2844.0,34.142857142857146,717.0,13.6,21.857142857142858
