cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall
external_8b,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,v4_dual_regime_or,400,20,380,1,19,20,19,1,1,379,0.95,0.002631578947368421,0.95,1.0,0.9473684210526315,19.0,0.95,0.95,0.9,0.85
external_8b,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,v4_dual_regime_or,400,47,353,1,46,46,36,10,11,343,0.7659574468085106,0.028328611898016998,0.782608695652174,1.0,0.7608695652173914,16.0,0.723404255319149,0.7021276595744681,0.6595744680851063,0.5531914893617021
external_8b,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,v4_dual_regime_or,400,6,394,0,6,23,6,17,0,377,1.0,0.04314720812182741,0.2608695652173913,,1.0,24.0,1.0,1.0,1.0,1.0
external_8b,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,v4_dual_regime_or,400,3,397,0,3,3,3,0,0,397,1.0,0.0,1.0,,1.0,4.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
external_8b,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,v4_dual_regime_or,400,10,390,0,10,10,9,1,1,389,0.9,0.002564102564102564,0.9,,0.9,6.0,0.8,0.7,0.1,0.0
external_8b,libero_object/pick_up_the_butter_and_place_it_in_the_basket,v4_dual_regime_or,400,0,400,0,0,0,0,0,0,400,,0.0,,,,,,,,
external_8b,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,v4_dual_regime_or,400,7,393,0,7,5,5,0,2,393,0.7142857142857143,0.0,1.0,,0.7142857142857143,7.0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.14285714285714285
external_8b,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,v4_dual_regime_or,400,1,399,0,1,1,1,0,0,399,1.0,0.0,1.0,,1.0,4.0,1.0,1.0,0.0,0.0
external_8b,libero_object/pick_up_the_milk_and_place_it_in_the_basket,v4_dual_regime_or,400,7,393,3,4,3,3,0,4,393,0.42857142857142855,0.0,1.0,0.6666666666666666,0.25,4.0,0.42857142857142855,0.2857142857142857,0.0,0.0
external_8b,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,v4_dual_regime_or,400,5,395,0,5,4,3,1,2,394,0.6,0.002531645569620253,0.75,,0.6,6.0,0.4,0.4,0.2,0.0
external_8b,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,v4_dual_regime_or,400,4,396,0,4,3,3,0,1,396,0.75,0.0,1.0,,0.75,3.0,0.75,0.25,0.25,0.0
external_8b,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,v4_dual_regime_or,400,7,393,3,4,4,4,0,3,393,0.5714285714285714,0.0,1.0,0.3333333333333333,0.75,10.0,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.14285714285714285
external_8b,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,v4_dual_regime_or,400,1,399,0,1,0,0,0,1,399,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,v4_dual_regime_or,400,3,397,0,3,3,3,0,0,397,1.0,0.0,1.0,,1.0,4.0,1.0,1.0,0.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,v4_dual_regime_or,400,14,386,0,14,12,12,0,2,386,0.8571428571428571,0.0,1.0,,0.8571428571428571,2.0,0.5,0.21428571428571427,0.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,v4_dual_regime_or,400,3,397,0,3,1,1,0,2,397,0.3333333333333333,0.0,1.0,,0.3333333333333333,7.0,0.3333333333333333,0.3333333333333333,0.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,v4_dual_regime_or,400,24,376,0,24,20,19,1,5,375,0.7916666666666666,0.0026595744680851063,0.95,,0.7916666666666666,4.0,0.625,0.4583333333333333,0.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,v4_dual_regime_or,400,8,392,0,8,5,5,0,3,392,0.625,0.0,1.0,,0.625,2.0,0.375,0.0,0.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,v4_dual_regime_or,400,13,387,8,5,14,13,1,0,386,1.0,0.002583979328165375,0.9285714285714286,1.0,1.0,6.0,1.0,1.0,0.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,v4_dual_regime_or,400,12,388,0,12,11,11,0,1,388,0.9166666666666666,0.0,1.0,,0.9166666666666666,4.0,0.9166666666666666,0.75,0.08333333333333333,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,v4_dual_regime_or,400,41,359,0,41,27,26,1,15,358,0.6341463414634146,0.002785515320334262,0.9629629629629629,,0.6341463414634146,1.0,0.04878048780487805,0.0,0.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,v4_dual_regime_or,400,21,379,1,20,5,5,0,16,379,0.23809523809523808,0.0,1.0,1.0,0.2,1.0,0.047619047619047616,0.0,0.0,0.0
