cv_scheme,snapshot_key,worker,model,observed_failure_rate,predicted_failure_rate
leave_one_snapshot_out,w00_s001,0,geometry+mean_moe_action+state,0.75,0.5210272073745728
leave_one_snapshot_out,w00_s002,0,geometry+mean_moe_action+state,0.8125,1.0
leave_one_snapshot_out,w00_s003,0,geometry+mean_moe_action+state,0.9375,0.7642085552215576
leave_one_snapshot_out,w00_s004,0,geometry+mean_moe_action+state,0.75,0.8367137908935547
leave_one_snapshot_out,w00_s005,0,geometry+mean_moe_action+state,0.625,0.5935392379760742
leave_one_snapshot_out,w01_s000,1,geometry+mean_moe_action+state,1.0,0.8648775815963745
leave_one_snapshot_out,w01_s001,1,geometry+mean_moe_action+state,1.0,1.0
leave_one_snapshot_out,w01_s002,1,geometry+mean_moe_action+state,1.0,0.5936176180839539
leave_one_snapshot_out,w01_s003,1,geometry+mean_moe_action+state,1.0,1.0
leave_one_snapshot_out,w01_s004,1,geometry+mean_moe_action+state,1.0,0.8147209882736206
leave_one_snapshot_out,w02_s000,2,geometry+mean_moe_action+state,1.0,0.5203006863594055
leave_one_snapshot_out,w02_s001,2,geometry+mean_moe_action+state,0.9375,0.7641016244888306
leave_one_snapshot_out,w02_s002,2,geometry+mean_moe_action+state,0.875,0.9342379570007324
leave_one_snapshot_out,w02_s003,2,geometry+mean_moe_action+state,0.875,0.6677905321121216
leave_one_snapshot_out,w02_s004,2,geometry+mean_moe_action+state,1.0,0.7244280576705933
leave_one_snapshot_out,w03_s000,3,geometry+mean_moe_action+state,0.0625,0.4614645838737488
leave_one_snapshot_out,w03_s001,3,geometry+mean_moe_action+state,0.0625,0.33538684248924255
leave_one_snapshot_out,w03_s002,3,geometry+mean_moe_action+state,0.0625,0.26791471242904663
leave_one_snapshot_out,w03_s003,3,geometry+mean_moe_action+state,0.0625,0.3451893925666809
leave_one_snapshot_out,w03_s004,3,geometry+mean_moe_action+state,0.1875,0.3342089056968689
leave_one_snapshot_out,w03_s005,3,geometry+mean_moe_action+state,0.125,0.333497554063797
leave_one_snapshot_out,w00_s000,0,policy_state+mean_moe_action+state,0.5625,0.7868011593818665
leave_one_snapshot_out,w00_s001,0,policy_state+mean_moe_action+state,0.75,0.5204303860664368
leave_one_snapshot_out,w00_s002,0,policy_state+mean_moe_action+state,0.8125,1.0
leave_one_snapshot_out,w00_s003,0,policy_state+mean_moe_action+state,0.9375,0.7637796401977539
leave_one_snapshot_out,w00_s004,0,policy_state+mean_moe_action+state,0.75,0.8365949392318726
leave_one_snapshot_out,w00_s005,0,policy_state+mean_moe_action+state,0.625,0.596070408821106
leave_one_snapshot_out,w01_s000,1,policy_state+mean_moe_action+state,1.0,0.8633221387863159
leave_one_snapshot_out,w01_s001,1,policy_state+mean_moe_action+state,1.0,1.0
leave_one_snapshot_out,w01_s002,1,policy_state+mean_moe_action+state,1.0,0.5916847586631775
leave_one_snapshot_out,w01_s003,1,policy_state+mean_moe_action+state,1.0,1.0
leave_one_snapshot_out,w01_s004,1,policy_state+mean_moe_action+state,1.0,0.8133760690689087
leave_one_snapshot_out,w02_s000,2,policy_state+mean_moe_action+state,1.0,0.5186927914619446
leave_one_snapshot_out,w02_s001,2,policy_state+mean_moe_action+state,0.9375,0.763534665107727
