kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.03,550,535,5.953133986710428,15,550,action_translation_low__cumsum,libero_goal_20260908
episode,0.05,550,524,5.873918325125819,26,550,action_translation_low__cumsum,libero_goal_20260908
episode,0.1,550,496,5.7946692069354935,54,550,action_translation_low__cumsum,libero_goal_20260908
episode,0.15,550,469,5.439645956115275,81,550,action_translation_low__cumsum,libero_goal_20260908
episode,0.2,550,441,2.418405877899813,109,550,action_translation_low__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,action_translation_low__cumsum,libero_goal_20260908
task_init,0.03,70,69,9.274561367539148,1,550,action_translation_low__cumsum,libero_goal_20260908
task_init,0.05,70,68,7.135882787519226,2,550,action_translation_low__cumsum,libero_goal_20260908
task_init,0.1,70,64,5.86313389242363,6,550,action_translation_low__cumsum,libero_goal_20260908
task_init,0.15,70,61,5.746676314335152,9,550,action_translation_low__cumsum,libero_goal_20260908
task_init,0.2,70,57,2.9395582085630054,13,550,action_translation_low__cumsum,libero_goal_20260908
episode,0.01,550,546,10.941040819149036,4,550,eef_motion_low__current,libero_goal_20260908
episode,0.03,550,535,8.382649460145633,15,550,eef_motion_low__current,libero_goal_20260908
episode,0.05,550,524,8.17948464953444,26,550,eef_motion_low__current,libero_goal_20260908
episode,0.1,550,496,8.04879238627758,54,550,eef_motion_low__current,libero_goal_20260908
episode,0.15,550,469,7.660076210340855,81,550,eef_motion_low__current,libero_goal_20260908
episode,0.2,550,441,4.191124150682392,109,550,eef_motion_low__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,eef_motion_low__current,libero_goal_20260908
task_init,0.03,70,69,11.554085028093091,1,550,eef_motion_low__current,libero_goal_20260908
task_init,0.05,70,68,11.434943135211547,2,550,eef_motion_low__current,libero_goal_20260908
task_init,0.1,70,64,8.152467853737626,6,550,eef_motion_low__current,libero_goal_20260908
task_init,0.15,70,61,8.027901664406013,9,550,eef_motion_low__current,libero_goal_20260908
task_init,0.2,70,57,7.612168412329065,13,550,eef_motion_low__current,libero_goal_20260908
episode,0.01,550,546,8.901745108816419,4,550,eef_motion_low__cumsum,libero_goal_20260908
episode,0.03,550,535,8.64415062745189,15,550,eef_motion_low__cumsum,libero_goal_20260908
episode,0.05,550,524,8.562770375479918,26,550,eef_motion_low__cumsum,libero_goal_20260908
episode,0.1,550,496,8.40637132493481,54,550,eef_motion_low__cumsum,libero_goal_20260908
episode,0.15,550,469,5.594788478983175,81,550,eef_motion_low__cumsum,libero_goal_20260908
episode,0.2,550,441,4.228728769596319,109,550,eef_motion_low__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,eef_motion_low__cumsum,libero_goal_20260908
task_init,0.03,70,69,8.684065350380623,1,550,eef_motion_low__cumsum,libero_goal_20260908
task_init,0.05,70,68,8.665752635557922,2,550,eef_motion_low__cumsum,libero_goal_20260908
task_init,0.1,70,64,8.467073349574651,6,550,eef_motion_low__cumsum,libero_goal_20260908
