failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,state,back_12_15,9,top1_mass,0.375,0.375,0.0,-0.38461539149284363,0.4000000059604645,1.0,1.0,16,16
stagnation,1,state,front_2_5,0,consensus_distance,0.3125,0.3125,0.0,-0.2666666805744171,0.23529411852359772,1.0,1.0,16,16
stagnation,1,state,front_2_5,1,entropy,0.3125,0.3125,0.0,-0.2857142984867096,0.2222222238779068,1.0,1.0,16,16
stagnation,1,state,front_2_5,3,consensus_distance,0.375,0.375,0.0,-0.23529411852359772,0.2666666805744171,1.0,1.0,16,16
stagnation,1,state,front_2_5,3,top1_mass,0.375,0.375,0.0,-0.3436274603009224,0.4615384638309479,1.0,1.0,16,16
stagnation,1,state,front_2_5,7,consensus_distance,0.3125,0.3125,0.0,-0.3571428656578064,0.29725275933742473,1.0,1.0,16,16
stagnation,1,state,front_2_5,8,consensus_distance,0.375,0.375,0.0,-0.4061764761805534,0.5384615659713745,1.0,1.0,16,16
stagnation,1,state,front_2_5,8,top1_mass,0.3125,0.3125,0.0,-0.3436274603009224,0.2666666805744171,1.0,1.0,16,16
stagnation,1,state,front_2_5,9,entropy,0.4375,0.4375,0.0,-0.3436274603009224,0.2666666805744171,1.0,1.0,16,16
stagnation,3,action,back_12_15,0,entropy,0.5,0.125,0.375,0.13333334028720856,0.6111111044883728,0.014925373134328358,0.5422885572139303,16,16
stagnation,3,action,back_12_15,9,token_dispersion,0.1875,0.5,-0.3125,-0.46666666865348816,-0.1764705926179886,0.04975124378109453,0.8905472636815921,16,16
stagnation,3,action,back_12_15,2,consensus_distance,0.25,0.5625,-0.3125,-0.5384615659713745,-0.1111111119389534,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,0,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,1,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,2,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,3,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,4,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,5,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,6,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,7,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,8,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,9,top1_mass,0.5,0.1875,0.3125,0.0555555559694767,0.6153846383094788,0.05970149253731343,0.8905472636815921,16,16
stagnation,3,state,front_2_5,0,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,1,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,2,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,3,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,4,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,5,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,6,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,7,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,8,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,state,front_2_5,9,entropy,0.1875,0.5,-0.3125,-0.6153846383094788,-0.0555555559694767,0.06467661691542288,0.8905472636815921,16,16
stagnation,3,action,front_2_5,9,entropy,0.5625,0.25,0.3125,0.1875,0.5,0.06965174129353234,0.8905472636815921,16,16
stagnation,3,action,back_12_15,6,consensus_distance,0.25,0.5625,-0.3125,-0.5175000146031379,-0.13333334028720856,0.07462686567164178,0.8905472636815921,16,16
stagnation,3,action,front_2_5,8,token_dispersion,0.1875,0.5,-0.3125,-0.5882353186607361,-0.0625,0.07462686567164178,0.8905472636815921,16,16
stagnation,3,action,front_2_5,8,consensus_distance,0.1875,0.4375,-0.25,-0.6470588445663452,0.06666667014360428,0.1044776119402985,0.9950248756218906,16,16
stagnation,3,action,back_12_15,5,consensus_distance,0.25,0.5,-0.25,-0.5,-0.05402046823874122,0.13432835820895522,0.9950248756218906,16,16
stagnation,3,action,back_12_15,0,consensus_distance,0.25,0.5,-0.25,-0.5,-0.05402046823874122,0.13930348258706468,0.9950248756218906,16,16
