failure_group,transition_phase,layer_group,token,metric,failures,matched_percentile_mean,failure_raw_mean,same_run_init_success_mean
all_failures,0.6,back_L12_15,T1,lag1_hard_churn,1267,0.2287636697292328,0.7146676182746887,0.823893129825592
all_failures,0.6,back_L12_15,T1,lag2_soft_change,1267,0.410977303981781,0.04662994295358658,0.05108765885233879
all_failures,0.6,back_L12_15,T2,lag1_soft_change,1267,0.39268791675567627,0.03759412094950676,0.04072794318199158
all_failures,0.6,back_L12_15,T2,lag1_hard_churn,1267,0.21337832510471344,0.7467008233070374,0.8544756174087524
all_failures,0.6,back_L12_15,T2,lag2_soft_change,1267,0.41639822721481323,0.043179791420698166,0.04623664915561676
all_failures,0.6,back_L12_15,T3,lag1_soft_change,1267,0.4003078043460846,0.036480505019426346,0.03938668593764305
all_failures,0.6,back_L12_15,T3,lag1_hard_churn,1267,0.20638862252235413,0.7611138820648193,0.8702394366264343
all_failures,0.6,back_L12_15,T3,lag2_soft_change,1267,0.438022643327713,0.041553474962711334,0.04380246251821518
all_failures,0.6,back_L12_15,T4,lag1_soft_change,1267,0.4046362042427063,0.03620118275284767,0.03860409930348396
all_failures,0.6,back_L12_15,T4,lag1_hard_churn,1267,0.18456807732582092,0.7683358788490295,0.8809903860092163
all_failures,0.6,back_L12_15,T4,lag2_soft_change,1267,0.4508776366710663,0.040625616908073425,0.042236898094415665
all_failures,0.6,back_L12_15,T5,lag1_soft_change,1267,0.3989029824733734,0.03590394929051399,0.038544267416000366
all_failures,0.6,back_L12_15,T5,lag1_hard_churn,1267,0.18669834733009338,0.7681344151496887,0.8832765221595764
all_failures,0.6,back_L12_15,T5,lag2_soft_change,1267,0.4539691209793091,0.040192387998104095,0.041667744517326355
all_failures,0.6,back_L12_15,T6,lag1_soft_change,1267,0.4229905903339386,0.03657487779855728,0.03835100680589676
all_failures,0.6,back_L12_15,T6,lag1_hard_churn,1267,0.1597011387348175,0.7688494324684143,0.8839878439903259
all_failures,0.6,back_L12_15,T6,lag2_soft_change,1267,0.45328715443611145,0.04034046083688736,0.041842419654130936
all_failures,0.6,back_L12_15,T7,lag1_soft_change,1267,0.44307929277420044,0.03737274184823036,0.038326334208250046
all_failures,0.6,back_L12_15,T7,lag1_hard_churn,1267,0.19623695313930511,0.7692878842353821,0.8745426535606384
all_failures,0.6,back_L12_15,T7,lag2_soft_change,1267,0.476313054561615,0.04150325059890747,0.04257600009441376
all_failures,0.6,back_L12_15,T8,lag1_soft_change,1267,0.4369962215423584,0.037721145898103714,0.03869711235165596
all_failures,0.6,back_L12_15,T8,lag1_hard_churn,1267,0.18642789125442505,0.7558292150497437,0.8672599792480469
all_failures,0.6,back_L12_15,T8,lag2_soft_change,1267,0.45743533968925476,0.04292631521821022,0.043919652700424194
all_failures,0.6,back_L12_15,T9,lag1_soft_change,1267,0.43185532093048096,0.03894931077957153,0.04016023501753807
all_failures,0.6,back_L12_15,T9,lag1_hard_churn,1267,0.1949370950460434,0.7448851466178894,0.8576916456222534
all_failures,0.6,back_L12_15,T9,lag2_soft_change,1267,0.43970751762390137,0.044491201639175415,0.046111442148685455
all_failures,0.6,back_L12_15,T10,lag1_soft_change,1267,0.4238607883453369,0.04211537912487984,0.0439150296151638
all_failures,0.6,back_L12_15,T10,lag1_hard_churn,1267,0.20958217978477478,0.712874174118042,0.8267739415168762
all_failures,0.6,back_L12_15,T10,lag2_soft_change,1267,0.43208757042884827,0.04895823448896408,0.05116217955946922
all_failures,0.7,back_L12_15,state,lag1_soft_change,1267,0.16836261749267578,0.05393895134329796,0.09459526836872101
all_failures,0.7,back_L12_15,state,lag1_hard_churn,1267,0.1849653273820877,0.4185304045677185,0.6573075652122498
all_failures,0.7,back_L12_15,state,lag2_soft_change,1267,0.15538376569747925,0.0788407027721405,0.12723231315612793
all_failures,0.7,back_L12_15,T1,lag1_soft_change,1267,0.3122687041759491,0.033703383058309555,0.04088779166340828
all_failures,0.7,back_L12_15,T1,lag1_hard_churn,1267,0.17149817943572998,0.6560285687446594,0.8002079725265503
all_failures,0.7,back_L12_15,T1,lag2_soft_change,1267,0.3877985179424286,0.04176397994160652,0.047280967235565186
all_failures,0.7,back_L12_15,T2,lag1_soft_change,1267,0.3390931189060211,0.0324832946062088,0.03829292207956314
all_failures,0.7,back_L12_15,T2,lag1_hard_churn,1267,0.15577390789985657,0.696940004825592,0.8372659087181091
