method,k,calibration,threshold,units,rank,exceedances,fold,suite
cosine_without_center,4,episode,0.1945666521787643,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,4,task_init,0.2405988425016403,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,5,episode,0.200626939535141,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,5,task_init,0.2473831623792648,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,6,episode,0.2045655995607376,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,6,task_init,0.2519344389438629,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,7,episode,0.2081709206104278,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,7,task_init,0.2564955949783325,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,8,episode,0.2113302052021026,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,8,task_init,0.2601057589054107,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,9,episode,0.2149199992418289,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,9,task_init,0.2629168033599853,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,10,episode,0.2206804901361465,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,10,task_init,0.2682142853736877,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,20,episode,0.2525675594806671,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,20,task_init,0.3134946227073669,70,68,2,libero_goal_full_1,libero_goal
euclidean,1,episode,1.4619426727294922,541,515,26,libero_goal_full_2,libero_goal
euclidean,1,task_init,1.9153051376342771,70,68,2,libero_goal_full_2,libero_goal
euclidean,2,episode,1.516685128211975,541,515,26,libero_goal_full_2,libero_goal
euclidean,2,task_init,1.9295494556427,70,68,2,libero_goal_full_2,libero_goal
euclidean,3,episode,1.5479742288589478,541,515,26,libero_goal_full_2,libero_goal
euclidean,3,task_init,1.9457532167434688,70,68,2,libero_goal_full_2,libero_goal
euclidean,4,episode,1.5654925107955933,541,515,26,libero_goal_full_2,libero_goal
euclidean,4,task_init,1.980313777923584,70,68,2,libero_goal_full_2,libero_goal
euclidean,5,episode,1.586326241493225,541,515,26,libero_goal_full_2,libero_goal
euclidean,5,task_init,2.0149104595184326,70,68,2,libero_goal_full_2,libero_goal
euclidean,6,episode,1.62428617477417,541,515,26,libero_goal_full_2,libero_goal
euclidean,6,task_init,2.0483286380767822,70,68,2,libero_goal_full_2,libero_goal
euclidean,7,episode,1.6452603340148926,541,515,26,libero_goal_full_2,libero_goal
euclidean,7,task_init,2.0587875843048096,70,68,2,libero_goal_full_2,libero_goal
euclidean,8,episode,1.6612948179244995,541,515,26,libero_goal_full_2,libero_goal
euclidean,8,task_init,2.068391799926758,70,68,2,libero_goal_full_2,libero_goal
euclidean,9,episode,1.6755027770996094,541,515,26,libero_goal_full_2,libero_goal
euclidean,9,task_init,2.076572895050049,70,68,2,libero_goal_full_2,libero_goal
euclidean,10,episode,1.6965843439102173,541,515,26,libero_goal_full_2,libero_goal
euclidean,10,task_init,2.08449935913086,70,68,2,libero_goal_full_2,libero_goal
euclidean,20,episode,1.823172926902771,541,515,26,libero_goal_full_2,libero_goal
