level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,7,16000,532,15468,39,493,282,15186,0.07330827067669173,0.018231186966640806,0.12149532710280374
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,8,16000,532,15468,43,489,308,15160,0.08082706766917293,0.01991207654512542,0.1225071225071225
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,9,16000,532,15468,45,487,329,15139,0.08458646616541353,0.021269718127747608,0.12032085561497326
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,10,16000,532,15468,48,484,358,15110,0.09022556390977443,0.023144556503749678,0.11822660098522167
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,20,16000,532,15468,76,456,575,14893,0.14285714285714285,0.03717351952417895,0.11674347158218126
cohort,B,all,all,episode,recalibrated,euclidean,1,16000,564,15436,557,7,4046,11390,0.9875886524822695,0.2621145374449339,0.12100803823593309
cohort,B,all,all,episode,recalibrated,euclidean,2,16000,564,15436,557,7,4003,11433,0.9875886524822695,0.25932884166882614,0.12214912280701755
cohort,B,all,all,episode,recalibrated,euclidean,3,16000,564,15436,556,8,3974,11462,0.9858156028368794,0.25745011661052086,0.12273730684326711
cohort,B,all,all,episode,recalibrated,euclidean,4,16000,564,15436,555,9,3913,11523,0.9840425531914894,0.2534983156258098,0.12421665174574754
cohort,B,all,all,episode,recalibrated,euclidean,5,16000,564,15436,555,9,3873,11563,0.9840425531914894,0.25090697071780255,0.12533875338753386
cohort,B,all,all,episode,recalibrated,euclidean,6,16000,564,15436,555,9,3844,11592,0.9840425531914894,0.24902824565949727,0.12616503750852467
cohort,B,all,all,episode,recalibrated,euclidean,7,16000,564,15436,555,9,3801,11635,0.9840425531914894,0.24624254988338948,0.12741046831955924
cohort,B,all,all,episode,recalibrated,euclidean,8,16000,564,15436,555,9,3770,11666,0.9840425531914894,0.24423425757968387,0.1283236994219653
cohort,B,all,all,episode,recalibrated,euclidean,9,16000,564,15436,555,9,3719,11717,0.9840425531914894,0.24093029282197462,0.12985493682732804
cohort,B,all,all,episode,recalibrated,euclidean,10,16000,564,15436,555,9,3702,11734,0.9840425531914894,0.23982897123607153,0.1303735024665257
cohort,B,all,all,episode,recalibrated,euclidean,20,16000,564,15436,554,10,3508,11928,0.9822695035460993,0.22726094843223632,0.13638601674052192
cohort,B,all,all,episode,recalibrated,cosine,1,16000,564,15436,128,436,1493,13943,0.22695035460992907,0.09672194869137082,0.07896360271437385
cohort,B,all,all,episode,recalibrated,cosine,2,16000,564,15436,123,441,1481,13955,0.21808510638297873,0.09594454521896864,0.07668329177057356
cohort,B,all,all,episode,recalibrated,cosine,3,16000,564,15436,118,446,1462,13974,0.20921985815602837,0.0947136563876652,0.07468354430379746
cohort,B,all,all,episode,recalibrated,cosine,4,16000,564,15436,120,444,1452,13984,0.2127659574468085,0.09406582016066338,0.07633587786259542
cohort,B,all,all,episode,recalibrated,cosine,5,16000,564,15436,118,446,1414,14022,0.20921985815602837,0.0916040424980565,0.07702349869451697
