level,cohort,suite,task,method,k,failure,episodes,both,removed_from_k20,new_vs_k20,neither,earlier,later,same_query
cohort,A,all,all,cosine_neighbors_euclidean_score,6,True,532,394,52,3,83,34,128,232
cohort,A,all,all,cosine_neighbors_euclidean_score,7,True,532,401,45,2,84,24,119,258
cohort,A,all,all,cosine_neighbors_euclidean_score,8,True,532,413,33,4,82,32,106,275
cohort,A,all,all,cosine_neighbors_euclidean_score,9,True,532,418,28,2,84,27,107,284
cohort,A,all,all,cosine_neighbors_euclidean_score,10,True,532,426,20,3,83,42,88,296
cohort,A,all,all,cosine_neighbors_euclidean_score,20,True,532,446,0,0,86,0,0,446
cohort,A,all,all,euclidean_neighbors_cosine_score,1,False,15468,172,150,95,15051,12,14,146
cohort,A,all,all,euclidean_neighbors_cosine_score,2,False,15468,215,107,96,15050,13,8,194
cohort,A,all,all,euclidean_neighbors_cosine_score,3,False,15468,215,107,82,15064,9,9,197
cohort,A,all,all,euclidean_neighbors_cosine_score,4,False,15468,207,115,46,15100,4,11,192
cohort,A,all,all,euclidean_neighbors_cosine_score,5,False,15468,247,75,77,15069,10,8,229
cohort,A,all,all,euclidean_neighbors_cosine_score,6,False,15468,257,65,79,15067,13,6,238
cohort,A,all,all,euclidean_neighbors_cosine_score,7,False,15468,269,53,69,15077,22,4,243
cohort,A,all,all,euclidean_neighbors_cosine_score,8,False,15468,255,67,38,15108,10,4,241
cohort,A,all,all,euclidean_neighbors_cosine_score,9,False,15468,257,65,36,15110,9,3,245
cohort,A,all,all,euclidean_neighbors_cosine_score,10,False,15468,255,67,40,15106,8,5,242
cohort,A,all,all,euclidean_neighbors_cosine_score,20,False,15468,322,0,0,15146,0,0,322
cohort,A,all,all,euclidean_neighbors_cosine_score,1,True,532,8,6,4,514,0,0,8
cohort,A,all,all,euclidean_neighbors_cosine_score,2,True,532,8,6,2,516,0,0,8
cohort,A,all,all,euclidean_neighbors_cosine_score,3,True,532,7,7,2,516,0,0,7
cohort,A,all,all,euclidean_neighbors_cosine_score,4,True,532,7,7,2,516,0,0,7
cohort,A,all,all,euclidean_neighbors_cosine_score,5,True,532,7,7,3,515,0,0,7
cohort,A,all,all,euclidean_neighbors_cosine_score,6,True,532,10,4,2,516,0,0,10
cohort,A,all,all,euclidean_neighbors_cosine_score,7,True,532,11,3,5,513,1,0,10
cohort,A,all,all,euclidean_neighbors_cosine_score,8,True,532,11,3,1,517,0,0,11
cohort,A,all,all,euclidean_neighbors_cosine_score,9,True,532,10,4,1,517,0,0,10
cohort,A,all,all,euclidean_neighbors_cosine_score,10,True,532,10,4,0,518,0,0,10
cohort,A,all,all,euclidean_neighbors_cosine_score,20,True,532,14,0,0,518,0,0,14
cohort,A,all,all,cosine_without_center,1,False,15468,452,123,163,14730,63,27,362
cohort,A,all,all,cosine_without_center,2,False,15468,475,100,132,14761,42,30,403
cohort,A,all,all,cosine_without_center,3,False,15468,493,82,119,14774,42,24,427
cohort,A,all,all,cosine_without_center,4,False,15468,516,59,108,14785,41,21,454
cohort,A,all,all,cosine_without_center,5,False,15468,530,45,116,14777,44,16,470
cohort,A,all,all,cosine_without_center,6,False,15468,541,34,109,14784,46,14,481
cohort,A,all,all,cosine_without_center,7,False,15468,543,32,107,14786,45,10,488
cohort,A,all,all,cosine_without_center,8,False,15468,548,27,106,14787,47,5,496
cohort,A,all,all,cosine_without_center,9,False,15468,550,25,101,14792,51,5,494
cohort,A,all,all,cosine_without_center,10,False,15468,553,22,92,14801,53,1,499
cohort,A,all,all,cosine_without_center,20,False,15468,575,0,0,14893,0,0,575
cohort,A,all,all,cosine_without_center,1,True,532,62,14,17,439,12,3,47
cohort,A,all,all,cosine_without_center,2,True,532,63,13,14,442,8,7,48
cohort,A,all,all,cosine_without_center,3,True,532,66,10,10,446,8,8,50
cohort,A,all,all,cosine_without_center,4,True,532,68,8,11,445,9,9,50
cohort,A,all,all,cosine_without_center,5,True,532,69,7,14,442,10,4,55
cohort,A,all,all,cosine_without_center,6,True,532,70,6,16,440,10,4,56
cohort,A,all,all,cosine_without_center,7,True,532,70,6,16,440,11,2,57
cohort,A,all,all,cosine_without_center,8,True,532,71,5,17,439,11,2,58
cohort,A,all,all,cosine_without_center,9,True,532,72,4,17,439,11,2,59
cohort,A,all,all,cosine_without_center,10,True,532,73,3,16,440,10,2,61
cohort,A,all,all,cosine_without_center,20,True,532,76,0,0,456,0,0,76
cohort,B,all,all,euclidean,1,False,15436,1309,96,412,13619,199,186,924
cohort,B,all,all,euclidean,2,False,15436,1314,91,345,13686,162,169,983
cohort,B,all,all,euclidean,3,False,15436,1332,73,299,13732,157,130,1045
cohort,B,all,all,euclidean,4,False,15436,1341,64,265,13766,139,110,1092
cohort,B,all,all,euclidean,5,False,15436,1347,58,241,13790,121,103,1123
cohort,B,all,all,euclidean,6,False,15436,1351,54,221,13810,108,98,1145
cohort,B,all,all,euclidean,7,False,15436,1360,45,213,13818,103,84,1173
cohort,B,all,all,euclidean,8,False,15436,1365,40,180,13851,95,67,1203
cohort,B,all,all,euclidean,9,False,15436,1370,35,154,13877,92,53,1225
cohort,B,all,all,euclidean,10,False,15436,1376,29,134,13897,87,42,1247
cohort,B,all,all,euclidean,20,False,15436,1405,0,0,14031,0,0,1405
cohort,B,all,all,euclidean,1,True,564,486,13,20,45,133,96,257
cohort,B,all,all,euclidean,2,True,564,492,7,21,44,121,88,283
cohort,B,all,all,euclidean,3,True,564,496,3,20,45,122,78,296
cohort,B,all,all,euclidean,4,True,564,497,2,22,43,143,51,303
cohort,B,all,all,euclidean,5,True,564,499,0,23,42,148,40,311
cohort,B,all,all,euclidean,6,True,564,499,0,22,43,164,37,298
cohort,B,all,all,euclidean,7,True,564,499,0,22,43,162,28,309
cohort,B,all,all,euclidean,8,True,564,499,0,20,45,158,20,321
cohort,B,all,all,euclidean,9,True,564,499,0,18,47,146,21,332
cohort,B,all,all,euclidean,10,True,564,499,0,17,48,138,18,343
cohort,B,all,all,euclidean,20,True,564,499,0,0,65,0,0,499
cohort,B,all,all,cosine,1,False,15436,230,120,72,15014,12,25,193
cohort,B,all,all,cosine,2,False,15436,258,92,74,15012,12,21,225
cohort,B,all,all,cosine,3,False,15436,283,67,70,15016,13,18,252
cohort,B,all,all,cosine,4,False,15436,296,54,55,15031,13,19,264
cohort,B,all,all,cosine,5,False,15436,305,45,53,15033,13,18,274
cohort,B,all,all,cosine,6,False,15436,309,41,52,15034,10,16,283
cohort,B,all,all,cosine,7,False,15436,311,39,47,15039,9,15,287
cohort,B,all,all,cosine,8,False,15436,318,32,43,15043,9,13,296
cohort,B,all,all,cosine,9,False,15436,323,27,38,15048,10,9,304
cohort,B,all,all,cosine,10,False,15436,326,24,32,15054,10,5,311
cohort,B,all,all,cosine,20,False,15436,350,0,0,15086,0,0,350
cohort,B,all,all,cosine,1,True,564,14,7,6,537,0,2,12
cohort,B,all,all,cosine,2,True,564,14,7,7,536,0,2,12
cohort,B,all,all,cosine,3,True,564,17,4,8,535,1,2,14
cohort,B,all,all,cosine,4,True,564,15,6,7,536,1,2,12
cohort,B,all,all,cosine,5,True,564,17,4,6,537,0,2,15
cohort,B,all,all,cosine,6,True,564,18,3,6,537,0,1,17
cohort,B,all,all,cosine,7,True,564,19,2,5,538,0,1,18
cohort,B,all,all,cosine,8,True,564,19,2,5,538,0,0,19
cohort,B,all,all,cosine,9,True,564,19,2,4,539,0,0,19
cohort,B,all,all,cosine,10,True,564,19,2,3,540,0,0,19
cohort,B,all,all,cosine,20,True,564,21,0,0,543,0,0,21
cohort,B,all,all,cosine_neighbors_euclidean_score,1,False,15436,488,492,172,14284,21,189,278
cohort,B,all,all,cosine_neighbors_euclidean_score,2,False,15436,528,452,147,14309,26,218,284
cohort,B,all,all,cosine_neighbors_euclidean_score,3,False,15436,585,395,81,14375,44,196,345
cohort,B,all,all,cosine_neighbors_euclidean_score,4,False,15436,681,299,105,14351,44,175,462
cohort,B,all,all,cosine_neighbors_euclidean_score,5,False,15436,693,287,103,14353,30,197,466
cohort,B,all,all,cosine_neighbors_euclidean_score,6,False,15436,706,274,130,14326,33,171,502
cohort,B,all,all,cosine_neighbors_euclidean_score,7,False,15436,778,202,119,14337,55,120,603
cohort,B,all,all,cosine_neighbors_euclidean_score,8,False,15436,767,213,102,14354,47,127,593
cohort,B,all,all,cosine_neighbors_euclidean_score,9,False,15436,776,204,89,14367,45,121,610
cohort,B,all,all,cosine_neighbors_euclidean_score,10,False,15436,810,170,92,14364,53,99,658
cohort,B,all,all,cosine_neighbors_euclidean_score,20,False,15436,980,0,0,14456,0,0,980
cohort,B,all,all,cosine_neighbors_euclidean_score,1,True,564,284,180,3,97,34,178,72
cohort,B,all,all,cosine_neighbors_euclidean_score,2,True,564,299,165,4,96,26,156,117
cohort,B,all,all,cosine_neighbors_euclidean_score,3,True,564,332,132,3,97,18,185,129
cohort,B,all,all,cosine_neighbors_euclidean_score,4,True,564,380,84,2,98,25,196,159
cohort,B,all,all,cosine_neighbors_euclidean_score,5,True,564,400,64,2,98,28,189,183
cohort,B,all,all,cosine_neighbors_euclidean_score,6,True,564,425,39,2,98,40,138,247
cohort,B,all,all,cosine_neighbors_euclidean_score,7,True,564,427,37,2,98,36,115,276
cohort,B,all,all,cosine_neighbors_euclidean_score,8,True,564,433,31,2,98,47,110,276
cohort,B,all,all,cosine_neighbors_euclidean_score,9,True,564,438,26,2,98,36,99,303
cohort,B,all,all,cosine_neighbors_euclidean_score,10,True,564,442,22,4,96,45,82,315
cohort,B,all,all,cosine_neighbors_euclidean_score,20,True,564,464,0,0,100,0,0,464
cohort,B,all,all,euclidean_neighbors_cosine_score,1,False,15436,190,130,95,15021,12,16,162
cohort,B,all,all,euclidean_neighbors_cosine_score,2,False,15436,227,93,84,15032,16,12,199
cohort,B,all,all,euclidean_neighbors_cosine_score,3,False,15436,222,98,60,15056,11,12,199
cohort,B,all,all,euclidean_neighbors_cosine_score,4,False,15436,216,104,40,15076,6,14,196
cohort,B,all,all,euclidean_neighbors_cosine_score,5,False,15436,243,77,61,15055,11,13,219
cohort,B,all,all,euclidean_neighbors_cosine_score,6,False,15436,262,58,70,15046,17,5,240
cohort,B,all,all,euclidean_neighbors_cosine_score,7,False,15436,272,48,70,15046,20,4,248
cohort,B,all,all,euclidean_neighbors_cosine_score,8,False,15436,254,66,35,15081,10,10,234
cohort,B,all,all,euclidean_neighbors_cosine_score,9,False,15436,261,59,35,15081,7,11,243
cohort,B,all,all,euclidean_neighbors_cosine_score,10,False,15436,261,59,38,15078,5,10,246
cohort,B,all,all,euclidean_neighbors_cosine_score,20,False,15436,320,0,0,15116,0,0,320
cohort,B,all,all,euclidean_neighbors_cosine_score,1,True,564,9,7,6,542,4,0,5
cohort,B,all,all,euclidean_neighbors_cosine_score,2,True,564,10,6,3,545,2,0,8
cohort,B,all,all,euclidean_neighbors_cosine_score,3,True,564,10,6,4,544,1,0,9
cohort,B,all,all,euclidean_neighbors_cosine_score,4,True,564,9,7,2,546,0,0,9
cohort,B,all,all,euclidean_neighbors_cosine_score,5,True,564,11,5,3,545,0,0,11
cohort,B,all,all,euclidean_neighbors_cosine_score,6,True,564,12,4,6,542,2,0,10
cohort,B,all,all,euclidean_neighbors_cosine_score,7,True,564,14,2,8,540,3,0,11
cohort,B,all,all,euclidean_neighbors_cosine_score,8,True,564,13,3,4,544,2,0,11
cohort,B,all,all,euclidean_neighbors_cosine_score,9,True,564,13,3,2,546,1,0,12
cohort,B,all,all,euclidean_neighbors_cosine_score,10,True,564,13,3,4,544,1,0,12
cohort,B,all,all,euclidean_neighbors_cosine_score,20,True,564,16,0,0,548,0,0,16
cohort,B,all,all,cosine_without_center,1,False,15436,443,107,154,14732,57,34,352
cohort,B,all,all,cosine_without_center,2,False,15436,466,84,116,14770,40,38,388
cohort,B,all,all,cosine_without_center,3,False,15436,479,71,105,14781,38,30,411
cohort,B,all,all,cosine_without_center,4,False,15436,499,51,94,14792,37,27,435
cohort,B,all,all,cosine_without_center,5,False,15436,503,47,94,14792,38,20,445
cohort,B,all,all,cosine_without_center,6,False,15436,509,41,86,14800,40,15,454
cohort,B,all,all,cosine_without_center,7,False,15436,514,36,82,14804,38,11,465
cohort,B,all,all,cosine_without_center,8,False,15436,518,32,80,14806,37,9,472
cohort,B,all,all,cosine_without_center,9,False,15436,525,25,73,14813,38,4,483
cohort,B,all,all,cosine_without_center,10,False,15436,530,20,70,14816,38,1,491
cohort,B,all,all,cosine_without_center,20,False,15436,550,0,0,14886,0,0,550
cohort,B,all,all,cosine_without_center,1,True,564,67,15,16,466,13,10,44
cohort,B,all,all,cosine_without_center,2,True,564,68,14,14,468,10,7,51
cohort,B,all,all,cosine_without_center,3,True,564,71,11,14,468,8,6,57
cohort,B,all,all,cosine_without_center,4,True,564,77,5,13,469,8,4,65
cohort,B,all,all,cosine_without_center,5,True,564,78,4,14,468,8,3,67
cohort,B,all,all,cosine_without_center,6,True,564,79,3,14,468,7,2,70
cohort,B,all,all,cosine_without_center,7,True,564,80,2,13,469,7,2,71
cohort,B,all,all,cosine_without_center,8,True,564,80,2,14,468,9,2,69
cohort,B,all,all,cosine_without_center,9,True,564,80,2,15,467,8,0,72
cohort,B,all,all,cosine_without_center,10,True,564,80,2,14,468,7,0,73
cohort,B,all,all,cosine_without_center,20,True,564,82,0,0,482,0,0,82
suite,all,libero_goal,all,euclidean,1,False,7792,1829,98,152,5713,176,280,1373
suite,all,libero_goal,all,euclidean,2,False,7792,1831,96,102,5763,123,242,1466
suite,all,libero_goal,all,euclidean,3,False,7792,1856,71,89,5776,130,188,1538
suite,all,libero_goal,all,euclidean,4,False,7792,1865,62,74,5791,115,160,1590
suite,all,libero_goal,all,euclidean,5,False,7792,1871,56,60,5805,88,162,1621
suite,all,libero_goal,all,euclidean,6,False,7792,1875,52,55,5810,70,156,1649
suite,all,libero_goal,all,euclidean,7,False,7792,1885,42,49,5816,64,136,1685
