level,cohort,suite,task,method,k,failure,episodes,scorable,p00,p10,p25,p50,p75,p90,p100
cohort,B,all,all,euclidean,10,True,564,564,0.5336394363753149,1.047735805098853,1.450922106219219,2.0565471391467236,2.797711391328316,5.025109051324442,8.769026639335728
cohort,B,all,all,euclidean,20,True,564,564,0.4551462540467882,0.9498082428626842,1.367195626001154,1.9745908971355224,2.6211107438239094,4.834650580464284,8.29705563307494
suite,all,libero_goal,all,euclidean,1,False,7792,7548,0.18670847372684846,0.3746532710509371,0.45534895713779966,0.6431347897099204,1.0278720499102045,1.4740413585636545,3.7820760696753495
suite,all,libero_goal,all,euclidean,2,False,7792,7548,0.2020578043242483,0.38007258336675565,0.46014234227731465,0.637692468998063,1.01043834433194,1.457762145489122,3.760202156968693
suite,all,libero_goal,all,euclidean,3,False,7792,7548,0.20360626010649385,0.38358368305345036,0.4622917397582818,0.6387001301135191,1.0122165114994457,1.463972769889364,3.7440838869313935
suite,all,libero_goal,all,euclidean,4,False,7792,7548,0.21726374242328822,0.3845963732872152,0.4640784285480033,0.6404954149516364,1.0123999588102057,1.458336426918616,3.704679415143538
suite,all,libero_goal,all,euclidean,5,False,7792,7548,0.22396495320302054,0.3865349995824735,0.46479537037990226,0.6416315149199765,1.0091947063233195,1.4523848182974455,3.667500044668493
suite,all,libero_goal,all,euclidean,6,False,7792,7548,0.22973593952643698,0.3878867002051956,0.4649903192911258,0.6428326261520705,1.0093165132427009,1.4479541955931563,3.6257712878113044
suite,all,libero_goal,all,euclidean,7,False,7792,7548,0.23494373632795051,0.39100375359530365,0.46812246900209736,0.6468680966835109,1.0104841745993092,1.4518349760126628,3.6212563465664473
suite,all,libero_goal,all,euclidean,8,False,7792,7548,0.241176369805282,0.39348940303340507,0.47062511748019337,0.6495034210011946,1.0121052346835253,1.4558718934226458,3.6160184631046826
suite,all,libero_goal,all,euclidean,9,False,7792,7548,0.24540598512009615,0.39585583595282703,0.4730661045551333,0.65123619373661,1.0127911064762298,1.4586149819132574,3.611103520663787
suite,all,libero_goal,all,euclidean,10,False,7792,7548,0.2489355383940867,0.3980052468116295,0.4753112667310533,0.6525805732259046,1.0150563871770297,1.4574846035909317,3.6049888459645083
suite,all,libero_goal,all,euclidean,20,False,7792,7548,0.2552907772545404,0.39735476882710136,0.47286395205074977,0.6516510458341903,1.0102778112529114,1.4537815050375305,3.4416332570164556
suite,all,libero_goal,all,euclidean,1,True,208,208,0.8358635939784356,1.3079998278110414,1.6354373582681014,2.4091097735795133,3.755133336287676,7.904325903146562,9.457532430441459
suite,all,libero_goal,all,euclidean,2,True,208,208,0.8346519755849644,1.3225073855983336,1.6337925543520884,2.3742584829476123,3.7629724740171184,7.641279864001539,9.105136841607465
suite,all,libero_goal,all,euclidean,3,True,208,208,0.8411571876634174,1.3264108800268581,1.6394054430666163,2.3663901430752015,3.763215811526699,7.357376289610343,8.773233938747758
suite,all,libero_goal,all,euclidean,4,True,208,208,0.842522384728322,1.331880187289078,1.6429309499423062,2.3797193482194996,3.7625927556812,7.209909385048592,8.594431106679219
suite,all,libero_goal,all,euclidean,5,True,208,208,0.8564517418104439,1.3298123746794879,1.6474629365612916,2.3926822191480994,3.775055391392301,7.103440255732552,8.470434662011035
suite,all,libero_goal,all,euclidean,6,True,208,208,0.8653364728715944,1.3304845444217674,1.6469642206875132,2.4031113429677466,3.7785143179859166,7.036329839964815,8.36764786791334
suite,all,libero_goal,all,euclidean,7,True,208,208,0.8716978982885796,1.331845116238118,1.6474802312616115,2.409306939243569,3.7839682979952842,6.984855800175595,8.296960837119682
suite,all,libero_goal,all,euclidean,8,True,208,208,0.8741881764996706,1.332522953526144,1.6493662943810188,2.410818881130594,3.778296943106224,6.939195976023794,8.233588416392335
suite,all,libero_goal,all,euclidean,9,True,208,208,0.8774480950310702,1.3332601385082263,1.6548139408598792,2.412069491994334,3.7723521229863013,6.887052651212306,8.165585995743925
suite,all,libero_goal,all,euclidean,10,True,208,208,0.8809749033587339,1.3329401292577672,1.6587069822179126,2.410308629185414,3.7636983286919254,6.837413039302184,8.106620649210026
suite,all,libero_goal,all,euclidean,20,True,208,208,0.9014763764650824,1.3248584782344612,1.6598605075313504,2.323053796515712,3.6558302399384663,6.244885224447672,7.39011961786814
suite,all,libero_long,all,euclidean,1,False,7459,7459,0.30660521043230543,0.4205140887809348,0.4708133235795556,0.5404201741985346,0.641896814572306,0.8557035597999462,1.8778858822117106
