quantity,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
query_hard_churn,L4,low,0.95,per_task,162,19,0.3326488706365503,0.0013274645427233983,0.8950276243093923,29,6,0.8285714285714286,0.17901234567901234,0.6553343637033348,1.3657571979768255
query_hard_churn,L4,low,0.95,global,156,43,0.3203285420944558,0.0030042618598476907,0.7839195979899497,13,23,0.3611111111111111,0.08333333333333333,0.6331180754700476,1.238188622885142
query_hard_churn,L4,low,0.96,per_task,146,16,0.2997946611909651,0.0011178648780828617,0.9012345679012346,29,4,0.8787878787878788,0.19863013698630136,0.6572548237137495,1.3712102755045645
query_hard_churn,L4,low,0.96,global,133,34,0.2731006160164271,0.0023754628659260813,0.7964071856287425,12,14,0.46153846153846156,0.09022556390977443,0.6412994506734826,1.2418647556806235
query_hard_churn,L4,low,0.975,per_task,99,5,0.2032854209445585,0.0003493327744008943,0.9519230769230769,11,0,1.0,0.1111111111111111,0.7384465360383339,1.2890886888440372
query_hard_churn,L4,low,0.975,global,97,17,0.19917864476386038,0.0011877314329630407,0.8508771929824561,5,6,0.45454545454545453,0.05154639175257732,0.6645637784770275,1.2803544528598907
query_hard_churn,L4,low,0.98,per_task,84,5,0.17248459958932238,0.0003493327744008943,0.9438202247191011,8,0,1.0,0.09523809523809523,0.7483834695899604,1.2611452057275137
query_hard_churn,L4,low,0.98,global,82,12,0.16837782340862423,0.0008383986585621463,0.8723404255319149,3,5,0.375,0.036585365853658534,0.7068645756208161,1.234098376999253
query_hard_churn,L4,low,0.99,per_task,46,4,0.0944558521560575,0.00027946621952071543,0.92,4,0,1.0,0.08695652173913043,0.7244353496824141,1.2699545934683056
query_hard_churn,L4,low,0.99,global,43,4,0.08829568788501027,0.00027946621952071543,0.9148936170212766,2,0,1.0,0.046511627906976744,0.7429172263687476,1.2314879565966188
query_hard_churn,L4,low,0.995,per_task,25,2,0.0513347022587269,0.00013973310976035772,0.9259259259259259,3,0,1.0,0.12,0.673536845479039,1.3747220098514141
query_hard_churn,L4,low,0.995,global,23,3,0.04722792607802875,0.00020959966464053657,0.8846153846153846,1,0,1.0,0.043478260869565216,0.7168685485482579,1.2339994360288697
query_hard_churn,L4,high,0.5,per_task,24,655,0.049281314168377825,0.045762593446517154,0.035346097201767304,19,652,0.028315946348733235,0.7916666666666666,0.03875195435126664,0.9121113449240009
query_hard_churn,L4,high,0.5,global,39,1402,0.08008213552361396,0.09795290994201077,0.027064538514920196,33,1402,0.022996515679442508,0.8461538461538461,0.034148467486610906,0.7925549960779876
query_hard_churn,L4,high,0.6,per_task,16,379,0.03285420944558522,0.026479424299587787,0.04050632911392405,13,377,0.03333333333333333,0.8125,0.03605936108238944,1.1233235392433618
query_hard_churn,L4,high,0.6,global,23,920,0.04722792607802875,0.06427723048976455,0.024390243902439025,20,920,0.02127659574468085,0.8695652173913043,0.033307131275873494,0.732282936660668
query_hard_churn,L4,high,0.7,per_task,9,171,0.018480492813141684,0.011947180884510585,0.05,7,170,0.03954802259887006,0.7777777777777778,0.038282134954929284,1.306092255796771
query_hard_churn,L4,high,0.7,global,17,535,0.03490759753593429,0.03737860686089569,0.030797101449275364,13,535,0.023722627737226276,0.7647058823529411,0.037392387945711605,0.8236195424049501
query_hard_churn,L4,high,0.75,per_task,8,105,0.01642710472279261,0.00733598826241878,0.07079646017699115,7,105,0.0625,0.875,0.02900980670916061,2.440431985182283
query_hard_churn,L4,high,0.75,global,13,370,0.026694045174537988,0.02585062530566618,0.033942558746736295,10,370,0.02631578947368421,0.7692307692307693,0.038409626879038795,0.8836992573145691
query_hard_churn,L4,high,0.8,per_task,7,69,0.014373716632443531,0.004820792286732341,0.09210526315789473,6,69,0.08,0.8571428571428571,0.028227043240842097,3.263014917007898
query_hard_churn,L4,high,0.8,global,10,255,0.02053388090349076,0.01781597149444561,0.03773584905660377,7,255,0.026717557251908396,0.7,0.04161076008135611,0.9068771871223638
query_hard_churn,L4,high,0.85,per_task,6,34,0.012320328542094456,0.0023754628659260813,0.15,4,34,0.10526315789473684,0.6666666666666666,0.05438388190843548,2.758170155130715
query_hard_churn,L4,high,0.85,global,7,155,0.014373716632443531,0.010829316006427723,0.043209876543209874,5,155,0.03125,0.7142857142857143,0.044170752704370514,0.9782463258529537
query_hard_churn,L4,high,0.9,per_task,3,13,0.006160164271047228,0.0009082652134423251,0.1875,2,13,0.13333333333333333,0.6666666666666666,0.06755695949159853,2.7754357420913496
query_hard_churn,L4,high,0.9,global,1,64,0.002053388090349076,0.004471459512331447,0.015384615384615385,0,64,0.0,0.0,0.04394454988306271,0.35009154549435917
