setting,method,checkpoint,eligible_episodes,scored_episodes,overall_coverage,eligible_score_coverage,scored_failures,scored_successes,failure_coverage,auc,ap,task_macro_auc,task_macro_ap,macro_tasks
task_heldout,token_collapse__current,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.48080570471881184,0.05463087291825445,0.49498740114777373,0.18946058037903524,32
task_heldout,token_collapse__current,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.5348954647670268,0.13951976678293332,0.47780153945254417,0.36300577069980106,29
task_heldout,token_collapse__current,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.49261991322155435,0.23198918034308177,0.4131390873573939,0.48607624756917145,25
task_heldout,token_collapse__current,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.6586234408577806,0.08619306264651759,0.5879285905640436,0.2337597650374221,36
task_heldout,token_collapse__current,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.508568560749709,0.03593107590501376,0.3381227102139387,0.05002976150220945,36
task_heldout,token_collapse__current,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5707290682032153,0.05509033201820269,0.589998835735286,0.34996068471300656,36
task_heldout,token_collapse__mean,q0,15600,15600,1.0,1.0,564,15036,1.0,0.6218337809587958,0.06592833606838462,0.49361924366738097,0.04959407018992555,36
task_heldout,token_collapse__mean,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5737911046585122,0.04343851701041776,0.4647011677526211,0.0454005406953416,36
task_heldout,token_collapse__mean,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.6228711860808404,0.07398798957720508,0.4098704001207213,0.08388711075665725,36
task_heldout,token_collapse__mean,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.5797856651263396,0.0881590338082593,0.37583406532329355,0.19410925681713867,32
task_heldout,token_collapse__mean,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.5162576072085673,0.18175749635387764,0.39493637083529143,0.3913606295020966,29
task_heldout,token_collapse__mean,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.5249570931029424,0.2184256582662343,0.3997748442910995,0.5028867896830272,25
task_heldout,token_collapse__mean,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.5923574202056907,0.05528483354328341,0.3849107303673731,0.18393441911386316,36
task_heldout,token_collapse__mean,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.6070294178133236,0.06266782994690383,0.45827423599862155,0.04670327286925042,36
task_heldout,token_collapse__mean,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.6146612196921243,0.06421168493743519,0.5048272984764438,0.08025567906182683,36
task_heldout,token_collapse__max,q0,15600,15600,1.0,1.0,564,15036,1.0,0.6218337809587958,0.06592833606838462,0.49361924366738097,0.04959407018992555,36
task_heldout,token_collapse__max,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5660919113277071,0.04196929819240679,0.46676718283509394,0.05287492133136969,36
task_heldout,token_collapse__max,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5979000327976698,0.053585216164648175,0.4126543010954567,0.05421683412819961,36
task_heldout,token_collapse__max,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.43391384976476716,0.04767881898978947,0.3678865700170352,0.17156544621606484,32
