run_role,episode_index,init_state_id,failure_family,window,feature,score
preliminary_gpu4,6,0,success,post5,frozen_conjunction_margin,-0.05008776101357681
preliminary_gpu4,6,0,success,post5,layer5_gap_log_ratio,0.005828286824290357
preliminary_gpu4,6,0,success,post5,back_jump_log_ratio,0.16957240966685577
preliminary_gpu4,6,0,success,post5,nominal_action_log_margin,0.2673571776263392
preliminary_gpu4,6,0,success,post5,phase_match_distance,0.03871827572584152
preliminary_gpu4,6,0,success,post5,front_late_flow_wj,0.030169280245900154
preliminary_gpu4,6,0,success,post5,back_late_flow_wj,0.027220746502280235
preliminary_gpu4,6,0,success,post5,front_route_acceleration,0.01196215538169536
preliminary_gpu4,6,0,success,post5,back_route_acceleration,0.0072943607208575375
preliminary_gpu4,6,0,success,post5,front_chunk_jump_h,0.04137500002980232
preliminary_gpu4,6,0,success,post5,back_chunk_jump_h,0.04329525399953127
preliminary_gpu4,6,0,success,post5,layer5_state_action_gap,0.709342360496521
preliminary_gpu4,6,0,success,around5,frozen_conjunction_margin,0.0026315019026607015
preliminary_gpu4,6,0,success,around5,layer5_gap_log_ratio,0.0195170695746386
preliminary_gpu4,6,0,success,around5,back_jump_log_ratio,0.16957240966685577
preliminary_gpu4,6,0,success,around5,nominal_action_log_margin,0.30769953971344355
preliminary_gpu4,6,0,success,around5,phase_match_distance,0.03931092524102756
preliminary_gpu4,6,0,success,around5,front_late_flow_wj,0.034506868571043015
preliminary_gpu4,6,0,success,around5,back_late_flow_wj,0.028200292959809303
