channel,const_frac,switch_rate,n_distinct,dead,best_excess,sign,thr,tp_lead4,fp_lead4,tp_lead0,fp_lead0,median_lead
deriv:log_state_mobility:L4:sm,0.0,0.9138089216693693,198554,False,-189,1,2.617487306594849,33.0,167.0,33.0,174.0,18.0
flow:state_mobility:L3:s6,0.0,0.9138062719608373,190198,False,-189,1,5.373194732666032,33.0,90.0,40.0,146.0,14.0
flow:state_mobility:L3:s0,0.0,0.9138062719608373,190217,False,-189,1,5.3732271480560465,33.0,90.0,40.0,146.0,14.0
flow:conditional_effective_rank:L13:s0,0.0,1.0,208621,False,-189,-1,1.8630959343910218,33.0,138.0,39.0,152.0,12.0
flow:state_mobility:L3:s3,0.0,0.9138062719608373,190190,False,-189,1,5.37316760063173,33.0,90.0,40.0,146.0,14.0
flow:action_consensus:L15:s3,0.0,0.9999434033733603,47041,False,-189,1,1.3916873669624328,33.0,142.0,47.0,153.0,7.0
flow:state_mobility:L3:sm,0.0,0.9138062719608373,194806,False,-189,1,5.373193426132218,33.0,90.0,40.0,146.0,14.0
chan:selected_mass:L14:-,0.0,0.999949764646932,72581,False,-189,-1,1.7700478458404543,33.0,109.0,33.0,144.0,13.0
hb:state_action_alignment:L13:-,0.0,0.9999932133220176,139843,False,-190,1,1.7995485115051277,32.0,144.0,38.0,162.0,30.0
hb:conditional_energy:L13:-,0.0,1.0,218367,False,-190,-1,1.8099516701698304,32.0,145.0,38.0,163.0,30.0
chan:denoise_hard_churn:L5:-,0.0,0.9979274302121481,3935,False,-190,-1,3.0279749488830565,32.0,129.0,34.0,183.0,12.5
flow:token_differentiation:L15:s6,0.0,0.9999277300950221,42528,False,-190,1,5.601268482208262,32.0,107.0,41.0,158.0,14.0
flow:action_consensus:L15:sm,0.0,0.9999291443016364,48453,False,-190,1,1.4624069046974184,32.0,185.0,34.0,185.0,12.0
hb:conditional_query_d1:L3:-,0.0,0.9138089216693693,206546,False,-190,1,6.803973274230957,32.0,100.0,34.0,156.0,12.0
flow:flow_speed:L14:s6,0.0,1.0,219127,False,-190,-1,1.7232993030548098,32.0,158.0,33.0,171.0,11.0
flow:state_action_alignment:L12:sm,0.0,0.9999794010639599,143792,False,-190,1,1.7323140048980719,32.0,94.0,34.0,164.0,24.5
flow:conditional_energy:L12:sm,0.0,1.0,219918,False,-190,-1,1.7436230492591858,32.0,94.0,34.0,165.0,24.5
flow:conditional_effective_rank:L12:sm,0.0,1.0,213023,False,-190,-1,1.7141898965835574,32.0,154.0,33.0,158.0,23.0
chan:query_top1_churn:L14:-,0.0,0.8347008853755121,91,False,-190,-1,5.466349201202402,32.0,149.0,32.0,162.0,15.5
hb:conditional_query_d1:L15:-,0.0,0.9138089216693693,206244,False,-190,-1,1.210548677444458,32.0,131.0,32.0,169.0,17.0
flow:conditional_energy:L13:s9,0.0,0.9999943693693695,218285,False,-190,-1,1.8099496912956239,32.0,145.0,38.0,163.0,30.0
flow:state_action_alignment:L13:s9,0.0,0.9999932133220176,143797,False,-190,1,1.7995496916770943,32.0,144.0,38.0,162.0,30.0
flow:token_entropy:L15:s0,0.0,0.9999195808388084,27740,False,-191,1,1.4554609799385072,31.0,149.0,37.0,169.0,7.0
flow:action_consensus:L15:s6,0.0,0.9999454117411775,57078,False,-191,-1,5.509388208389282,31.0,105.0,41.0,157.0,13.0
deriv:log_mobility:back:s9,0.0,0.9138089216693693,201772,False,-191,1,2.245293641090393,31.0,86.0,36.0,158.0,10.5
flow:conditional_effective_rank:L12:s0,0.0,0.9999954954954956,208013,False,-191,-1,1.7354940819740312,31.0,135.0,36.0,138.0,12.5
flow:state_mobility:L2:s6,0.0,0.9138062719608373,191288,False,-192,1,4.194628391265869,30.0,142.0,34.0,176.0,14.0
flow:state_action_alignment:L12:s3,0.0,0.9999951737451738,143311,False,-192,1,1.7344576621055612,30.0,97.0,32.0,167.0,24.5
flow:token_differentiation:L15:sm,0.0,1.0,146438,False,-192,-1,1.460675137043,30.0,188.0,32.0,188.0,12.0
flow:state_mobility:L2:s3,0.0,0.9138062719608373,191288,False,-192,1,4.194628391265869,30.0,142.0,34.0,176.0,14.0
flow:state_mobility:L2:s0,0.0,0.9138062719608373,191288,False,-192,1,4.194628391265869,30.0,142.0,34.0,176.0,14.0
flow:state_mobility:L2:sm,0.0,0.9138062719608373,191288,False,-192,1,4.194628763198853,30.0,142.0,34.0,176.0,14.0
flow:state_mobility:L2:s9,0.0,0.9138062719608373,191288,False,-192,1,4.194628391265869,30.0,142.0,34.0,176.0,14.0
flow:conditional_energy:L12:s3,0.0,1.0,218256,False,-193,-1,1.7456045317649842,29.0,97.0,31.0,168.0,24.0
chan:set_dwell:L2:-,0.46878378378378377,0.11708543660564152,13,False,-193,1,8.084748268127441,29.0,166.0,30.0,191.0,20.0
chan:denoise_hard_churn:L2:-,0.0,0.9978335466319662,3740,False,-193,-1,3.032066559791567,29.0,130.0,37.0,182.0,11.0
flow:state_action_alignment:L12:s0,0.0,0.999998675145734,142001,False,-194,1,1.7255535459518436,28.0,90.0,31.0,167.0,25.0
flow:state_action_alignment:L12:s9,0.0,0.9999902291997881,146221,False,-194,1,1.7628165197372438,28.0,90.0,30.0,162.0,23.0
flow:conditional_energy:L12:s0,0.0,1.0,218231,False,-194,-1,1.7361688804626467,28.0,92.0,31.0,168.0,25.0
flow:token_entropy:L15:s3,0.0,0.9998865934890551,33835,False,-194,1,1.491481893062592,28.0,169.0,30.0,184.0,26.0
hb:partial_edge_std:L3:-,0.0,1.0,220820,False,-194,1,6.506216735839844,28.0,110.0,29.0,190.0,32.0
flow:conditional_effective_rank:L15:s6,0.0,1.0,213729,False,-194,-1,1.7834618282318155,28.0,177.0,31.0,178.0,9.0
flow:conditional_energy:L12:s9,0.0,1.0,218573,False,-194,-1,1.7748823928833022,28.0,91.0,30.0,162.0,23.0
flow:state_action_alignment:L12:s6,0.0,0.999998675145734,144611,False,-194,1,1.7321684217453004,28.0,89.0,30.0,164.0,25.0
hb:state_action_alignment:L12:-,0.0,0.999991554054054,142396,False,-194,1,1.7628190302848816,28.0,90.0,30.0,162.0,23.0
hb:conditional_energy:L12:-,0.0,1.0,218472,False,-194,-1,1.7748769068717969,28.0,91.0,30.0,162.0,23.0
flow:token_entropy:L13:s6,0.0,0.9999138787537621,37509,False,-194,1,1.4999240732192993,28.0,143.0,30.0,151.0,20.0
flow:conditional_energy:L15:s9,0.0,1.0,217391,False,-195,1,5.055601177215587,27.0,121.0,30.0,135.0,8.5
