prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
1,action,back_12_15,7,entropy,0.4722222222222222,0.5,-0.02777777777777779,-0.3083333414047956,0.0833333358168602,0.8235294117647058,1.0,36,36
1,action,back_12_15,8,top1_mass,0.4166666666666667,0.4444444444444444,-0.027777777777777735,-0.1111111119389534,0.0833333358168602,0.8235294117647058,1.0,36,36
1,action,front_2_5,3,top1_mass,0.4722222222222222,0.4444444444444444,0.02777777777777779,0.0,0.0555555559694767,0.8431372549019608,1.0,36,36
1,action,back_12_15,2,token_dispersion,0.4444444444444444,0.4166666666666667,0.027777777777777735,-0.16041667200624943,0.1604166720062494,0.8627450980392157,1.0,36,36
1,action,back_12_15,7,token_dispersion,0.4722222222222222,0.4444444444444444,0.02777777777777779,-0.0833333358168602,0.1111111119389534,0.8627450980392157,1.0,36,36
1,action,front_2_5,3,entropy,0.5,0.5277777777777778,-0.02777777777777779,-0.0770833353511989,0.0833333358168602,0.8627450980392157,1.0,36,36
1,action,front_2_5,4,token_dispersion,0.4722222222222222,0.5,-0.02777777777777779,-0.1666666716337204,0.049305555922910534,0.8627450980392157,1.0,36,36
1,action,front_2_5,6,entropy,0.5277777777777778,0.5,0.02777777777777779,-0.02777777798473835,0.1111111119389534,0.8627450980392157,1.0,36,36
1,state,back_12_15,2,consensus_distance,0.4444444444444444,0.4722222222222222,-0.02777777777777779,-0.1111111119389534,0.13263889420777555,0.8627450980392157,1.0,36,36
1,state,back_12_15,2,entropy,0.4722222222222222,0.4444444444444444,0.02777777777777779,-0.0833333358168602,0.1666666716337204,0.8627450980392157,1.0,36,36
1,action,back_12_15,6,consensus_distance,0.5,0.4722222222222222,0.02777777777777779,-0.0833333358168602,0.1111111119389534,0.8823529411764706,1.0,36,36
1,action,front_2_5,3,consensus_distance,0.5555555555555556,0.5277777777777778,0.02777777777777779,-0.1666666716337204,0.1666666716337204,0.8823529411764706,1.0,36,36
1,action,front_2_5,4,top1_mass,0.4444444444444444,0.4722222222222222,-0.02777777777777779,-0.0770833353511989,0.0,0.8823529411764706,1.0,36,36
1,action,front_2_5,5,consensus_distance,0.5277777777777778,0.5,0.02777777777777779,-0.13263889420777558,0.13263889420777555,0.8823529411764706,1.0,36,36
1,action,front_2_5,5,top1_mass,0.5277777777777778,0.5,0.02777777777777779,-0.0555555559694767,0.0833333358168602,0.8823529411764706,1.0,36,36
1,state,back_12_15,5,entropy,0.4444444444444444,0.4722222222222222,-0.02777777777777779,-0.1388888955116272,0.0833333358168602,0.8823529411764706,1.0,36,36
1,state,back_12_15,6,top1_mass,0.4722222222222222,0.4444444444444444,0.02777777777777779,-0.1388888955116272,0.1666666716337204,0.8823529411764706,1.0,36,36
1,action,back_12_15,1,consensus_distance,0.5,0.4722222222222222,0.02777777777777779,-0.0555555559694767,0.10486111231148239,0.9019607843137255,1.0,36,36
1,action,front_2_5,5,entropy,0.5277777777777778,0.5,0.02777777777777779,-0.02777777798473835,0.1111111119389534,0.9019607843137255,1.0,36,36
1,action,front_2_5,7,consensus_distance,0.5,0.4722222222222222,0.02777777777777779,-0.0770833353511989,0.1111111119389534,0.9019607843137255,1.0,36,36
1,action,back_12_15,3,top1_mass,0.4722222222222222,0.4444444444444444,0.02777777777777779,-0.13263889420777558,0.13263889420777555,0.9215686274509803,1.0,36,36
1,action,front_2_5,0,consensus_distance,0.5,0.4722222222222222,0.02777777777777779,-0.0833333358168602,0.1604166720062494,0.9215686274509803,1.0,36,36
1,action,front_2_5,1,token_dispersion,0.5,0.4722222222222222,0.02777777777777779,-0.1111111119389534,0.15416667070239776,0.9215686274509803,1.0,36,36
1,state,back_12_15,3,top1_mass,0.5277777777777778,0.5,0.02777777777777779,-0.13263889420777558,0.1111111119389534,0.9215686274509803,1.0,36,36
1,state,back_12_15,0,top1_mass,0.4722222222222222,0.5,-0.02777777777777779,-0.1666666716337204,0.0833333358168602,0.9607843137254902,1.0,36,36
1,action,front_2_5,1,top1_mass,0.4166666666666667,0.4444444444444444,-0.027777777777777735,-0.0833333358168602,0.0,0.9803921568627451,1.0,36,36
1,action,back_12_15,3,consensus_distance,0.5,0.5,0.0,-0.10486111231148243,0.0833333358168602,1.0,1.0,36,36
1,action,back_12_15,3,token_dispersion,0.4166666666666667,0.4166666666666667,0.0,-0.16041667200624943,0.10486111231148239,1.0,1.0,36,36
