method,threshold_mode,suite,horizon_cap,risks,episodes,alarms,tp,fp,precision,recall,mean_matched_prior,lift,median_alarm_chunk
flow_endpoint|global,global,libero_spatial,22,126,4000,60,57,3,0.95,0.4523809523809524,0.8599684336524185,1.1046917105610534,17.0
flow_settling_log_ratio|per_task,per_task,libero_goal,30,102,4000,72,67,5,0.9305555555555556,0.6568627450980392,0.3346977271384245,2.7802864498410407,13.0
flow_settling_log_ratio|per_task,per_task,libero_long,52,222,2800,88,70,18,0.7954545454545454,0.3153153153153153,0.6419887106620139,1.2390475599396111,39.5
flow_settling_log_ratio|per_task,per_task,libero_object,28,37,4000,64,32,32,0.5,0.8648648648648649,0.232631672968786,2.1493203982893974,15.0
flow_settling_log_ratio|per_task,per_task,libero_spatial,22,126,4000,122,115,7,0.9426229508196722,0.9126984126984127,0.9106015245026208,1.0351651358529648,17.0
flow_settling_log_ratio|global,global,libero_goal,30,102,4000,3,3,0,1.0,0.029411764705882353,0.4078878994312398,2.4516539995288,17.0
flow_settling_log_ratio|global,global,libero_long,52,222,2800,2,1,1,0.5,0.0045045045045045045,0.5385375494071146,0.9284403669724771,32.5
flow_settling_log_ratio|global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
flow_settling_log_ratio|global,global,libero_spatial,22,126,4000,0,0,0,0.0,0.0,,,
action_consensus|per_task,per_task,libero_goal,30,102,4000,43,36,7,0.8372093023255814,0.35294117647058826,0.4256219386766088,1.967025724587238,17.0
action_consensus|per_task,per_task,libero_long,52,222,2800,34,18,16,0.5294117647058824,0.08108108108108109,0.400616663644674,1.3214921213947377,26.0
action_consensus|per_task,per_task,libero_object,28,37,4000,27,19,8,0.7037037037037037,0.5135135135135135,0.3759553278058039,1.8717747872087482,18.0
action_consensus|per_task,per_task,libero_spatial,22,126,4000,41,38,3,0.926829268292683,0.30158730158730157,0.8656890757153166,1.0706260414882172,18.0
action_consensus|global,global,libero_goal,30,102,4000,20,14,6,0.7,0.13725490196078433,0.19697905670538943,3.553677287870004,15.5
action_consensus|global,global,libero_long,52,222,2800,1,1,0,1.0,0.0045045045045045045,0.43529411764705883,2.2972972972972974,33.0
action_consensus|global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
action_consensus|global,global,libero_spatial,22,126,4000,0,0,0,0.0,0.0,,,
state_action_alignment|per_task,per_task,libero_goal,30,102,4000,19,18,1,0.9473684210526315,0.17647058823529413,0.28040713525588834,3.378546056569142,15.0
state_action_alignment|per_task,per_task,libero_long,52,222,2800,10,7,3,0.7,0.03153153153153153,0.41831529178711707,1.6733789410601652,30.0
state_action_alignment|per_task,per_task,libero_object,28,37,4000,1,1,0,1.0,0.02702702702702703,0.07370517928286853,13.567567567567567,15.0
state_action_alignment|per_task,per_task,libero_spatial,22,126,4000,1,0,1,0.0,0.0,0.08433734939759036,0.0,11.0
state_action_alignment|global,global,libero_goal,30,102,4000,7,7,0,1.0,0.06862745098039216,0.7071589496912799,1.4141092330607765,24.0
state_action_alignment|global,global,libero_long,52,222,2800,25,19,6,0.76,0.08558558558558559,0.48845776392660106,1.5559175349994083,33.0
state_action_alignment|global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
state_action_alignment|global,global,libero_spatial,22,126,4000,0,0,0,0.0,0.0,,,
conditional_energy|per_task,per_task,libero_goal,30,102,4000,19,18,1,0.9473684210526315,0.17647058823529413,0.2863263863335451,3.308701070773933,15.0
conditional_energy|per_task,per_task,libero_long,52,222,2800,10,7,3,0.7,0.03153153153153153,0.41831529178711707,1.6733789410601652,30.0
conditional_energy|per_task,per_task,libero_object,28,37,4000,1,1,0,1.0,0.02702702702702703,0.07370517928286853,13.567567567567567,15.0
conditional_energy|per_task,per_task,libero_spatial,22,126,4000,1,0,1,0.0,0.0,0.08433734939759036,0.0,11.0
conditional_energy|global,global,libero_goal,30,102,4000,7,7,0,1.0,0.06862745098039216,0.7071589496912799,1.4141092330607765,24.0
conditional_energy|global,global,libero_long,52,222,2800,25,19,6,0.76,0.08558558558558559,0.48845776392660106,1.5559175349994083,33.0
conditional_energy|global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
conditional_energy|global,global,libero_spatial,22,126,4000,0,0,0,0.0,0.0,,,
