family,quantity,cohort,layer,survival_auc,survival_auc_early,abs_auc_gap
published,flow_settling_log_ratio,development_main,L12,0.5104378634182514,0.514708827558281,0.01043786341825137
published,flow_settling_log_ratio,development_main,L13,0.5203422877126198,0.522991398271791,0.02034228771261981
published,flow_settling_log_ratio,development_main,L14,0.5041641841300135,0.5121802725079703,0.004164184130013515
published,flow_settling_log_ratio,development_main,L15,0.49658704461654113,0.4951849940041437,0.003412955383458871
published,flow_settling_log_ratio,external_8b,L2,0.5735857661854457,0.570216126185491,0.07358576618544566
published,flow_settling_log_ratio,external_8b,L3,0.5802869510987467,0.5768360340547773,0.08028695109874673
published,flow_settling_log_ratio,external_8b,L4,0.5543894558787981,0.5537853686086243,0.054389455878798065
published,flow_settling_log_ratio,external_8b,L5,0.5279981919114005,0.524628593212011,0.027998191911400516
published,flow_settling_log_ratio,external_8b,L12,0.506442263823431,0.5082214632374721,0.006442263823431049
published,flow_settling_log_ratio,external_8b,L13,0.5333733099805237,0.5355336740588375,0.03337330998052368
published,flow_settling_log_ratio,external_8b,L14,0.5017098326485574,0.5070325441404584,0.0017098326485573967
published,flow_settling_log_ratio,external_8b,L15,0.5143723658489548,0.5127906591155945,0.014372365848954849
published,flow_endpoint,development_main,L2,0.4838623901602377,0.48296872811846847,0.016137609839762312
published,flow_endpoint,development_main,L3,0.5211585042619858,0.5161682617448154,0.021158504261985844
published,flow_endpoint,development_main,L4,0.5201272325812034,0.5221292595963594,0.020127232581203414
published,flow_endpoint,development_main,L5,0.496787380039711,0.4943531740747969,0.003212619960288987
published,flow_endpoint,development_main,L12,0.477107479198182,0.47690544503197146,0.022892520801817973
published,flow_endpoint,development_main,L13,0.4876948281383882,0.48732798012906137,0.012305171861611786
published,flow_endpoint,development_main,L14,0.48329487656021636,0.486011647992062,0.016705123439783642
published,flow_endpoint,development_main,L15,0.5048863419376202,0.4996511722876933,0.0048863419376201644
published,flow_endpoint,external_8b,L2,0.4630094724478514,0.460362402622866,0.0369905275521486
published,flow_endpoint,external_8b,L3,0.517453765182263,0.5131290528166779,0.017453765182263048
published,flow_endpoint,external_8b,L4,0.5056560450153167,0.5062946937267269,0.005656045015316691
published,flow_endpoint,external_8b,L5,0.47769607033614253,0.47529958160842734,0.02230392966385747
published,flow_endpoint,external_8b,L12,0.4536781860410651,0.45262575593304116,0.04632181395893492
published,flow_endpoint,external_8b,L13,0.46584302605045635,0.4653196374821072,0.034156973949543645
published,flow_endpoint,external_8b,L14,0.4619717863587712,0.4631056765137044,0.038028213641228825
published,flow_endpoint,external_8b,L15,0.4999822609883498,0.4954326478943135,1.7739011650197423e-05
published,action_consensus,development_main,L2,0.4739392898724024,0.4790402617140103,0.026060710127597586
published,action_consensus,development_main,L3,0.5037500541565023,0.5030675437215166,0.0037500541565023138
published,action_consensus,development_main,L4,0.5057232708037283,0.5066986188959963,0.005723270803728253
published,action_consensus,development_main,L5,0.5073476167900245,0.5082897045361181,0.0073476167900244915
published,action_consensus,development_main,L12,0.5526344573592161,0.5509153282135996,0.052634457359216125
published,action_consensus,development_main,L13,0.5464743079419594,0.5439657892672854,0.04647430794195939
published,action_consensus,development_main,L14,0.556169243055197,0.5536115280952025,0.05616924305519699
published,action_consensus,development_main,L15,0.5562631272549614,0.5541702969109129,0.05626312725496141
published,action_consensus,external_8b,L2,0.48633075484222343,0.49120378509272566,0.013669245157776566
published,action_consensus,external_8b,L3,0.5194273388748584,0.51934424580748,0.01942733887485837
published,action_consensus,external_8b,L4,0.5247596172966926,0.5266566063158521,0.024759617296692626
published,action_consensus,external_8b,L5,0.5255249496367467,0.5263676803463473,0.025524949636746674
published,action_consensus,external_8b,L12,0.5825288355733478,0.5828365573037371,0.08252883557334778
published,action_consensus,external_8b,L13,0.5678848402854193,0.5673901010562112,0.0678848402854193
published,action_consensus,external_8b,L14,0.5847712599881698,0.5845738689535054,0.08477125998816981
published,action_consensus,external_8b,L15,0.5873224116859288,0.5870661576142994,0.0873224116859288
published,state_action_alignment,development_main,L2,0.5007991308274093,0.4984091778249177,0.0007991308274093445
published,state_action_alignment,development_main,L3,0.5390036002583377,0.5403641411110645,0.03900360025833771
published,state_action_alignment,development_main,L4,0.5002809544313129,0.5016390565438534,0.00028095443131292974
published,state_action_alignment,development_main,L5,0.5149548938879699,0.5051371426730068,0.014954893887969889
published,state_action_alignment,development_main,L12,0.47461742431015475,0.4746556765265418,0.025382575689845255
published,state_action_alignment,development_main,L13,0.5078196171316615,0.5099343546454257,0.00781961713166146
published,state_action_alignment,development_main,L14,0.5009900603764033,0.49627450300866943,0.0009900603764032567
published,state_action_alignment,development_main,L15,0.5165701249034153,0.5219334848054645,0.01657012490341525
published,state_action_alignment,external_8b,L2,0.47927783179813843,0.4773155760475004,0.02072216820186157
published,state_action_alignment,external_8b,L3,0.5484146222554509,0.5500026577638225,0.0484146222554509
published,state_action_alignment,external_8b,L4,0.48031778300229205,0.4822837642807687,0.019682216997707946
