family,quantity,representation,direction,quantile,mode,primary,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
circuit,dd_deficit,L14,high,0.6,global,False,283,1102,0.5811088295687885,0.0769929434779571,0.2043321299638989,92,991,0.08494921514312095,0.3250883392226148,0.1716602207129907,1.1903289481698522
circuit,dd_deficit,L14,high,0.7,global,False,213,668,0.43737166324435317,0.04667085865995948,0.24177071509648126,56,563,0.09046849757673667,0.26291079812206575,0.21645009226941064,1.116981344575056
circuit,dd_deficit,L14,high,0.75,global,False,174,532,0.35728952772073924,0.037169007196255155,0.24645892351274787,42,443,0.0865979381443299,0.2413793103448276,0.22642504614441705,1.0884790693850757
circuit,dd_deficit,L14,high,0.8,global,False,124,370,0.2546201232032854,0.02585062530566618,0.25101214574898784,28,300,0.08536585365853659,0.22580645161290322,0.242485891822767,1.0351618556532463
circuit,dd_deficit,L14,high,0.85,global,False,77,227,0.15811088295687886,0.0158597079578006,0.2532894736842105,19,190,0.09090909090909091,0.24675324675324675,0.25138188424181207,1.007588412538763
circuit,dd_deficit,L14,high,0.9,global,False,52,60,0.10677618069815195,0.004191993292810731,0.4642857142857143,15,57,0.20833333333333334,0.28846153846153844,0.357945454326622,1.2970850968317027
circuit,dd_deficit,L14,high,0.925,global,False,34,7,0.06981519507186858,0.000489065884161252,0.8292682926829268,10,7,0.5882352941176471,0.29411764705882354,0.604243517531088,1.3724074294934598
circuit,dd_deficit,L14,high,0.95,global,False,19,2,0.039014373716632446,0.00013973310976035772,0.9047619047619048,8,2,0.8,0.42105263157894735,0.5628790080917198,1.6073825666891384
circuit,dd_deficit,L14,high,0.96,global,False,12,1,0.024640657084188913,6.986655488017886e-05,0.9230769230769231,8,1,0.8888888888888888,0.6666666666666666,0.3895903294782851,2.369352761689567
circuit,dd_deficit,L14,high,0.975,global,False,10,1,0.02053388090349076,6.986655488017886e-05,0.9090909090909091,7,1,0.875,0.7,0.3732868500335125,2.4353681599265924
circuit,dd_deficit,L14,high,0.98,global,False,5,0,0.01026694045174538,0.0,1.0,2,0,1.0,0.4,0.49967539762787483,2.0012992529696927
circuit,dd_deficit,L14,high,0.99,global,False,4,0,0.008213552361396304,0.0,1.0,1,0,1.0,0.25,0.5899517349575489,1.6950539183886912
circuit,dd_deficit,L14,high,0.995,global,False,2,0,0.004106776180698152,0.0,1.0,1,0,1.0,0.5,0.5551111111111111,1.801441152922338
circuit,dd_deficit,L14,high,0.5,per_task,False,190,228,0.39014373716632444,0.015929574512680778,0.45454545454545453,36,222,0.13953488372093023,0.18947368421052632,0.3569463538148374,1.2734279246377895
circuit,dd_deficit,L14,high,0.6,per_task,False,173,129,0.35523613963039014,0.009012785579543072,0.5728476821192053,26,125,0.17218543046357615,0.15028901734104047,0.4621329999846125,1.2395732010877372
circuit,dd_deficit,L14,high,0.7,per_task,False,152,80,0.31211498973305957,0.005589324390414309,0.6551724137931034,22,76,0.22448979591836735,0.14473684210526316,0.5285200884812841,1.2396357831464042
