corpus,target,horizon,feature_block,t_bin,metric,value,n
A,undo_nc,1,t2,q24+,auc,0.7108554277138569,7358
A,eef_disp,1,t1+route,all,r2,0.9620400057461304,15806
A,eef_disp,1,t1+route,all,r2_within_branch,0.9627308101810861,15806
A,eef_disp,1,t1+route,q0-11,r2,0.939007187894723,4224
A,eef_disp,1,t1+route,q12-23,r2,0.962895733087903,4224
A,eef_disp,1,t1+route,q24+,r2,0.9538125591565533,7358
A,eef_path,1,t1+route,all,r2,0.9620400081537365,15806
A,eef_path,1,t1+route,all,r2_within_branch,0.962730811823868,15806
A,eef_path,1,t1+route,q0-11,r2,0.9390071800066685,4224
A,eef_path,1,t1+route,q12-23,r2,0.9628957338284131,4224
A,eef_path,1,t1+route,q24+,r2,0.9538125657466383,7358
A,obj_disp,1,t1+route,all,r2,0.485916079666762,15806
A,obj_disp,1,t1+route,all,r2_within_branch,0.4461454520013929,15806
A,obj_disp,1,t1+route,q0-11,r2,-16.773057116711723,4224
A,obj_disp,1,t1+route,q12-23,r2,0.6817768956001341,4224
A,obj_disp,1,t1+route,q24+,r2,0.22736320275493127,7358
A,dgoal,1,t1+route,all,r2,-0.7127423813728672,15806
A,dgoal,1,t1+route,all,r2_within_branch,-0.7897925845989057,15806
A,dgoal,1,t1+route,q0-11,r2,nan,4224
A,dgoal,1,t1+route,q12-23,r2,-1320377.2368524915,4224
A,dgoal,1,t1+route,q24+,r2,-0.1628997621997497,7358
A,undo,1,t1+route,all,auc,0.14717346632995598,15806
A,undo,1,t1+route,q0-11,auc,nan,4224
A,undo,1,t1+route,q12-23,auc,0.3452277342616768,4224
A,undo,1,t1+route,q24+,auc,0.13552931216313707,7358
A,grip_flips,1,t1+route,all,r2,0.7224784988605197,15806
A,grip_flips,1,t1+route,all,r2_within_branch,0.7264750526697755,15806
A,grip_flips,1,t1+route,q0-11,r2,0.68983077951238,4224
A,grip_flips,1,t1+route,q12-23,r2,0.771444967287911,4224
A,grip_flips,1,t1+route,q24+,r2,0.6711165725409836,7358
A,obj_disp_p1,1,t1+route,all,r2,-0.8114536956032858,15806
A,obj_disp_p1,1,t1+route,all,r2_within_branch,-0.9695582635064748,15806
A,obj_disp_p1,1,t1+route,q0-11,r2,-911098903016.9121,4224
A,obj_disp_p1,1,t1+route,q12-23,r2,-284293.4360181729,4224
A,obj_disp_p1,1,t1+route,q24+,r2,-0.22969404169260726,7358
A,obj_disp_p2,1,t1+route,all,r2,0.13174420679249113,15806
A,obj_disp_p2,1,t1+route,all,r2_within_branch,0.0912432873160372,15806
A,obj_disp_p2,1,t1+route,q0-11,r2,-13.839854615862496,4224
A,obj_disp_p2,1,t1+route,q12-23,r2,0.5591298650861514,4224
A,obj_disp_p2,1,t1+route,q24+,r2,-239.31811876277746,7358
A,obj_nc,1,t1+route,all,auc,0.8168567490328991,15806
A,obj_nc,1,t1+route,q0-11,auc,0.7343148510839468,4224
A,obj_nc,1,t1+route,q12-23,auc,0.7495573501817019,4224
A,obj_nc,1,t1+route,q24+,auc,0.6508863507510231,7358
A,obj_ncfar,1,t1+route,all,auc,0.7377076517709023,15806
A,obj_ncfar,1,t1+route,q0-11,auc,nan,4224
A,obj_ncfar,1,t1+route,q12-23,auc,0.9275360872052378,4224
A,obj_ncfar,1,t1+route,q24+,auc,0.6406097141610632,7358
A,obj_free_disp,1,t1+route,all,r2,-0.5444840690472484,15806
A,obj_free_disp,1,t1+route,all,r2_within_branch,-0.4675059525674187,15806
