corpus,event_kind,relative,metric,token,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT
A,loop,-2,query_exec_churn,3,0.5144508670520231,0.5144508670520231,event_high,0.4033121024230581,0.6284883534541191,16,121,692,0.8200899550224887,1.0
A,loop,-2,query_exec_churn,4,0.47832369942196534,0.5216763005780347,event_low,0.37956068537422083,0.5794802152895444,16,121,692,0.6951524237881059,1.0
A,loop,-2,query_exec_churn,5,0.5057803468208093,0.5057803468208093,event_high,0.39127104275160474,0.6205851161251822,16,121,692,0.936031984007996,1.0
A,loop,-2,query_exec_churn,6,0.5245664739884393,0.5245664739884393,event_high,0.44583722900718753,0.6036495434758028,16,121,692,0.5697151424287856,1.0
A,loop,-2,query_exec_churn,7,0.5115606936416185,0.5115606936416185,event_high,0.4177800702236211,0.6045911693896153,16,121,692,0.8190904547726137,1.0
A,loop,-2,query_exec_churn,8,0.5953757225433526,0.5953757225433526,event_high,0.4937276973274987,0.6976942567567563,16,121,692,0.111944027986007,0.8270864567716142
A,loop,-2,query_exec_churn,9,0.630057803468208,0.630057803468208,event_high,0.5414709900661406,0.7136259366446808,16,121,692,0.022488755622188907,0.4577711144427786
A,loop,-2,query_exec_churn,10,0.6069364161849711,0.6069364161849711,event_high,0.5177962116406746,0.7034564085881587,16,121,692,0.04447776111944028,0.7031484257871065
B,loop,-2,top45_margin,1,0.6597222222222222,0.6597222222222222,event_high,0.5552639988093571,0.7405932525136154,10,57,936,0.044977511244377814,0.5377311344327836
B,loop,-2,top45_margin,2,0.5715811965811965,0.5715811965811965,event_high,0.5252056776702562,0.6217072364918874,10,57,936,0.047976011994003,1.0
B,loop,-2,top45_margin,3,0.5747863247863247,0.5747863247863247,event_high,0.47272788418818185,0.6819770408163266,10,57,936,0.21989005497251374,1.0
B,loop,-2,top45_margin,4,0.6223290598290598,0.6223290598290598,event_high,0.5338107684379695,0.7375742777795016,10,57,936,0.047976011994003,0.8530734632683659
B,loop,-2,top45_margin,5,0.6175213675213675,0.6175213675213675,event_high,0.5385616657086287,0.7095809454053267,10,57,936,0.04697651174412794,0.8875562218890555
B,loop,-2,top45_margin,6,0.5886752136752137,0.5886752136752137,event_high,0.4183578987150416,0.7475966219892888,10,57,936,0.3168415792103948,1.0
B,loop,-2,top45_margin,7,0.6399572649572649,0.6399572649572649,event_high,0.5677407136204733,0.7083333333333334,10,57,936,0.022488755622188907,0.7131434282858571
B,loop,-2,top45_margin,8,0.6864316239316239,0.6864316239316239,event_high,0.6039438514163916,0.77339102488501,10,57,936,0.0079960019990005,0.3473263368315842
B,loop,-2,top45_margin,9,0.6971153846153846,0.6971153846153846,event_high,0.6365262724550899,0.7752644005479057,10,57,936,0.004997501249375313,0.28535732133933034
B,loop,-2,top45_margin,10,0.5555555555555556,0.5555555555555556,event_high,0.48211105385701747,0.6515991196228459,10,57,936,0.3363318340829585,1.0
B,loop,-2,tail_mass,1,0.32585470085470086,0.6741452991452992,event_low,0.22825761648575896,0.4397217134965341,10,57,936,0.07146426786606697,0.4307846076961519
B,loop,-2,tail_mass,2,0.2222222222222222,0.7777777777777778,event_low,0.14733752604830366,0.3011089166664025,10,57,936,0.018490754622688656,0.059470264867566215
B,loop,-2,tail_mass,3,0.21153846153846154,0.7884615384615384,event_low,0.10631503759398496,0.31319928475277753,10,57,936,0.006496751624187906,0.04697651174412794
B,loop,-2,tail_mass,4,0.23397435897435898,0.766025641025641,event_low,0.12043190088942024,0.36518828030608136,10,57,936,0.02448775612193903,0.07746126936531735
B,loop,-2,tail_mass,5,0.2644230769230769,0.7355769230769231,event_low,0.17631017080745343,0.3626123706784902,10,57,936,0.009995002498750625,0.11344327836081959
