concept,kind,family,unit,task,valid_init_clusters,queries,geometry,state_soft_routing,geometry_plus_state_soft
target_minus_eef_x_m,continuous,relative_geometry,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9459395200634838,0.9317541924521082,0.9582687987324086
target_minus_eef_x_m,continuous,relative_geometry,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9746761805086654,0.7400583085048849,0.959611425046263
target_minus_eef_y_m,continuous,relative_geometry,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9978131767248433,0.935928458713948,0.9941460764434984
target_minus_eef_y_m,continuous,relative_geometry,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9919879887590748,0.5801133066064963,0.9798239714593487
target_minus_eef_y_m,continuous,relative_geometry,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9966126942508271,0.983065496499099,0.9925795150751449
target_minus_eef_y_m,continuous,relative_geometry,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9775906683634898,0.7551868457914781,0.9637127915815241
target_minus_eef_z_m,continuous,relative_geometry,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.995927552447724,0.9639964577560524,0.9943772387112338
target_minus_eef_z_m,continuous,relative_geometry,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9997680663137354,0.9715757672250209,0.9983816260466943
target_minus_eef_z_m,continuous,relative_geometry,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9958756772273276,0.9889921609830445,0.9948708542792927
target_minus_eef_z_m,continuous,relative_geometry,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9959487109220344,0.9689587129274357,0.9925086375203387
