left,right,metric,delta,ci_low,ci_high,p_two_sided,bootstrap_draws,query,budget_per_head,family
double_soft_max_topk,single_soft_mean_topk,trap_recall,-0.010362694300518116,-0.038834951456310676,0.028571428571428567,0.6208,20000,34,4,soft
double_soft_max_topk,single_soft_mean_topk,macro_subtype_recall,0.044700793078586876,-0.0029692366292487383,0.1262059650512607,0.0727,20000,34,4,soft
loop_soft_topk,single_mobility_topk_soft,loop_recall,0.17543859649122806,0.04000000000000001,0.2807017543859649,0.0318,20000,34,4,soft
static_soft_topk,single_mobility_topk_soft,static_recall,0.0,-0.03529411764705881,0.027777777777777762,1.0,20000,34,4,soft
double_soft_union,single_mobility_matched_soft,trap_precision,-0.07377049180327877,-0.134453781512605,-0.024390243902439046,0.0011,20000,34,4,soft
double_soft_union,single_mobility_matched_soft,trap_recall,-0.046632124352331605,-0.08480604808177687,-0.017699115044247815,0.0012,20000,34,4,soft
double_soft_union,single_mobility_matched_soft,loop_recall,0.14035087719298245,0.022727272727272707,0.2647058823529411,0.0405,20000,34,4,soft
double_soft_union,single_mobility_matched_soft,static_recall,-0.136986301369863,-0.2368421052631579,-0.07176979852811813,0.0,20000,34,4,soft
double_soft_union,single_mobility_matched_soft,macro_subtype_recall,0.0016822879115596656,-0.07236801765365213,0.07318339743488694,0.9489,20000,34,4,soft
double_soft_max_topk,single_mobility_topk_soft,trap_precision,-0.203125,-0.359375,-0.046875,0.0144,20000,34,4,soft
double_soft_max_topk,single_mobility_topk_soft,trap_recall,-0.06735751295336787,-0.1406278935185185,-0.015037593984962405,0.0177,20000,34,4,soft
double_soft_max_topk,single_mobility_topk_soft,macro_subtype_recall,0.007450132179764479,-0.09964796725228699,0.08882920426505289,0.9342,20000,34,4,soft
loop_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,loop_recall,0.08771929824561403,0.0,0.18368689581095482,0.0782,20000,34,4,hard_diagnostic
static_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,static_recall,0.08904109589041095,0.025316455696202556,0.2065217391304348,0.0039,20000,34,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_precision,-0.008474576271186474,-0.052631578947368474,0.0423728813559322,0.8325,20000,34,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_recall,-0.005181347150259086,-0.03378378378378377,0.030864197530864224,0.8231,20000,34,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,loop_recall,-0.017543859649122806,-0.10666666666666663,0.11764705882352941,0.8967,20000,34,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,static_recall,0.0136986301369863,-0.036232822707817094,0.09090909090909091,0.7063,20000,34,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,macro_subtype_recall,-0.0019226147560682527,-0.04662797619047619,0.06080634060308851,0.9534,20000,34,4,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_precision,-0.046875,-0.125,0.046875,0.3646,20000,34,4,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_recall,-0.015544041450777216,-0.043290469373146546,0.018404907975460114,0.374,20000,34,4,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,macro_subtype_recall,0.01646238884883444,-0.02581584648410176,0.06663383962887841,0.4719,20000,34,4,hard_diagnostic
loop_soft_topk,single_soft_mean_topk,loop_recall,0.19298245614035087,0.09090909090909088,0.36,0.0001,20000,34,8,soft
static_soft_topk,single_soft_mean_topk,static_recall,0.17123287671232873,0.0826437297879986,0.3536585365853658,0.0,20000,34,8,soft
double_soft_union,single_soft_mean_matched,trap_precision,0.0,-0.050000000000000044,0.04641350210970463,1.0,20000,34,8,soft
double_soft_union,single_soft_mean_matched,trap_recall,0.0,-0.06060606060606066,0.07096869631609073,1.0,20000,34,8,soft
double_soft_union,single_soft_mean_matched,loop_recall,-0.07017543859649122,-0.17647058823529416,0.08571428571428569,0.369,20000,34,8,soft
double_soft_union,single_soft_mean_matched,static_recall,0.03424657534246578,-0.05839416058394159,0.18604651162790697,0.5291,20000,34,8,soft
double_soft_union,single_soft_mean_matched,macro_subtype_recall,-0.017964431627012667,-0.09285012240783402,0.08050805862762585,0.7211,20000,34,8,soft
double_soft_max_topk,single_soft_mean_topk,trap_precision,-0.03125,-0.109375,0.0390625,0.4606,20000,34,8,soft
double_soft_max_topk,single_soft_mean_topk,trap_recall,-0.020725388601036288,-0.06451612903225806,0.036810623183726125,0.47,20000,34,8,soft
double_soft_max_topk,single_soft_mean_topk,macro_subtype_recall,0.048546022590723326,-0.02239177883658552,0.16423005509585378,0.1993,20000,34,8,soft
loop_soft_topk,single_mobility_topk_soft,loop_recall,0.2982456140350877,0.12,0.43181818181818177,0.0111,20000,34,8,soft
static_soft_topk,single_mobility_topk_soft,static_recall,0.0,-0.04132231404958675,0.040000000000000036,1.0,20000,34,8,soft
double_soft_union,single_mobility_matched_soft,trap_precision,0.0,-0.07983193277310918,0.08787533841988598,1.0,20000,34,8,soft
double_soft_union,single_mobility_matched_soft,trap_recall,0.0,-0.09523809523809523,0.11764705882352944,1.0,20000,34,8,soft
double_soft_union,single_mobility_matched_soft,loop_recall,0.31578947368421056,0.1875,0.4328358208955224,0.0002,20000,34,8,soft
double_soft_union,single_mobility_matched_soft,static_recall,-0.14383561643835618,-0.23140687174778085,-0.05263157894736842,0.0045,20000,34,8,soft
double_soft_union,single_mobility_matched_soft,macro_subtype_recall,0.08597692862292727,-0.0007658434768159913,0.16871025495379888,0.0519,20000,34,8,soft
double_soft_max_topk,single_mobility_topk_soft,trap_precision,-0.140625,-0.2421875,-0.046875,0.005,20000,34,8,soft
double_soft_max_topk,single_mobility_topk_soft,trap_recall,-0.09326424870466321,-0.16935483870967738,-0.03317470084574901,0.0043,20000,34,8,soft
double_soft_max_topk,single_mobility_topk_soft,macro_subtype_recall,0.015561163181927407,-0.11442040642358245,0.11064472380319611,0.8404,20000,34,8,soft
loop_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,loop_recall,0.08771929824561403,0.02898550724637683,0.19047619047619047,0.0048,20000,34,8,hard_diagnostic
static_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,static_recall,0.08904109589041098,0.02020202020202022,0.2,0.0095,20000,34,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_precision,0.0,-0.041284403669724745,0.040909090909090895,1.0,20000,34,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_recall,0.0,-0.0467842478536768,0.05494642857142848,1.0,20000,34,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,loop_recall,0.01754385964912275,-0.09090909090909094,0.12280701754385959,0.8917,20000,34,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,static_recall,-0.006849315068493178,-0.05714740673339401,0.039370078740157466,0.9633,20000,34,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,macro_subtype_recall,0.005347272290314842,-0.06401435845740276,0.0759374717505507,0.8901,20000,34,8,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_precision,-0.046875,-0.109375,0.0078125,0.148,20000,34,8,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_recall,-0.031088082901554404,-0.06965463380770567,0.007938095238095124,0.1498,20000,34,8,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,macro_subtype_recall,0.008111031002162927,-0.03558531914231046,0.060869999841954646,0.7193,20000,34,8,hard_diagnostic
loop_soft_topk,single_soft_mean_topk,loop_recall,0.12280701754385959,-0.033333333333333326,0.25,0.1428,20000,34,16,soft
static_soft_topk,single_soft_mean_topk,static_recall,0.17123287671232867,0.08928361837692826,0.29166666666666663,0.0,20000,34,16,soft
double_soft_union,single_soft_mean_matched,trap_precision,-0.009828009828009798,-0.019002375296912177,-0.002469135802469158,0.0188,20000,34,16,soft
double_soft_union,single_soft_mean_matched,trap_recall,-0.020725388601036232,-0.03546204204960347,-0.0059880239520957446,0.0173,20000,34,16,soft
double_soft_union,single_soft_mean_matched,loop_recall,0.0,-0.03703703703703709,0.061224489795918324,1.0,20000,34,16,soft
double_soft_union,single_soft_mean_matched,static_recall,-0.020547945205479423,-0.05555555555555558,0.012269938650306678,0.3086,20000,34,16,soft
double_soft_union,single_soft_mean_matched,macro_subtype_recall,-0.010273972602739767,-0.02894347483141334,0.01292294280152254,0.4982,20000,34,16,soft
double_soft_max_topk,single_soft_mean_topk,trap_precision,-0.03515625,-0.0859375,0.01171875,0.1847,20000,34,16,soft
double_soft_max_topk,single_soft_mean_topk,trap_recall,-0.04663212435233166,-0.10661887254901967,0.022222222222222147,0.1827,20000,34,16,soft
double_soft_max_topk,single_soft_mean_topk,macro_subtype_recall,-0.018204758471521365,-0.10580639741052289,0.07830753968253965,0.6417,20000,34,16,soft
loop_soft_topk,single_mobility_topk_soft,loop_recall,0.49122807017543857,0.25,0.6615384615384616,0.0024,20000,34,16,soft
static_soft_topk,single_mobility_topk_soft,static_recall,0.006849315068493067,-0.015384615384615333,0.03597122302158273,0.7736,20000,34,16,soft
double_soft_union,single_mobility_matched_soft,trap_precision,0.02211302211302213,-0.00992555831265507,0.05755395683453235,0.2288,20000,34,16,soft
double_soft_union,single_mobility_matched_soft,trap_recall,0.04663212435233166,-0.02189981551295417,0.13636363636363635,0.2244,20000,34,16,soft
double_soft_union,single_mobility_matched_soft,loop_recall,0.29824561403508776,0.1891764405915349,0.4666666666666667,0.0003,20000,34,16,soft
double_soft_union,single_mobility_matched_soft,static_recall,-0.0547945205479452,-0.10377358490566035,0.0,0.0664,20000,34,16,soft
double_soft_union,single_mobility_matched_soft,macro_subtype_recall,0.12172554674357117,0.06021363507315195,0.21524157011289352,0.0006,20000,34,16,soft
double_soft_max_topk,single_mobility_topk_soft,trap_precision,-0.03125,-0.11328125,0.05078125,0.4727,20000,34,16,soft
double_soft_max_topk,single_mobility_topk_soft,trap_recall,-0.041450777202072575,-0.1428571428571429,0.0740793650793646,0.4705,20000,34,16,soft
double_soft_max_topk,single_mobility_topk_soft,macro_subtype_recall,0.08381398702235032,-0.01293229058819225,0.1703710432816537,0.0848,20000,34,16,soft
loop_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,loop_recall,0.1929824561403508,0.03703703703703698,0.3333333333333333,0.0318,20000,34,16,hard_diagnostic
static_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,static_recall,0.15068493150684936,0.07262457199495402,0.27272727272727276,0.0,20000,34,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_precision,0.005181347150259086,-0.01041666666666674,0.021164021164021163,0.6474,20000,34,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_recall,0.010362694300518172,-0.01941747572815533,0.05633802816901401,0.6468,20000,34,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,loop_recall,0.0,-0.057975227502527836,0.09433962264150941,1.0,20000,34,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,static_recall,0.013698630136986356,-0.019480519480519543,0.07563025210084029,0.5994,20000,34,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,macro_subtype_recall,0.006849315068493178,-0.025000000000000022,0.05624918193717273,0.65,20000,34,16,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_precision,-0.01171875,-0.04296875,0.01953125,0.5377,20000,34,16,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_recall,-0.015544041450777257,-0.05645161290322587,0.02777777777777779,0.5539,20000,34,16,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,macro_subtype_recall,0.005767844268204758,-0.05787004683694303,0.05064936460037971,0.7553,20000,34,16,hard_diagnostic
