fold,suite,seed,reference_cap,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,seen,560,12,548,12,32,1.0,0.058394160583941604,0.2727272727272727,0.9708029197080292,0.33888888888888896,7.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,unseen,1200,78,1122,76,136,0.9743589743589743,0.12121212121212122,0.3584905660377358,0.9265734265734267,0.6047008547008547,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.1,seen,560,12,548,12,48,1.0,0.08759124087591241,0.2,0.9562043795620438,0.325,6.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.1,unseen,1200,78,1122,78,214,1.0,0.19073083778966132,0.2671232876712329,0.9046345811051694,0.5619658119658119,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.15,seen,560,12,548,12,64,1.0,0.11678832116788321,0.15789473684210525,0.9416058394160584,0.31111111111111117,6.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.15,unseen,1200,78,1122,78,390,1.0,0.34759358288770054,0.16666666666666666,0.8262032085561497,0.49017094017094,13.5
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.2,seen,560,12,548,12,83,1.0,0.15145985401459855,0.12631578947368421,0.9242700729927007,0.2888888888888889,6.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.2,unseen,1200,78,1122,78,507,1.0,0.45187165775401067,0.13333333333333333,0.7740641711229946,0.4628205128205127,12.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.01,seen,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.01,unseen,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.03,seen,560,12,548,3,1,0.25,0.0018248175182481751,0.75,0.6240875912408759,0.9055555555555556,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.03,unseen,1200,78,1122,11,6,0.14102564102564102,0.0053475935828877,0.6470588235294118,0.5678390237213766,0.9457264957264959,17.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,seen,560,12,548,8,3,0.6666666666666666,0.005474452554744526,0.7272727272727273,0.830596107055961,0.7361111111111112,18.5
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,unseen,1200,78,1122,23,14,0.2948717948717949,0.012477718360071301,0.6216216216216216,0.6411970382558618,0.888034188034188,17.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.1,seen,560,12,548,11,7,0.9166666666666666,0.012773722627737226,0.6111111111111112,0.9519464720194647,0.4888888888888889,14.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.1,unseen,1200,78,1122,66,50,0.8461538461538461,0.044563279857397504,0.5689655172413793,0.9007952831482243,0.7324786324786324,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.15,seen,560,12,548,12,21,1.0,0.03832116788321168,0.36363636363636365,0.9808394160583942,0.3444444444444445,7.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.15,unseen,1200,78,1122,75,110,0.9615384615384616,0.09803921568627451,0.40540540540540543,0.9317496229260935,0.6337606837606838,17.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.2,seen,560,12,548,12,40,1.0,0.072992700729927,0.23076923076923078,0.9635036496350365,0.3333333333333334,6.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.2,unseen,1200,78,1122,77,173,0.9871794871794872,0.15418894830659535,0.308,0.9164952694364459,0.5888888888888888,15.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.01,seen,560,22,538,21,9,0.9545454545454546,0.016728624535315983,0.7,0.9689084150050693,0.7227272727272728,23.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.01,unseen,1200,9,1191,4,0,0.4444444444444444,0.0,1.0,0.7222222222222222,0.8037037037037037,15.5
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.03,seen,560,22,538,21,22,0.9545454545454546,0.040892193308550186,0.4883720930232558,0.9568266306184522,0.7060606060606062,23.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.03,unseen,1200,9,1191,5,0,0.5555555555555556,0.0,1.0,0.7777777777777778,0.7518518518518519,16.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,seen,560,22,538,21,26,0.9545454545454546,0.048327137546468404,0.44680851063829785,0.9531091584994931,0.6787878787878788,23.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,unseen,1200,9,1191,5,0,0.5555555555555556,0.0,1.0,0.7777777777777778,0.7444444444444445,15.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.1,seen,560,22,538,21,48,0.9545454545454546,0.08921933085501858,0.30434782608695654,0.932663061845218,0.6681818181818182,22.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.1,unseen,1200,9,1191,5,0,0.5555555555555556,0.0,1.0,0.7777777777777778,0.7333333333333333,15.0
